config,trie_type,group_depth,pebble_block_size_kb,benchmark,run,contract,block_number,gas_used,tx_count,execution_ms,state_read_ms,state_hash_ms,commit_ms,total_ms,mgas_per_sec,accounts_read,storage_slots_read,code_read,code_bytes_read,accounts_written,accounts_deleted,storage_slots_written,storage_slots_deleted,code_written,code_bytes_written,account_cache_hits,account_cache_misses,account_cache_hit_rate,storage_cache_hits,storage_cache_misses,storage_cache_hit_rate,code_cache_hits,code_cache_misses,code_cache_hit_rate,code_cache_hit_bytes,code_cache_miss_bytes
ubt,bintrie,5,4,storage_mixed_k1,10,,3484,0,0,0.0385,0.5798,0.0015,0.1324,0.9085,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k1,10,,3485,0,0,0.392,33.7038,0.007,0.427,35.2884,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k1,10,,3486,0,0,0.086,12.5463,0.002,0.1129,12.9608,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k1,10,,3487,0,0,0.0563,53.7522,0.005,0.1385,55.0256,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k1,10,,3488,0,0,0.0397,16.9512,0.0055,0.1283,17.3103,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k1,10,,3489,0,0,0.1525,8.8186,0.0166,1.0021,10.6922,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k1,10,,3490,0,0,0.0621,7.6348,0.0055,0.2698,8.3773,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k1,10,,3491,0,0,0.1517,68.5627,0.0035,0.1861,69.3373,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k1,10,,3492,0,0,0.0312,4.1083,0.0032,0.1954,4.5373,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k1,10,,3493,0,0,0.2193,88.8998,0.0032,0.2255,90.333,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k1,10,,3494,0,0,0.0408,4.1421,0.0041,0.1514,4.5869,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k1,10,,3495,0,0,0.0537,15.5037,0.0032,0.1983,16.02,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k1,10,,3496,0,0,0.0347,4.1133,0.0035,0.1858,4.5473,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k1,10,,3497,0,0,0.5098,56.3156,0.0026,0.2202,58.3733,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k1,10,,3498,0,0,0.0481,4.5053,0.0035,0.2103,5.0475,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k1,10,,3499,0,0,0.0493,10.668,0.0032,1.1798,13.1839,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k1,10,,3500,0,0,0.0598,7.7995,0.0032,0.1493,8.2327,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k1,10,,3501,91730,2,0.5859,19.174,81.7553,9.4655,118.1858,0.7762,11,0,0,0,3,0,0,0,1,304,6,5,54.55,0,0,0,0,0,0,0,0
