config,trie_type,group_depth,pebble_block_size_kb,benchmark,run,contract,block_number,gas_used,tx_count,execution_ms,state_read_ms,state_hash_ms,commit_ms,total_ms,mgas_per_sec,accounts_read,storage_slots_read,code_read,code_bytes_read,accounts_written,accounts_deleted,storage_slots_written,storage_slots_deleted,code_written,code_bytes_written,account_cache_hits,account_cache_misses,account_cache_hit_rate,storage_cache_hits,storage_cache_misses,storage_cache_hit_rate,code_cache_hits,code_cache_misses,code_cache_hit_rate,code_cache_hit_bytes,code_cache_miss_bytes
pbt,bintrie,5,4,storage_sload_k10,10,,3675,0,0,0.0421,2.723,0.0014,0.1617,3.085,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k10,10,,3676,0,0,0.0446,5.1195,0.0024,0.2712,5.5991,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k10,10,,3677,0,0,0.0364,7.2898,0.0017,0.0883,7.5727,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k10,10,,3678,86852,2,0.1055,24.4988,2.6069,4.6722,32.0354,2.7111,11,0,0,0,3,0,0,0,1,157,6,5,54.55,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k10,10,,3679,5900140,1,123.8548,6.3142,2.7116,0.66,133.7226,44.1222,17,258,11,437,2,0,0,0,0,0,10,7,58.82,139,119,53.88,11,0,100,437,0
pbt,bintrie,5,4,storage_sload_k10,10,,3680,21000,1,0.0716,13.46,21.6222,0.6414,35.9542,0.5841,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k10,11,,3681,0,0,0.0495,3.5081,0.0017,0.1793,3.9951,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k10,11,,3682,0,0,0.0312,3.1868,0.0018,0.1919,3.5451,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k10,11,,3683,0,0,0.0253,14.2019,0.0018,0.1284,14.5686,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k10,11,,3684,86852,2,0.4779,23.8541,3.1386,4.6811,32.3358,2.6859,11,0,0,0,3,0,0,0,1,157,5,6,45.45,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k10,11,,3685,5900140,1,108.8874,21.469,3.5363,0.664,134.8097,43.7664,17,258,11,437,2,0,0,0,0,0,13,4,76.47,256,2,99.22,11,0,100,437,0
pbt,bintrie,5,4,storage_sload_k10,11,,3686,21000,1,0.0646,21.222,2.3118,0.6581,24.4468,0.859,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k10,11,,3687,0,0,0.0365,22.9807,0.0038,0.1589,23.3822,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k10,12,,3688,0,0,0.0391,3.084,0.0014,0.1915,3.4964,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k10,12,,3689,0,0,0.0446,6.5442,0.0026,0.1571,7.0965,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k10,12,,3690,0,0,0.0239,17.216,0.0014,0.1434,17.6245,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k10,12,,3691,86852,2,0.1001,2.9058,13.8188,4.6576,23.7191,3.6617,11,0,0,0,3,0,0,0,1,157,5,6,45.45,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k10,12,,3692,5900140,1,143.003,6.847,2.5698,0.8639,153.649,38.4001,17,258,11,437,2,0,0,0,0,0,5,12,29.41,27,231,10.47,11,0,100,437,0
pbt,bintrie,5,4,storage_sload_k10,12,,3693,21000,1,0.0607,2.8072,2.2238,0.552,5.8225,3.6067,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k10,12,,3694,0,0,0.0211,2.8137,0.0015,0.0852,3.1197,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k10,13,,3695,0,0,0.0838,3.2772,0.005,0.2544,3.832,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k10,13,,3696,0,0,0.058,10.8058,0.0022,0.1705,11.4803,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k10,13,,3697,0,0,0.0261,3.2807,0.0017,0.1374,3.5866,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k10,13,,3698,86852,2,0.1269,15.9302,15.624,4.5909,36.5072,2.379,11,0,0,0,3,0,0,0,1,157,5,6,45.45,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k10,13,,3699,5900140,1,111.6958,8.9839,2.5481,0.8705,124.6146,47.3471,17,258,11,437,2,0,0,0,0,0,2,15,11.76,12,246,4.65,11,0,100,437,0
pbt,bintrie,5,4,storage_sload_k10,13,,3700,21000,1,5.0797,3.2987,2.4115,0.6134,11.5842,1.8128,6,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k10,13,,3701,0,0,0.033,3.2673,0.002,0.1753,3.6511,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k10,14,,3702,0,0,0.0373,2.8004,0.0013,0.1627,3.2192,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k10,14,,3703,0,0,0.0433,5.737,0.0017,0.0926,6.2758,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k10,14,,3704,0,0,0.0337,2.7801,0.0016,0.0938,3.0768,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k10,14,,3705,86852,2,0.1433,14.854,15.2492,4.7746,35.2486,2.464,11,0,0,0,3,0,0,0,1,157,5,6,45.45,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k10,14,,3706,5900140,1,116.175,4.8813,3.8627,0.9866,126.2052,46.7504,17,258,11,437,2,0,0,0,0,0,5,12,29.41,74,184,28.68,11,0,100,437,0
pbt,bintrie,5,4,storage_sload_k10,14,,3707,21000,1,0.0719,4.0363,2.2034,0.5776,7.0361,2.9846,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k10,14,,3708,0,0,0.026,2.6557,0.0019,0.117,2.9565,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k10,15,,3709,0,0,0.0521,2.7545,0.0014,0.1488,3.1442,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k10,15,,3710,0,0,0.0405,3.3934,0.0023,0.102,3.7414,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k10,15,,3711,0,0,0.0304,2.8584,0.0015,0.1058,3.1946,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k10,15,,3712,86852,2,0.1266,16.2473,3.0204,4.9841,24.5533,3.5373,11,0,0,0,3,0,0,0,1,157,5,6,45.45,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k10,15,,3713,5900140,1,151.211,19.9825,3.5686,0.6667,175.6786,33.5849,17,258,11,437,2,0,0,0,0,0,4,13,23.53,52,206,20.16,11,0,100,437,0
pbt,bintrie,5,4,storage_sload_k10,15,,3714,21000,1,0.0601,20.8131,2.4352,0.5949,24.0765,0.8722,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k10,15,,3715,0,0,0.0206,2.4367,0.0016,0.0977,2.7126,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k10,16,,3716,0,0,0.037,2.9439,0.0018,0.188,3.4155,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k10,16,,3717,0,0,0.0367,5.7688,0.0021,0.2434,6.3922,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k10,16,,3718,0,0,0.0307,3.0731,0.0013,0.0925,3.3554,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k10,16,,3719,86852,2,0.1202,25.0117,2.5741,4.9802,32.8496,2.6439,11,0,0,0,3,0,0,0,1,157,6,5,54.55,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k10,16,,3720,5900140,1,111.5695,8.4498,2.3856,0.8409,123.3985,47.8137,17,258,11,437,2,0,0,0,0,0,8,9,47.06,128,130,49.61,11,0,100,437,0
pbt,bintrie,5,4,storage_sload_k10,16,,3721,21000,1,0.0672,16.1828,13.5707,0.6659,30.6536,0.6851,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k10,16,,3722,0,0,0.0274,4.781,0.0019,0.1174,5.1164,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k10,17,,3723,0,0,0.0326,2.8166,0.0013,0.1342,3.1741,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k10,17,,3724,0,0,0.0504,5.7042,0.0022,0.1474,6.3777,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k10,17,,3725,0,0,0.1029,3.3777,0.003,0.083,3.7167,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k10,17,,3726,86852,2,0.1085,12.2122,2.5367,5.5011,21.5247,4.035,11,0,0,0,3,0,0,0,1,157,5,6,45.45,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k10,17,,3727,5900140,1,134.5914,13.6135,2.4727,0.7401,151.7783,38.8734,17,258,11,437,2,0,0,0,0,0,3,14,17.65,42,216,16.28,11,0,100,437,0
pbt,bintrie,5,4,storage_sload_k10,17,,3728,21000,1,0.0601,23.6259,2.3733,0.6103,26.8213,0.783,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k10,17,,3729,0,0,0.0205,2.531,0.0012,0.0893,2.7839,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
