config,trie_type,group_depth,pebble_block_size_kb,benchmark,run,contract,block_number,gas_used,tx_count,execution_ms,state_read_ms,state_hash_ms,commit_ms,total_ms,mgas_per_sec,accounts_read,storage_slots_read,code_read,code_bytes_read,accounts_written,accounts_deleted,storage_slots_written,storage_slots_deleted,code_written,code_bytes_written,account_cache_hits,account_cache_misses,account_cache_hit_rate,storage_cache_hits,storage_cache_misses,storage_cache_hit_rate,code_cache_hits,code_cache_misses,code_cache_hit_rate,code_cache_hit_bytes,code_cache_miss_bytes
pbt,bintrie,5,4,storage_sstore_k10,10,,4191,0,0,0.0506,5.5291,0.0024,0.1985,6.052,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k10,10,,4192,0,0,0.034,3.4301,0.003,0.2032,3.85,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k10,10,,4193,0,0,0.0532,4.2021,0.0018,0.1629,4.5997,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k10,10,,4194,86938,2,0.1012,3.8381,14.2102,4.3551,22.6544,3.8376,11,0,0,0,3,0,0,0,1,165,6,5,54.55,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k10,10,,4195,5919370,1,3.9809,7.9036,6.056,2.3159,20.4417,289.5732,17,283,11,445,12,0,254,0,0,0,4,13,23.53,55,228,19.43,11,0,100,445,0
pbt,bintrie,5,4,storage_sstore_k10,10,,4196,21000,1,0.0638,3.0406,3.3985,6.1224,12.7916,1.6417,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k10,11,,4197,0,0,0.0483,3.8063,0.0016,0.1585,4.2495,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k10,11,,4198,0,0,0.0337,2.8163,0.0015,0.0883,3.1123,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k10,11,,4199,0,0,0.0349,14.3886,0.0024,0.2197,14.8112,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k10,11,,4200,86938,2,0.1714,22.1198,2.8163,4.6795,29.9441,2.9033,11,0,0,0,3,0,0,0,1,165,5,6,45.45,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k10,11,,4201,5919370,1,3.4265,6.6447,17.0892,2.2559,29.6356,199.7384,17,283,11,445,12,0,254,0,0,0,4,13,23.53,98,185,34.63,11,0,100,445,0
pbt,bintrie,5,4,storage_sstore_k10,11,,4202,21000,1,0.062,9.9019,2.627,0.5907,13.38,1.5695,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k10,12,,4203,0,0,0.0429,3.4746,0.0021,0.5008,4.1847,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k10,12,,4204,0,0,0.0339,2.9942,0.0016,0.1452,3.3178,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k10,12,,4205,0,0,0.036,2.8934,0.0017,0.1046,3.2203,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k10,12,,4206,86938,2,0.1302,16.3102,21.9363,4.7307,43.2951,2.008,11,0,0,0,3,0,0,0,1,165,5,6,45.45,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k10,12,,4207,5919370,1,3.6127,6.803,8.003,2.4234,21.0359,281.3938,17,283,11,445,12,0,254,0,0,0,7,10,41.18,63,220,22.26,11,0,100,445,0
pbt,bintrie,5,4,storage_sstore_k10,12,,4208,21000,1,0.0672,4.3273,22.3735,0.6859,27.6579,0.7593,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k10,13,,4209,0,0,0.0631,3.3138,0.0022,0.1903,3.8653,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k10,13,,4210,0,0,0.0344,3.4282,0.0017,0.1024,3.7641,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k10,13,,4211,0,0,0.0389,16.9668,0.0018,0.0922,17.2668,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k10,13,,4212,86938,2,0.1137,24.0736,2.6002,5.0571,32.1543,2.7038,11,0,0,0,3,0,0,0,1,165,5,6,45.45,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k10,13,,4213,5919370,1,4.4381,13.7671,11.6968,3.4485,33.5496,176.4363,17,283,11,445,12,0,254,0,0,0,5,12,29.41,46,237,16.25,11,0,100,445,0
pbt,bintrie,5,4,storage_sstore_k10,13,,4214,21000,1,0.0722,27.1918,2.5312,0.7057,30.6857,0.6844,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k10,14,,4215,0,0,0.0556,4.7858,0.0019,0.1943,5.2393,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k10,14,,4216,0,0,0.0277,2.6532,0.0013,0.1062,2.9337,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k10,14,,4217,0,0,0.0236,14.6535,0.001,0.0894,14.9239,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k10,14,,4218,86938,2,0.1171,14.1074,13.784,4.89,33.0805,2.6281,11,0,0,0,3,0,0,0,1,165,5,6,45.45,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k10,14,,4219,5919370,1,3.7251,6.5776,5.5817,2.4634,18.5506,319.0929,17,283,11,445,12,0,254,0,0,0,9,8,52.94,141,142,49.82,11,0,100,445,0
pbt,bintrie,5,4,storage_sstore_k10,14,,4220,21000,1,0.0602,3.498,6.5804,1.4703,11.8312,1.775,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k10,15,,4221,0,0,0.0776,5.7641,0.0021,0.2757,6.366,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k10,15,,4222,0,0,0.032,4.4324,0.0015,0.1143,4.7359,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k10,15,,4223,0,0,0.0281,2.7044,0.0015,0.086,3.0244,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k10,15,,4224,86938,2,0.1575,3.814,19.6063,5.0591,33.3493,2.6069,11,0,0,0,3,0,0,0,1,165,5,6,45.45,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k10,15,,4225,5919370,1,3.2416,8.0787,5.6809,2.3902,19.5329,303.0456,17,283,11,445,12,0,254,0,0,0,8,9,47.06,167,116,59.01,11,0,100,445,0
pbt,bintrie,5,4,storage_sstore_k10,15,,4226,21000,1,0.0599,3.2054,2.4509,0.707,6.6175,3.1734,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k10,16,,4227,0,0,0.0465,2.8825,0.0022,0.1599,3.2662,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k10,16,,4228,0,0,0.0291,8.4604,0.0023,0.1619,8.8583,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k10,16,,4229,0,0,0.0446,19.6703,0.0038,0.2179,20.1768,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k10,16,,4230,86938,2,0.1148,3.8023,11.6161,4.5334,23.867,3.6426,11,0,0,0,3,0,0,0,1,165,6,5,54.55,0,0,0,0,0,0,0,0
