config,trie_type,group_depth,pebble_block_size_kb,benchmark,run,contract,block_number,gas_used,tx_count,execution_ms,state_read_ms,state_hash_ms,commit_ms,total_ms,mgas_per_sec,accounts_read,storage_slots_read,code_read,code_bytes_read,accounts_written,accounts_deleted,storage_slots_written,storage_slots_deleted,code_written,code_bytes_written,account_cache_hits,account_cache_misses,account_cache_hit_rate,storage_cache_hits,storage_cache_misses,storage_cache_hit_rate,code_cache_hits,code_cache_misses,code_cache_hit_rate,code_cache_hit_bytes,code_cache_miss_bytes
pbt,bintrie,5,4,storage_mixed_k256,10,,3406,0,0,0.049,3.0326,0.0012,0.1611,3.5017,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k256,10,,3407,0,0,0.2541,3.4445,0.0021,0.1153,4.287,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k256,10,,3408,0,0,0.0304,3.0377,0.0015,0.1156,3.333,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k256,10,,3409,91698,2,0.097,19.6542,2.9509,4.5458,27.3738,3.3499,11,0,0,0,3,0,0,0,1,305,6,5,54.55,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k256,10,,3410,5900070,1,43.6658,26.587,2.537,0.6275,73.6125,80.1503,263,1379,257,7473,2,0,0,0,0,0,89,174,33.84,427,952,30.96,257,0,100,7473,0
pbt,bintrie,5,4,storage_mixed_k256,10,,3411,0,0,0.0253,2.8465,0.0013,0.1039,3.1025,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k256,10,,3412,21000,1,0.0551,2.9369,2.3066,0.6389,6.095,3.4455,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k256,10,,3413,0,0,0.0362,4.9744,0.0022,0.171,5.3835,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k256,11,,3414,0,0,0.0443,3.1764,0.0017,0.1758,3.6994,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k256,11,,3415,0,0,0.0523,5.2792,0.002,0.0891,5.8048,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k256,11,,3416,0,0,0.0474,4.9828,0.0018,0.4554,5.6881,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k256,11,,3417,91698,2,0.1131,19.1852,3.5063,4.8279,27.8332,3.2945,11,0,0,0,3,0,0,0,1,305,6,5,54.55,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k256,11,,3418,5900070,1,42.1555,21.9304,2.8772,0.7614,68.1169,86.6169,263,1379,257,7473,2,0,0,0,0,0,63,200,23.95,283,1096,20.52,257,0,100,7473,0
pbt,bintrie,5,4,storage_mixed_k256,11,,3419,21000,1,0.0744,17.4053,7.0212,0.6797,25.3611,0.828,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k256,12,,3420,0,0,0.0376,3.5593,0.0014,0.1334,3.9127,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k256,12,,3421,0,0,0.0358,6.0878,0.0025,0.1143,6.5555,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k256,12,,3422,0,0,0.0253,2.6758,0.0018,0.1149,2.9808,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k256,12,,3423,91698,2,0.1547,3.4986,13.9118,4.3859,22.8969,4.0048,11,0,0,0,3,0,0,0,1,305,5,6,45.45,0,0,0,0,0,0,0,0
