config,trie_type,group_depth,pebble_block_size_kb,benchmark,run,contract,block_number,gas_used,tx_count,execution_ms,state_read_ms,state_hash_ms,commit_ms,total_ms,mgas_per_sec,accounts_read,storage_slots_read,code_read,code_bytes_read,accounts_written,accounts_deleted,storage_slots_written,storage_slots_deleted,code_written,code_bytes_written,account_cache_hits,account_cache_misses,account_cache_hit_rate,storage_cache_hits,storage_cache_misses,storage_cache_hit_rate,code_cache_hits,code_cache_misses,code_cache_hit_rate,code_cache_hit_bytes,code_cache_miss_bytes
pbt,bintrie,5,4,storage_sload_k100,10,,2281,0,0,0.03,3.0103,0.0017,0.1406,3.4159,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k100,10,,2282,0,0,0.0284,4.3805,0.0021,0.127,4.7665,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k100,10,,2283,0,0,0.0305,13.6739,0.0021,0.1469,14.0139,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k100,10,,2284,86852,2,0.1145,13.4258,20.72,5.1535,39.6294,2.1916,11,0,0,0,3,0,0,0,1,157,5,6,45.45,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k100,10,,2285,5900228,1,99.1248,6.262,2.7132,0.633,108.9391,54.1608,107,258,101,2957,2,0,0,0,0,0,27,80,25.23,55,203,21.32,101,0,100,2957,0
pbt,bintrie,5,4,storage_sload_k100,10,,2286,21000,1,0.0665,2.8537,15.4289,0.6771,19.1986,1.0938,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k100,11,,2287,0,0,0.0361,2.718,0.0015,0.136,3.1112,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k100,11,,2288,0,0,0.0572,5.9414,0.0026,0.193,6.5967,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k100,11,,2289,0,0,0.0475,3.1052,0.0019,0.1181,3.4697,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k100,11,,2290,86852,2,0.1186,3.2182,14.8737,4.8167,23.1868,3.7458,11,0,0,0,3,0,0,0,1,157,5,6,45.45,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k100,11,,2291,5900228,1,154.1235,6.9823,2.6285,0.8611,165.0519,35.7477,107,258,101,2957,2,0,0,0,0,0,8,99,7.48,14,244,5.43,101,0,100,2957,0
pbt,bintrie,5,4,storage_sload_k100,11,,2292,21000,1,0.0853,2.8971,2.3583,0.5772,6.061,3.4648,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k100,12,,2293,0,0,0.0437,3.1231,0.0018,0.2756,3.7166,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k100,12,,2294,0,0,0.0237,2.7622,0.0017,0.1337,3.1183,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k100,12,,2295,0,0,0.0311,2.9248,0.002,0.2502,3.7239,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k100,12,,2296,86852,2,0.1065,24.7761,2.7112,4.8465,32.6146,2.663,11,0,0,0,3,0,0,0,1,157,5,6,45.45,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k100,12,,2297,5900228,1,103.609,12.6153,2.6445,1.1947,120.2528,49.0652,107,258,101,2957,2,0,0,0,0,0,25,82,23.36,38,220,14.73,101,0,100,2957,0
pbt,bintrie,5,4,storage_sload_k100,12,,2298,21000,1,0.0627,13.9311,24.5243,0.6237,39.306,0.5343,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k100,13,,2299,0,0,0.0419,2.978,0.0014,0.1747,3.3781,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k100,13,,2300,0,0,0.042,3.6619,0.0024,0.1445,4.0745,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k100,13,,2301,0,0,0.039,14.4543,0.0029,0.1534,14.8277,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k100,13,,2302,86852,2,0.1122,3.3814,14.7504,4.5743,22.967,3.7816,11,0,0,0,3,0,0,0,1,157,6,5,54.55,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k100,13,,2303,5900228,1,98.9837,6.4194,2.4015,0.9115,109.0426,54.1094,107,258,101,2957,2,0,0,0,0,0,21,86,19.63,48,210,18.6,101,0,100,2957,0
pbt,bintrie,5,4,storage_sload_k100,13,,2304,21000,1,0.0608,2.88,3.1538,0.6357,6.9322,3.0293,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k100,13,,2305,0,0,0.0384,5.0762,0.0021,0.1358,5.512,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k100,14,,2306,0,0,0.0572,3.2359,0.0016,0.175,3.6865,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k100,14,,2307,0,0,0.0433,8.9761,0.0032,0.1688,9.6211,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k100,14,,2308,0,0,0.0278,13.9756,0.0016,0.1087,14.2957,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k100,14,,2309,86852,2,0.176,24.6215,2.7856,4.6296,32.4039,2.6803,11,0,0,0,3,0,0,0,1,157,6,5,54.55,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k100,14,,2310,5900228,1,101.5826,7.4398,2.4574,0.7896,112.4477,52.4709,107,258,101,2957,2,0,0,0,0,0,28,79,26.17,52,206,20.16,101,0,100,2957,0
pbt,bintrie,5,4,storage_sload_k100,14,,2311,21000,1,0.0626,13.0345,20.4459,0.6404,34.5631,0.6076,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k100,14,,2312,0,0,0.0254,2.6575,0.0015,0.222,3.3062,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k100,15,,2313,0,0,0.0367,3.0806,0.0017,0.1358,3.4219,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k100,15,,2314,0,0,0.0716,2.9595,0.0019,0.0894,3.4697,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k100,15,,2315,0,0,0.0275,2.8779,0.0017,0.1828,3.2658,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k100,15,,2316,86852,2,0.0858,3.317,15.4567,5.3986,25.377,3.4225,11,0,0,0,3,0,0,0,1,157,6,5,54.55,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k100,15,,2317,5900228,1,111.742,8.1736,2.6278,0.7772,123.7884,47.6638,107,258,101,2957,2,0,0,0,0,0,16,91,14.95,23,235,8.91,101,0,100,2957,0
pbt,bintrie,5,4,storage_sload_k100,15,,2318,21000,1,0.0733,5.52,3.6833,0.6247,10.0979,2.0796,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k100,15,,2319,0,0,0.0248,4.333,0.0014,0.1001,4.6005,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k100,16,,2320,0,0,0.0457,2.8802,0.0014,0.1579,3.2569,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k100,16,,2321,0,0,0.0913,4.4715,0.0018,0.1303,5.2349,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k100,16,,2322,0,0,0.1409,3.536,0.0021,0.1298,3.9438,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
