config,trie_type,group_depth,pebble_block_size_kb,benchmark,run,contract,block_number,gas_used,tx_count,execution_ms,state_read_ms,state_hash_ms,commit_ms,total_ms,mgas_per_sec,accounts_read,storage_slots_read,code_read,code_bytes_read,accounts_written,accounts_deleted,storage_slots_written,storage_slots_deleted,code_written,code_bytes_written,account_cache_hits,account_cache_misses,account_cache_hit_rate,storage_cache_hits,storage_cache_misses,storage_cache_hit_rate,code_cache_hits,code_cache_misses,code_cache_hit_rate,code_cache_hit_bytes,code_cache_miss_bytes
pbt,bintrie,5,4,storage_sstore_k1,10,,2534,0,0,0.046,3.3326,0.0016,0.1692,3.7982,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k1,10,,2535,0,0,0.0373,3.2646,0.0017,0.2143,3.7177,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k1,10,,2536,0,0,0.0322,3.0492,0.0019,0.1288,3.3668,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k1,10,,2537,86906,2,0.1228,23.9306,4.1581,5.3897,33.7856,2.5723,11,0,0,0,3,0,0,0,1,163,5,6,45.45,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k1,10,,2538,5915177,1,15.5259,13.9649,23.308,1.6288,54.7025,108.1335,8,1032,2,191,3,0,162,0,0,0,4,4,50,214,818,20.74,2,0,100,191,0
pbt,bintrie,5,4,storage_sstore_k1,10,,2539,21000,1,0.0629,2.9094,2.4497,0.579,6.1445,3.4177,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k1,11,,2540,0,0,0.0375,2.8344,0.0013,0.1284,3.277,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k1,11,,2541,0,0,0.031,2.9568,0.0048,0.2282,3.7328,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k1,11,,2542,0,0,0.0305,13.7012,0.0019,0.1275,14.0398,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k1,11,,2543,86906,2,0.1596,22.6203,3.2521,5.4902,31.6995,2.7416,11,0,0,0,3,0,0,0,1,163,5,6,45.45,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k1,11,,2544,5908615,1,12.6495,15.3621,9.3725,1.668,43.5062,135.8109,8,751,2,191,3,0,197,0,0,0,3,5,37.5,147,604,19.57,2,0,100,191,0
pbt,bintrie,5,4,storage_sstore_k1,11,,2545,21000,1,0.0597,2.6852,3.3785,0.6157,6.9068,3.0405,6,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k1,12,,2546,0,0,0.0438,3.1614,0.0017,0.2713,3.7648,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k1,12,,2547,0,0,0.0527,3.6295,0.0017,0.1186,4.1066,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k1,12,,2548,0,0,0.0311,2.844,0.0017,0.1084,3.1767,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k1,12,,2549,86906,2,0.1632,12.08,3.0388,5.2588,26.2704,3.3081,11,0,0,0,3,0,0,0,1,163,6,5,54.55,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k1,12,,2550,5908615,1,9.5948,19.4541,3.4922,1.6081,34.3326,172.0995,8,751,2,191,3,0,197,0,0,0,3,5,37.5,216,535,28.76,2,0,100,191,0
pbt,bintrie,5,4,storage_sstore_k1,12,,2551,21000,1,0.1065,16.3522,2.9908,0.6364,20.6109,1.0189,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k1,13,,2552,0,0,0.0278,2.7058,0.0012,0.144,3.0604,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k1,13,,2553,0,0,0.0661,6.5111,0.003,0.2052,7.1662,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k1,13,,2554,0,0,0.0347,3.8654,0.0023,0.1704,4.2771,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k1,13,,2555,86906,2,0.0948,3.157,14.9645,4.6568,23.0388,3.7722,11,0,0,0,3,0,0,0,1,163,5,6,45.45,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k1,13,,2556,5908615,1,12.5082,12.0673,4.7348,1.8414,31.4029,188.155,8,751,2,191,3,0,197,0,0,0,0,8,0,82,669,10.92,2,0,100,191,0
pbt,bintrie,5,4,storage_sstore_k1,13,,2557,21000,1,0.2226,3.7688,2.7536,0.6948,19.0525,1.1022,6,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k1,14,,2558,0,0,0.0352,2.8818,0.0012,0.1261,3.2711,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k1,14,,2559,0,0,0.0375,11.0531,0.002,0.121,11.5835,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
