config,trie_type,group_depth,pebble_block_size_kb,benchmark,run,contract,block_number,gas_used,tx_count,execution_ms,state_read_ms,state_hash_ms,commit_ms,total_ms,mgas_per_sec,accounts_read,storage_slots_read,code_read,code_bytes_read,accounts_written,accounts_deleted,storage_slots_written,storage_slots_deleted,code_written,code_bytes_written,account_cache_hits,account_cache_misses,account_cache_hit_rate,storage_cache_hits,storage_cache_misses,storage_cache_hit_rate,code_cache_hits,code_cache_misses,code_cache_hit_rate,code_cache_hit_bytes,code_cache_miss_bytes
pbt,bintrie,5,4,storage_mixed_k10,10,,1370,0,0,0.0798,10.0753,0.1491,0.3359,11.3463,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k10,10,,1371,0,0,0.0594,16.3673,0.0848,0.2172,16.9055,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k10,10,,1372,0,0,0.0387,17.5996,0.1301,0.4128,18.3654,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k10,10,,1373,91710,2,0.1376,14.8586,27.4443,19.1274,61.7552,1.4851,11,0,0,0,3,0,0,0,1,305,5,6,45.45,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k10,10,,1374,5908255,1,60.6215,13.3761,10.877,5.7304,90.7624,65.0958,17,723,11,585,3,0,85,0,0,0,4,13,23.53,109,614,15.08,11,0,100,585,0
pbt,bintrie,5,4,storage_mixed_k10,10,,1375,21000,1,0.0599,3.4083,13.8243,2.8297,20.3144,1.0338,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k10,11,,1376,0,0,0.0896,9.8224,0.1161,0.3231,10.5612,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k10,11,,1377,0,0,0.0309,15.4108,0.1273,0.3604,16.1168,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k10,11,,1378,0,0,0.0262,3.3161,0.0996,0.2739,3.951,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k10,11,,1379,91710,2,0.1548,3.5279,30.6287,19.0664,53.5594,1.7123,11,0,0,0,3,0,0,0,1,305,5,6,45.45,0,0,0,0,0,0,0,0
