config,trie_type,group_depth,pebble_block_size_kb,benchmark,run,contract,block_number,gas_used,tx_count,execution_ms,state_read_ms,state_hash_ms,commit_ms,total_ms,mgas_per_sec,accounts_read,storage_slots_read,code_read,code_bytes_read,accounts_written,accounts_deleted,storage_slots_written,storage_slots_deleted,code_written,code_bytes_written,account_cache_hits,account_cache_misses,account_cache_hit_rate,storage_cache_hits,storage_cache_misses,storage_cache_hit_rate,code_cache_hits,code_cache_misses,code_cache_hit_rate,code_cache_hit_bytes,code_cache_miss_bytes
pbt,bintrie,5,4,storage_sstore_k256,10,,1094,0,0,0.0598,3.9378,3.7385,0.4559,11.1703,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k256,10,,1095,0,0,0.0244,3.7979,0.1495,0.2461,4.3579,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k256,10,,1096,0,0,0.0482,3.1584,0.0941,0.2206,3.7449,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k256,10,,1097,86926,2,0.1356,6.4012,20.1088,7.4771,37.7141,2.3049,11,0,0,0,3,0,0,0,1,165,5,6,45.45,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k256,10,,1098,5903530,1,3.4767,14.9262,58.7705,21.6942,99.036,59.6099,219,212,213,6101,213,0,211,0,0,0,73,146,33.33,46,166,21.7,213,0,100,6101,0
pbt,bintrie,5,4,storage_sstore_k256,10,,1099,21000,1,0.1391,1.4732,4.8892,2.7222,10.0771,2.0839,6,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k256,10,,1100,0,0,0.0299,9.1526,0.2122,0.2964,9.845,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k256,11,,1101,0,0,0.0537,4.1468,1.9023,4.1477,10.444,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k256,11,,1102,0,0,0.0344,3.8807,0.1412,0.2875,4.5096,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k256,11,,1103,0,0,0.0307,19.7028,0.3681,0.8728,21.4543,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k256,11,,1104,86926,2,0.138,15.3817,27.0395,4.5338,47.2613,1.8393,11,0,0,0,3,0,0,0,1,165,5,6,45.45,0,0,0,0,0,0,0,0
