config,trie_type,group_depth,pebble_block_size_kb,benchmark,run,contract,block_number,gas_used,tx_count,execution_ms,state_read_ms,state_hash_ms,commit_ms,total_ms,mgas_per_sec,accounts_read,storage_slots_read,code_read,code_bytes_read,accounts_written,accounts_deleted,storage_slots_written,storage_slots_deleted,code_written,code_bytes_written,account_cache_hits,account_cache_misses,account_cache_hit_rate,storage_cache_hits,storage_cache_misses,storage_cache_hit_rate,code_cache_hits,code_cache_misses,code_cache_hit_rate,code_cache_hit_bytes,code_cache_miss_bytes
pbt,bintrie,5,4,storage_mixed_k10,10,,7883,0,0,0.0467,21.2685,0.0019,0.1953,21.7244,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k10,10,,7884,0,0,0.0423,8.7206,0.002,0.1493,9.1175,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k10,10,,7885,0,0,0.0978,19.9877,0.0027,0.4227,28.9089,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k10,10,,7886,91710,2,0.1283,21.3894,7.5943,6.9969,36.3399,2.5237,11,0,0,0,3,0,0,0,1,305,5,6,45.45,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k10,10,,7887,5908267,1,61.7149,23.3322,7.2187,0.9821,95.0108,62.1852,17,723,11,585,3,0,85,0,0,0,6,11,35.29,102,621,14.11,11,0,100,585,0
pbt,bintrie,5,4,storage_mixed_k10,10,,7888,21000,1,0.08,3.2492,11.8294,0.5832,15.9213,1.319,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k10,10,,7889,0,0,0.0268,13.0759,0.0018,0.134,13.4198,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k10,11,,7890,0,0,0.0585,20.6896,0.002,0.2354,21.2026,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k10,11,,7891,0,0,0.0283,11.2035,0.0021,0.1501,11.5619,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k10,11,,7892,0,0,0.0631,26.6618,0.0022,0.112,27.409,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k10,11,,7893,91710,2,0.1451,19.619,22.0316,6.7007,48.7255,1.8822,11,0,0,0,3,0,0,0,1,305,6,5,54.55,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k10,11,,7894,5908267,1,69.9447,22.5539,4.2493,1.176,98.2663,60.1251,17,723,11,585,3,0,85,0,0,0,5,12,29.41,40,683,5.53,11,0,100,585,0
pbt,bintrie,5,4,storage_mixed_k10,11,,7895,21000,1,0.0768,4.2034,9.929,0.4803,22.2067,0.9457,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k10,11,,7896,0,0,0.027,13.185,0.002,0.1217,13.5265,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k10,12,,7897,0,0,0.0687,25.3646,0.0028,0.2596,26.0061,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k10,12,,7898,0,0,0.0415,8.6412,0.0022,0.1842,9.0768,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k10,12,,7899,0,0,0.0436,39.3802,0.0043,0.8175,41.3148,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k10,12,,7900,91710,2,0.1052,4.3643,21.4352,7.2555,33.2994,2.7541,11,0,0,0,3,0,0,0,1,305,6,5,54.55,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k10,12,,7901,5908267,1,58.7078,6.8043,44.1488,1.141,111.2047,53.1297,17,723,11,585,3,0,85,0,0,0,4,13,23.53,138,585,19.09,11,0,100,585,0
pbt,bintrie,5,4,storage_mixed_k10,12,,7902,21000,1,0.0615,3.1595,15.3047,0.5512,19.2488,1.091,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k10,12,,7903,0,0,0.0268,12.7369,0.0028,0.1269,13.0484,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k10,13,,7904,0,0,0.0376,17.7204,0.0029,0.1847,18.1813,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k10,13,,7905,0,0,0.04,9.9299,0.0015,0.1176,10.24,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k10,13,,7906,0,0,0.0527,4.2837,0.0024,1.2295,8.5423,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k10,13,,7907,91710,2,0.0917,24.3876,14.0187,7.0481,45.7248,2.0057,11,0,0,0,3,0,0,0,1,305,6,5,54.55,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k10,13,,7908,5908267,1,59.268,11.7414,24.3771,1.0393,97.0199,60.8975,17,723,11,585,3,0,85,0,0,0,5,12,29.41,57,666,7.88,11,0,100,585,0
pbt,bintrie,5,4,storage_mixed_k10,13,,7909,21000,1,0.0679,2.4419,9.9877,0.6679,21.0902,0.9957,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k10,13,,7910,0,0,0.0353,9.4586,0.005,0.1872,17.0838,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k10,14,,7911,0,0,0.0529,17.8115,0.0032,0.1731,18.3208,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k10,14,,7912,0,0,0.0259,2.6607,0.0014,0.1384,2.9901,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
