config,trie_type,group_depth,pebble_block_size_kb,benchmark,run,contract,block_number,gas_used,tx_count,execution_ms,state_read_ms,state_hash_ms,commit_ms,total_ms,mgas_per_sec,accounts_read,storage_slots_read,code_read,code_bytes_read,accounts_written,accounts_deleted,storage_slots_written,storage_slots_deleted,code_written,code_bytes_written,account_cache_hits,account_cache_misses,account_cache_hit_rate,storage_cache_hits,storage_cache_misses,storage_cache_hit_rate,code_cache_hits,code_cache_misses,code_cache_hit_rate,code_cache_hit_bytes,code_cache_miss_bytes
pbt,bintrie,5,4,storage_sload_k1,10,,6710,0,0,0.0531,5.8639,0.0015,0.188,6.3454,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k1,10,,6711,0,0,0.0552,7.4969,0.002,0.9898,13.0218,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k1,10,,6712,0,0,0.0361,8.6162,0.0025,0.1606,8.9935,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k1,10,,6713,86120,2,0.2392,23.2221,5.3813,4.9403,34.0508,2.5292,11,0,0,0,3,0,0,0,1,155,5,6,45.45,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k1,10,,6714,5900418,1,111.5205,21.1909,13.362,0.5855,147.1036,40.1106,8,258,2,183,2,0,0,0,0,0,3,5,37.5,6,252,2.33,2,0,100,183,0
pbt,bintrie,5,4,storage_sload_k1,10,,6715,21000,1,0.0539,20.3237,2.8185,0.5371,23.9264,0.8777,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k1,10,,6716,0,0,0.0506,6.4363,0.0029,0.209,6.8837,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k1,11,,6717,0,0,0.0432,4.2355,0.0022,0.2195,4.7207,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k1,11,,6718,0,0,0.0638,14.703,0.003,0.1592,15.1494,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k1,11,,6719,0,0,0.8386,9.0034,0.0026,0.3719,10.4203,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k1,11,,6720,86120,2,0.6752,15.4414,10.1476,4.4592,32.7656,2.6284,11,0,0,0,3,0,0,0,1,155,6,5,54.55,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k1,11,,6721,5900418,1,116.7864,17.6128,7.2245,0.6412,142.6975,41.3491,8,258,2,183,2,0,0,0,0,0,3,5,37.5,16,242,6.2,2,0,100,183,0
pbt,bintrie,5,4,storage_sload_k1,11,,6722,21000,1,0.0691,20.3581,2.4116,0.5468,23.5975,0.8899,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k1,11,,6723,0,0,0.0383,3.2387,0.0026,0.239,3.7209,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k1,12,,6724,0,0,0.0395,8.9909,0.0025,0.3312,9.6497,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k1,12,,6725,0,0,0.0345,3.0627,0.003,0.3911,10.716,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k1,12,,6726,0,0,0.0375,3.8853,0.0023,0.2108,4.276,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k1,12,,6727,86120,2,0.1737,29.3925,2.6436,5.197,37.6302,2.2886,11,0,0,0,3,0,0,0,1,155,5,6,45.45,0,0,0,0,0,0,0,0
