config,trie_type,group_depth,pebble_block_size_kb,benchmark,run,contract,block_number,gas_used,tx_count,execution_ms,state_read_ms,state_hash_ms,commit_ms,total_ms,mgas_per_sec,accounts_read,storage_slots_read,code_read,code_bytes_read,accounts_written,accounts_deleted,storage_slots_written,storage_slots_deleted,code_written,code_bytes_written,account_cache_hits,account_cache_misses,account_cache_hit_rate,storage_cache_hits,storage_cache_misses,storage_cache_hit_rate,code_cache_hits,code_cache_misses,code_cache_hit_rate,code_cache_hit_bytes,code_cache_miss_bytes
pbt,bintrie,5,4,storage_sstore_k1,10,,7261,0,0,3.1517,3.2912,0.0019,0.1821,6.8374,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k1,10,,7262,0,0,0.0322,21.6356,0.0028,0.2752,22.1497,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k1,10,,7263,0,0,0.05,6.7805,0.0018,0.108,7.1757,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k1,10,,7264,86906,2,0.1176,18.3173,4.0805,5.2668,29.9053,2.906,11,0,0,0,3,0,0,0,1,163,5,6,45.45,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k1,10,,7265,5911443,1,4.1413,16.211,10.6483,3.2399,34.4515,171.5875,8,259,2,191,3,0,259,0,0,0,1,7,12.5,99,160,38.22,2,0,100,191,0
pbt,bintrie,5,4,storage_sstore_k1,10,,7266,21000,1,0.0682,12.3773,4.0433,0.4937,17.1923,1.2215,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k1,11,,7267,0,0,0.0388,4.9934,0.002,0.2819,5.5101,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k1,11,,7268,0,0,0.0362,19.0507,0.0018,0.1398,19.4082,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k1,11,,7269,0,0,0.0353,4.9267,0.002,3.1389,9.8289,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k1,11,,7270,86906,2,0.114,23.3536,6.4129,5.7225,35.8513,2.4241,11,0,0,0,3,0,0,0,1,163,5,6,45.45,0,0,0,0,0,0,0,0
