config,trie_type,group_depth,pebble_block_size_kb,benchmark,run,contract,block_number,gas_used,tx_count,execution_ms,state_read_ms,state_hash_ms,commit_ms,total_ms,mgas_per_sec,accounts_read,storage_slots_read,code_read,code_bytes_read,accounts_written,accounts_deleted,storage_slots_written,storage_slots_deleted,code_written,code_bytes_written,account_cache_hits,account_cache_misses,account_cache_hit_rate,storage_cache_hits,storage_cache_misses,storage_cache_hit_rate,code_cache_hits,code_cache_misses,code_cache_hit_rate,code_cache_hit_bytes,code_cache_miss_bytes
pbt,bintrie,5,4,storage_mixed_k256,10,,6569,0,0,0.0481,4.1418,0.0031,0.3361,4.7803,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k256,10,,6570,0,0,0.04,17.0836,0.0021,0.1224,17.439,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k256,10,,6571,0,0,0.0331,9.8559,0.0033,0.2395,10.9847,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k256,10,,6572,91698,2,0.1638,19.9214,2.7827,5.4781,28.5298,3.2141,11,0,0,0,3,0,0,0,1,305,5,6,45.45,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k256,10,,6573,5919252,1,36.9466,36.0088,20.3801,4.85,98.3839,60.1648,263,814,257,7473,47,0,72,0,0,0,101,162,38.4,252,562,30.96,257,0,100,7473,0
pbt,bintrie,5,4,storage_mixed_k256,10,,6574,0,0,0.0372,10.731,0.002,0.1126,11.0803,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k256,10,,6575,21000,1,0.0897,15.3754,9.0305,0.7956,25.5748,0.8211,6,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k256,10,,6576,0,0,0.027,2.4132,0.0018,0.1064,2.6774,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k256,11,,6577,0,0,0.049,6.4121,0.0024,0.1584,6.8241,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k256,11,,6578,0,0,0.0379,17.1631,0.0024,0.1396,17.5468,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k256,11,,6579,0,0,0.0339,3.9042,0.0026,0.1515,4.2296,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k256,11,,6580,91698,2,0.1363,13.7432,12.9565,5.179,34.9189,2.626,11,0,0,0,3,0,0,0,1,305,5,6,45.45,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k256,11,,6581,5919252,1,39.8218,28.9979,23.723,3.5053,96.7527,61.1792,263,814,257,7473,47,0,72,0,0,0,122,141,46.39,250,564,30.71,257,0,100,7473,0
pbt,bintrie,5,4,storage_mixed_k256,11,,6582,21000,1,0.0694,7.8361,18.9036,0.5371,27.5255,0.7629,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k256,11,,6583,0,0,0.0617,14.816,0.0038,0.2015,15.3111,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k256,12,,6584,0,0,0.0394,8.9102,0.0018,0.2335,9.4421,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k256,12,,6585,0,0,0.0357,3.2992,0.0027,2.2022,9.7011,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k256,12,,6586,0,0,0.0421,15.1384,0.003,0.1442,15.5091,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k256,12,,6587,91698,2,0.1743,12.6625,9.0274,5.2845,30.0688,3.0496,11,0,0,0,3,0,0,0,1,305,5,6,45.45,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k256,12,,6588,5919252,1,47.6546,23.9801,13.7148,3.7754,89.346,66.2509,263,814,257,7473,47,0,72,0,0,0,158,105,60.08,392,422,48.16,257,0,100,7473,0
pbt,bintrie,5,4,storage_mixed_k256,12,,6589,21000,1,0.0838,17.1576,14.1132,0.4976,32.03,0.6556,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k256,12,,6590,0,0,0.0388,23.6433,0.0033,0.1425,24.0157,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k256,13,,6591,0,0,0.056,10.2897,0.0025,0.2798,10.8918,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k256,13,,6592,0,0,0.0286,19.0272,0.0019,0.1148,19.3487,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k256,13,,6593,0,0,0.04,14.735,0.002,0.1541,15.0953,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k256,13,,6594,91698,2,0.2946,22.8032,4.0357,5.7505,33.833,2.7103,11,0,0,0,3,0,0,0,1,305,4,7,36.36,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k256,13,,6595,5919252,1,46.8827,26.3897,15.0228,4.4182,93.0781,63.5944,263,814,257,7473,47,0,72,0,0,0,62,201,23.57,245,569,30.1,257,0,100,7473,0
pbt,bintrie,5,4,storage_mixed_k256,13,,6596,21000,1,0.0704,9.0352,21.9299,0.6041,31.8529,0.6593,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k256,13,,6597,0,0,0.0457,13.7511,0.003,0.1855,14.1863,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k256,14,,6598,0,0,0.0439,7.5016,0.0067,0.1843,7.9813,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k256,14,,6599,0,0,0.032,16.6358,0.0026,0.1354,16.9718,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k256,14,,6600,0,0,0.042,3.4211,0.0041,0.2009,3.8421,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k256,14,,6601,91698,2,0.1699,22.8265,15.4553,4.2951,44.3991,2.0653,11,0,0,0,3,0,0,0,1,305,6,5,54.55,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k256,14,,6602,5919252,1,36.7915,27.8039,19.8263,3.7877,88.6202,66.7935,263,814,257,7473,47,0,72,0,0,0,57,206,21.67,372,442,45.7,257,0,100,7473,0
pbt,bintrie,5,4,storage_mixed_k256,14,,6603,21000,1,0.0733,9.2495,5.6116,0.4907,15.6663,1.3405,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k256,14,,6604,0,0,0.0408,3.1217,0.0026,0.2105,3.6218,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k256,15,,6605,0,0,0.038,3.5853,0.0064,0.2855,4.0941,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k256,15,,6606,0,0,0.0289,3.2307,0.0024,2.8321,10.1097,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k256,15,,6607,0,0,0.0342,8.003,0.0031,0.1501,8.3582,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k256,15,,6608,91698,2,0.1574,22.4817,2.5987,5.4084,31.181,2.9408,11,0,0,0,3,0,0,0,1,305,5,6,45.45,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k256,15,,6609,5919252,1,48.661,9.6321,21.047,7.9265,95.3592,62.0732,263,814,257,7473,47,0,72,0,0,0,131,132,49.81,351,463,43.12,257,0,100,7473,0
pbt,bintrie,5,4,storage_mixed_k256,15,,6610,21000,1,0.0719,7.6143,4.9047,0.588,18.8252,1.1155,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k256,15,,6611,0,0,0.0358,2.8454,0.0017,0.1382,3.2139,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k256,16,,6612,0,0,0.0413,7.1824,0.0019,0.2258,7.9403,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k256,16,,6613,0,0,0.0365,3.5519,0.0039,1.0851,9.0797,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k256,16,,6614,0,0,0.036,23.0437,0.0027,0.1765,23.4235,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k256,16,,6615,91698,2,0.1222,29.0415,4.6396,5.1892,44.2822,2.0708,11,0,0,0,3,0,0,0,1,305,6,5,54.55,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k256,16,,6616,5919252,1,56.7352,28.3243,16.703,8.2321,110.3709,53.6305,263,814,257,7473,47,0,72,0,0,0,28,235,10.65,93,721,11.43,257,0,100,7473,0
pbt,bintrie,5,4,storage_mixed_k256,16,,6617,21000,1,0.078,13.2668,3.896,0.49,17.9047,1.1729,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k256,16,,6618,0,0,0.1008,5.099,0.003,0.1505,5.5505,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k256,17,,6619,0,0,0.044,7.7105,0.0031,0.2929,8.3114,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k256,17,,6620,0,0,0.0375,19.3672,0.0027,0.1484,19.7706,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k256,17,,6621,0,0,0.0416,6.8572,0.0026,0.1756,7.4294,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k256,17,,6622,91698,2,0.0982,19.4842,3.4534,6.0183,29.2255,3.1376,11,0,0,0,3,0,0,0,1,305,7,4,63.64,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k256,17,,6623,5919252,1,43.3297,25.7255,14.9301,3.7342,88.0501,67.2259,263,814,257,7473,47,0,72,0,0,0,31,232,11.79,173,641,21.25,257,0,100,7473,0
pbt,bintrie,5,4,storage_mixed_k256,17,,6624,21000,1,0.1163,5.1794,11.1182,1.1393,17.8182,1.1786,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k256,17,,6625,0,0,0.0533,15.8574,0.0033,0.9686,18.7824,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k256,18,,6626,0,0,0.0664,6.0155,0.0029,0.2208,6.607,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
