config,trie_type,group_depth,pebble_block_size_kb,benchmark,run,contract,block_number,gas_used,tx_count,execution_ms,state_read_ms,state_hash_ms,commit_ms,total_ms,mgas_per_sec,accounts_read,storage_slots_read,code_read,code_bytes_read,accounts_written,accounts_deleted,storage_slots_written,storage_slots_deleted,code_written,code_bytes_written,account_cache_hits,account_cache_misses,account_cache_hit_rate,storage_cache_hits,storage_cache_misses,storage_cache_hit_rate,code_cache_hits,code_cache_misses,code_cache_hit_rate,code_cache_hit_bytes,code_cache_miss_bytes
pbt,bintrie,5,4,storage_sload_k256,10,,5524,0,0,0.042,9.1839,0.0022,0.1812,9.6147,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k256,10,,5525,0,0,0.0332,25.0395,0.0023,0.2159,25.5524,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k256,10,,5526,0,0,0.0366,2.7138,0.0018,0.171,3.0777,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k256,10,,5527,86840,2,0.622,14.1357,24.957,3.8678,44.0114,1.9731,11,0,0,0,3,0,0,0,1,157,5,6,45.45,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k256,10,,5528,5900023,1,120.0837,17.0698,10.684,0.701,148.8867,39.6276,263,259,257,7325,2,0,0,0,0,0,151,112,57.41,148,111,57.14,257,0,100,7325,0
pbt,bintrie,5,4,storage_sload_k256,10,,5529,21000,1,0.0968,10.2838,10.3496,0.7584,21.6769,0.9688,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k256,10,,5530,0,0,0.0436,24.6225,0.0022,0.1687,25.0166,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k256,11,,5531,0,0,0.0427,4.3371,0.0029,0.1998,4.8015,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k256,11,,5532,0,0,0.0294,16.7072,0.0046,0.1741,17.0896,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k256,11,,5533,0,0,0.1089,24.8581,0.0019,0.1426,25.2812,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k256,11,,5534,86840,2,0.1409,24.9679,6.9892,6.0902,38.637,2.2476,11,0,0,0,3,0,0,0,1,157,6,5,54.55,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k256,11,,5535,5900023,1,104.5627,26.6518,3.8984,1.0801,136.5995,43.1921,263,259,257,7325,2,0,0,0,0,0,76,187,28.9,85,174,32.82,257,0,100,7325,0
pbt,bintrie,5,4,storage_sload_k256,11,,5536,21000,1,0.2028,21.5657,14.234,0.6126,36.8292,0.5702,6,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k256,11,,5537,0,0,0.0502,12.9164,0.0036,2.8241,18.2785,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k256,12,,5538,0,0,0.0525,3.7644,0.0023,0.3078,4.3275,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k256,12,,5539,0,0,0.0392,26.7821,0.0023,0.1185,27.2033,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k256,12,,5540,0,0,0.0482,5.1727,0.0033,0.1775,8.0357,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k256,12,,5541,86840,2,0.6835,18.1332,8.0203,4.6465,31.6906,2.7402,11,0,0,0,3,0,0,0,1,157,6,5,54.55,0,0,0,0,0,0,0,0
