config,trie_type,group_depth,pebble_block_size_kb,benchmark,run,contract,block_number,gas_used,tx_count,execution_ms,state_read_ms,state_hash_ms,commit_ms,total_ms,mgas_per_sec,accounts_read,storage_slots_read,code_read,code_bytes_read,accounts_written,accounts_deleted,storage_slots_written,storage_slots_deleted,code_written,code_bytes_written,account_cache_hits,account_cache_misses,account_cache_hit_rate,storage_cache_hits,storage_cache_misses,storage_cache_hit_rate,code_cache_hits,code_cache_misses,code_cache_hit_rate,code_cache_hit_bytes,code_cache_miss_bytes
pbt,bintrie,5,4,storage_sstore_k256,10,,6027,0,0,0.0421,21.8183,0.0023,0.1498,22.2094,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k256,10,,6028,0,0,0.0314,14.3129,0.002,0.1157,14.6217,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k256,10,,6029,0,0,0.0456,22.8094,0.0022,0.1535,23.2337,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k256,10,,6030,86926,2,0.092,20.9148,2.627,4.8671,28.7038,3.0284,11,0,0,0,3,0,0,0,1,165,6,5,54.55,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k256,10,,6031,5903542,1,6.0248,22.9206,72.6813,14.8628,118.185,49.9517,219,212,213,6101,213,0,211,0,0,0,157,62,71.69,145,67,68.4,213,0,100,6101,0
pbt,bintrie,5,4,storage_sstore_k256,10,,6032,21000,1,0.0865,4.3824,13.0638,0.7856,22.2267,0.9448,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k256,10,,6033,0,0,0.0374,4.8554,0.0025,0.2926,5.5916,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k256,11,,6034,0,0,0.0487,17.176,0.0033,0.248,17.8166,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k256,11,,6035,0,0,0.0338,3.7336,0.006,0.16,4.66,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k256,11,,6036,0,0,0.0554,3.8617,0.0015,0.1189,4.2193,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
