config,trie_type,group_depth,pebble_block_size_kb,benchmark,run,contract,block_number,gas_used,tx_count,execution_ms,state_read_ms,state_hash_ms,commit_ms,total_ms,mgas_per_sec,accounts_read,storage_slots_read,code_read,code_bytes_read,accounts_written,accounts_deleted,storage_slots_written,storage_slots_deleted,code_written,code_bytes_written,account_cache_hits,account_cache_misses,account_cache_hit_rate,storage_cache_hits,storage_cache_misses,storage_cache_hit_rate,code_cache_hits,code_cache_misses,code_cache_hit_rate,code_cache_hit_bytes,code_cache_miss_bytes
pbt-noparallel,bintrie,5,4,storage_sload_k1,10,,1758,0,0,0.0527,5.0875,0.0021,0.1377,5.5684,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt-noparallel,bintrie,5,4,storage_sload_k1,10,,1759,0,0,0.0434,5.3663,0.0023,0.1534,5.7826,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt-noparallel,bintrie,5,4,storage_sload_k1,10,,1760,0,0,0.0329,15.4921,0.0027,0.1923,15.918,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt-noparallel,bintrie,5,4,storage_sload_k1,10,,1761,86120,2,0.1259,13.1781,13.54,4.9269,31.9285,2.6973,11,0,0,0,3,0,0,0,1,155,5,6,45.45,0,0,0,0,0,0,0,0
pbt-noparallel,bintrie,5,4,storage_sload_k1,10,,1762,5900406,1,109.0342,15.1171,2.5185,0.8854,128.0728,46.0707,8,258,2,183,2,0,0,0,0,0,1,7,12.5,45,213,17.44,2,0,100,183,0
pbt-noparallel,bintrie,5,4,storage_sload_k1,10,,1763,21000,1,0.0667,10.3583,3.1003,0.7097,14.4362,1.4547,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
pbt-noparallel,bintrie,5,4,storage_sload_k1,10,,1764,0,0,0.0375,5.3878,0.0021,0.1423,5.7556,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt-noparallel,bintrie,5,4,storage_sload_k1,1,,1698,0,0,0.0593,4.1261,0.0016,0.1345,4.5398,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt-noparallel,bintrie,5,4,storage_sload_k1,1,,1699,0,0,0.0405,2.6765,0.0015,0.0896,2.9834,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt-noparallel,bintrie,5,4,storage_sload_k1,1,,1700,0,0,0.049,3.1599,0.0022,0.0795,3.4207,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt-noparallel,bintrie,5,4,storage_sload_k1,1,,1701,86120,2,0.1022,15.4959,13.9631,6.8832,36.6305,2.351,11,0,0,0,3,0,0,0,1,155,5,6,45.45,0,0,0,0,0,0,0,0
pbt-noparallel,bintrie,5,4,storage_sload_k1,1,,1702,5900406,1,112.557,4.7642,2.576,0.9691,121.2011,48.6828,8,258,2,183,2,0,0,0,0,0,4,4,50,123,135,47.67,2,0,100,183,0
pbt-noparallel,bintrie,5,4,storage_sload_k1,1,,1703,21000,1,0.2298,11.4826,2.5127,0.7807,15.2381,1.3781,6,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
pbt-noparallel,bintrie,5,4,storage_sload_k1,2,,1704,0,0,0.0519,8.112,0.0018,0.3298,8.6766,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt-noparallel,bintrie,5,4,storage_sload_k1,2,,1705,0,0,0.0296,3.5258,0.0014,0.1063,3.8181,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt-noparallel,bintrie,5,4,storage_sload_k1,2,,1706,0,0,0.0391,3.948,0.0018,0.2474,4.3824,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt-noparallel,bintrie,5,4,storage_sload_k1,2,,1707,86120,2,0.2099,17.7493,2.6155,5.9548,26.7437,3.2202,11,0,0,0,3,0,0,0,1,155,5,6,45.45,0,0,0,0,0,0,0,0
pbt-noparallel,bintrie,5,4,storage_sload_k1,2,,1708,5900406,1,104.496,13.3311,2.473,0.7141,121.189,48.6876,8,258,2,183,2,0,0,0,0,0,3,5,37.5,68,190,26.36,2,0,100,183,0
pbt-noparallel,bintrie,5,4,storage_sload_k1,2,,1709,21000,1,0.0824,4.3742,23.2838,0.5994,28.512,0.7365,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
pbt-noparallel,bintrie,5,4,storage_sload_k1,3,,1710,0,0,0.0555,3.3744,0.0022,0.1416,3.8337,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt-noparallel,bintrie,5,4,storage_sload_k1,3,,1711,0,0,0.0353,3.2663,0.002,0.1712,3.7013,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt-noparallel,bintrie,5,4,storage_sload_k1,3,,1712,0,0,0.0473,14.8082,0.0019,0.1416,15.2025,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt-noparallel,bintrie,5,4,storage_sload_k1,3,,1713,86120,2,0.1511,20.2684,3.9122,4.4303,28.9574,2.974,11,0,0,0,3,0,0,0,1,155,6,5,54.55,0,0,0,0,0,0,0,0
pbt-noparallel,bintrie,5,4,storage_sload_k1,3,,1714,5900406,1,153.7646,11.9421,14.3894,0.8444,181.2844,32.5478,8,258,2,183,2,0,0,0,0,0,1,7,12.5,119,139,46.12,2,0,100,183,0
pbt-noparallel,bintrie,5,4,storage_sload_k1,3,,1715,21000,1,0.0691,9.0233,2.6912,1.1011,16.0482,1.3086,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
pbt-noparallel,bintrie,5,4,storage_sload_k1,3,,1716,0,0,0.0397,3.2227,0.0018,0.1953,3.643,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt-noparallel,bintrie,5,4,storage_sload_k1,4,,1717,0,0,0.0613,8.0932,0.002,0.2098,8.5802,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt-noparallel,bintrie,5,4,storage_sload_k1,4,,1718,0,0,0.0288,2.9676,0.0014,0.1218,3.3101,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt-noparallel,bintrie,5,4,storage_sload_k1,4,,1719,0,0,0.0272,3.5479,0.0017,0.1849,3.907,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt-noparallel,bintrie,5,4,storage_sload_k1,4,,1720,86120,2,0.1169,3.1141,14.0379,5.0524,23.7933,3.6195,11,0,0,0,3,0,0,0,1,155,5,6,45.45,0,0,0,0,0,0,0,0
pbt-noparallel,bintrie,5,4,storage_sload_k1,4,,1721,5900406,1,108.1951,7.9165,2.7722,0.8323,120.2189,49.0805,8,258,2,183,2,0,0,0,0,0,0,8,0,0,258,0,2,0,100,183,0
pbt-noparallel,bintrie,5,4,storage_sload_k1,4,,1722,21000,1,0.0969,10.5428,4.8365,0.6116,16.2856,1.2895,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
pbt-noparallel,bintrie,5,4,storage_sload_k1,4,,1723,0,0,0.0241,2.7568,0.0018,0.1383,3.1698,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt-noparallel,bintrie,5,4,storage_sload_k1,5,,1724,0,0,0.0376,3.2045,0.002,0.15,3.5986,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt-noparallel,bintrie,5,4,storage_sload_k1,5,,1725,0,0,0.0302,2.9263,0.0018,0.1916,3.3696,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt-noparallel,bintrie,5,4,storage_sload_k1,5,,1726,0,0,0.0501,14.1851,0.0017,0.1197,14.5261,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
