config,trie_type,group_depth,pebble_block_size_kb,benchmark,run,contract,block_number,gas_used,tx_count,execution_ms,state_read_ms,state_hash_ms,commit_ms,total_ms,mgas_per_sec,accounts_read,storage_slots_read,code_read,code_bytes_read,accounts_written,accounts_deleted,storage_slots_written,storage_slots_deleted,code_written,code_bytes_written,account_cache_hits,account_cache_misses,account_cache_hit_rate,storage_cache_hits,storage_cache_misses,storage_cache_hit_rate,code_cache_hits,code_cache_misses,code_cache_hit_rate,code_cache_hit_bytes,code_cache_miss_bytes
pbt-noparallel,bintrie,5,4,storage_sstore_k1,10,,1884,0,0,0.0395,2.7827,0.0017,0.1786,3.2175,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt-noparallel,bintrie,5,4,storage_sstore_k1,10,,1885,0,0,0.0443,4.9421,0.0018,0.1566,5.3409,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt-noparallel,bintrie,5,4,storage_sstore_k1,10,,1886,0,0,0.029,3.2299,0.0015,0.0981,3.5414,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt-noparallel,bintrie,5,4,storage_sstore_k1,10,,1887,86906,2,0.1113,23.4055,2.6348,5.478,31.8086,2.7322,11,0,0,0,3,0,0,0,1,163,6,5,54.55,0,0,0,0,0,0,0,0
pbt-noparallel,bintrie,5,4,storage_sstore_k1,10,,1888,5908615,1,9.9146,7.7746,4.635,3.9105,26.4289,223.5662,8,751,2,191,3,0,197,0,0,0,4,4,50,461,290,61.38,2,0,100,191,0
pbt-noparallel,bintrie,5,4,storage_sstore_k1,10,,1889,21000,1,0.076,2.9761,2.5832,0.61,6.4072,3.2776,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
pbt-noparallel,bintrie,5,4,storage_sstore_k1,1,,1830,0,0,0.0323,3.2206,0.0013,0.1555,3.5543,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt-noparallel,bintrie,5,4,storage_sstore_k1,1,,1831,0,0,0.0301,6.5653,0.0022,0.1082,6.8586,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt-noparallel,bintrie,5,4,storage_sstore_k1,1,,1832,0,0,0.026,2.8383,0.0018,0.13,3.1487,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt-noparallel,bintrie,5,4,storage_sstore_k1,1,,1833,86906,2,0.1263,24.7529,2.8912,5.3662,33.3487,2.606,11,0,0,0,3,0,0,0,1,163,5,6,45.45,0,0,0,0,0,0,0,0
