config,trie_type,group_depth,pebble_block_size_kb,benchmark,run,contract,block_number,gas_used,tx_count,execution_ms,state_read_ms,state_hash_ms,commit_ms,total_ms,mgas_per_sec,accounts_read,storage_slots_read,code_read,code_bytes_read,accounts_written,accounts_deleted,storage_slots_written,storage_slots_deleted,code_written,code_bytes_written,account_cache_hits,account_cache_misses,account_cache_hit_rate,storage_cache_hits,storage_cache_misses,storage_cache_hit_rate,code_cache_hits,code_cache_misses,code_cache_hit_rate,code_cache_hit_bytes,code_cache_miss_bytes
pbt,bintrie,5,4,scattered_sstore,10,,601,0,0,0.2696,10.2331,0.1953,0.4086,11.3147,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,scattered_sstore,10,,602,84948,2,0.1156,14.4904,13.0405,5.0838,32.8905,2.5828,11,0,0,0,3,0,0,0,1,120,5,6,45.45,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,scattered_sstore,10,,603,15907879,1,10.2186,34.0192,147.547,55.9593,247.896,64.1716,567,560,561,15800,562,0,560,0,0,0,293,274,51.68,162,398,28.93,561,0,100,15800,0
pbt,bintrie,5,4,scattered_sstore,10,,604,21000,1,0.0532,2.6784,14.6442,3.145,20.6845,1.0153,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,scattered_sstore,11,,605,0,0,0.0383,8.9849,0.551,1.0525,10.8321,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,scattered_sstore,11,,606,84948,2,0.2158,2.9795,13.4866,6.5606,23.4021,3.6299,11,0,0,0,3,0,0,0,1,120,4,7,36.36,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,scattered_sstore,11,,607,15907879,1,9.4822,33.4893,140.8075,53.1529,237.3177,67.032,567,560,561,15800,562,0,560,0,0,0,298,269,52.56,169,391,30.18,561,0,100,15800,0
pbt,bintrie,5,4,scattered_sstore,11,,608,21000,1,0.0596,2.8055,4.9843,21.0542,29.062,0.7226,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,scattered_sstore,12,,609,0,0,0.1464,11.5404,0.1022,0.3518,12.4,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,scattered_sstore,12,,610,84948,2,0.0902,20.8738,5.3533,6.7609,33.2357,2.5559,11,0,0,0,3,0,0,0,1,120,7,4,63.64,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,scattered_sstore,12,,611,15907879,1,7.7055,27.8022,112.6823,59.5678,208.0421,76.4647,567,560,561,15800,562,0,560,0,0,0,287,280,50.62,162,398,28.93,561,0,100,15800,0
pbt,bintrie,5,4,scattered_sstore,12,,612,21000,1,0.0676,33.3599,4.636,3.2649,41.5317,0.5056,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,scattered_sstore,13,,613,0,0,0.0406,7.4103,1.708,4.9758,14.3857,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,scattered_sstore,13,,614,84948,2,0.1347,14.7455,13.0468,6.3116,34.4446,2.4662,11,0,0,0,3,0,0,0,1,120,5,6,45.45,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,scattered_sstore,13,,615,15907879,1,9.3317,36.3458,164.9623,57.0847,268.1709,59.3199,567,560,561,15800,562,0,560,0,0,0,179,388,31.57,111,449,19.82,561,0,100,15800,0
pbt,bintrie,5,4,scattered_sstore,13,,616,21000,1,0.058,2.7512,4.6649,9.3629,17.0032,1.2351,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,scattered_sstore,14,,617,0,0,0.0419,3.8681,0.0882,0.3158,4.6397,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,scattered_sstore,14,,618,84948,2,0.0851,0.9107,0.86,10.3011,24.7757,3.4287,11,0,0,0,3,0,0,0,1,120,5,6,45.45,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,scattered_sstore,14,,619,15907879,1,8.4449,29.0293,185.7154,53.5738,276.9578,57.4379,567,560,561,15800,562,0,560,0,0,0,333,234,58.73,185,375,33.04,561,0,100,15800,0
pbt,bintrie,5,4,scattered_sstore,14,,620,21000,1,0.0754,2.7405,4.5581,3.2247,10.7521,1.9531,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,scattered_sstore,15,,621,0,0,0.0607,3.6516,0.1515,0.4407,4.4691,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,scattered_sstore,15,,622,84948,2,0.1196,1.0676,1.41,7.3383,30.7792,2.7599,11,0,0,0,3,0,0,0,1,120,5,6,45.45,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,scattered_sstore,15,,623,15907879,1,10.5414,34.8127,166.4606,54.7762,267.1205,59.5532,567,560,561,15800,562,0,560,0,0,0,224,343,39.51,152,408,27.14,561,0,100,15800,0
pbt,bintrie,5,4,scattered_sstore,15,,624,21000,1,0.0664,4.5746,5.8521,13.2056,23.8489,0.8805,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,scattered_sstore,16,,625,0,0,0.3886,8.2188,0.1414,0.4495,9.5208,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,scattered_sstore,16,,626,84948,2,0.3593,12.4729,7.3414,6.6738,29.5795,2.8719,11,0,0,0,3,0,0,0,1,120,4,7,36.36,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,scattered_sstore,16,,627,15907879,1,10.1243,31.2346,104.2652,95.667,241.4591,65.8823,567,560,561,15800,562,0,560,0,0,0,224,343,39.51,125,435,22.32,561,0,100,15800,0
pbt,bintrie,5,4,scattered_sstore,16,,628,21000,1,0.0563,2.6537,4.5329,2.6813,10.0595,2.0876,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,scattered_sstore,17,,629,0,0,0.0683,3.9299,0.0848,0.2673,4.6439,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,scattered_sstore,17,,630,84948,2,0.0845,1.3458,12.0724,7.1614,20.8091,4.0822,11,0,0,0,3,0,0,0,1,120,5,6,45.45,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,scattered_sstore,17,,631,15907879,1,8.4832,28.9952,139.5393,51.8219,237.592,66.9546,567,560,561,15800,562,0,560,0,0,0,281,286,49.56,171,389,30.54,561,0,100,15800,0
pbt,bintrie,5,4,scattered_sstore,17,,632,21000,1,0.1112,1.1777,3.3493,3.1074,8.3664,2.51,6,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,scattered_sstore,18,,633,0,0,0.05,2.7772,0.0962,0.325,3.5503,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,scattered_sstore,18,,634,84948,2,0.0872,0.8098,0.7454,10.6811,12.4517,6.8222,11,0,0,0,3,0,0,0,1,120,5,6,45.45,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,scattered_sstore,18,,635,15907879,1,9.8752,33.0329,184.4395,65.9192,293.6469,54.1735,567,560,561,15800,562,0,560,0,0,0,204,363,35.98,102,458,18.21,561,0,100,15800,0
pbt,bintrie,5,4,scattered_sstore,18,,636,21000,1,0.1978,9.1904,4.0426,3.1216,16.7668,1.2525,6,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,scattered_sstore,19,,637,0,0,0.0372,2.9708,0.0787,0.2724,3.5235,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,scattered_sstore,19,,638,84948,2,0.3688,1.5887,2.7731,8.9232,13.8418,6.1371,11,0,0,0,3,0,0,0,1,120,4,7,36.36,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,scattered_sstore,19,,639,15907879,1,7.9978,26.7739,129.4432,65.6385,230.026,69.1569,567,560,561,15800,562,0,560,0,0,0,315,252,55.56,181,379,32.32,561,0,100,15800,0
pbt,bintrie,5,4,scattered_sstore,19,,640,21000,1,0.1885,29.4267,6.0072,2.7818,49.7201,0.4224,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,scattered_sstore,1,,565,0,0,0.0341,2.842,0.181,0.5383,3.7814,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,scattered_sstore,1,,566,84948,2,0.1062,13.5324,22.4676,7.0657,43.3245,1.9607,11,0,0,0,3,0,0,0,1,120,6,5,54.55,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,scattered_sstore,1,,567,15907879,1,10.5606,111.4636,204.4576,77.3067,403.9562,39.3802,567,560,561,15800,562,0,560,0,0,0,201,366,35.45,138,422,24.64,561,0,100,15800,0
pbt,bintrie,5,4,scattered_sstore,1,,568,21000,1,0.0578,2.8753,4.8109,8.0077,15.8951,1.3212,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,scattered_sstore,20,,641,0,0,0.0392,2.8652,0.1612,0.3951,3.6792,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,scattered_sstore,20,,642,84948,2,0.1462,1.5606,1.538,4.5876,8.3719,10.1469,11,0,0,0,3,0,0,0,1,120,6,5,54.55,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,scattered_sstore,20,,643,15907879,1,7.9791,27.5175,151.081,53.6612,240.5055,66.1435,567,560,561,15800,562,0,560,0,0,0,162,405,28.57,92,468,16.43,561,0,100,15800,0
pbt,bintrie,5,4,scattered_sstore,20,,644,21000,1,0.0589,2.7435,4.3865,2.8123,10.1568,2.0676,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,scattered_sstore,21,,645,0,0,0.0365,2.695,0.138,0.339,3.4168,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,scattered_sstore,21,,646,84948,2,0.1027,1.2477,14.3433,5.2716,21.1531,4.0159,11,0,0,0,3,0,0,0,1,120,5,6,45.45,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,scattered_sstore,21,,647,15907879,1,11.5198,35.2629,133.9965,93.7127,274.6582,57.9188,567,560,561,15800,562,0,560,0,0,0,292,275,51.5,206,354,36.79,561,0,100,15800,0
pbt,bintrie,5,4,scattered_sstore,21,,648,21000,1,0.2089,25.3893,4.4617,2.8447,33.0762,0.6349,6,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,scattered_sstore,22,,649,0,0,0.0445,2.7574,0.091,0.2872,3.3493,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,scattered_sstore,22,,650,84948,2,0.4008,11.3356,1.6122,8.6187,22.8456,3.7183,11,0,0,0,3,0,0,0,1,120,4,7,36.36,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,scattered_sstore,22,,651,15907879,1,7.8437,28.7954,117.707,52.4807,207.1748,76.7848,567,560,561,15800,562,0,560,0,0,0,245,322,43.21,127,433,22.68,561,0,100,15800,0
pbt,bintrie,5,4,scattered_sstore,22,,652,21000,1,0.0623,2.8875,26.4272,23.7509,53.28,0.3941,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
