config,trie_type,group_depth,pebble_block_size_kb,benchmark,run,contract,block_number,gas_used,tx_count,execution_ms,state_read_ms,state_hash_ms,commit_ms,total_ms,mgas_per_sec,accounts_read,storage_slots_read,code_read,code_bytes_read,accounts_written,accounts_deleted,storage_slots_written,storage_slots_deleted,code_written,code_bytes_written,account_cache_hits,account_cache_misses,account_cache_hit_rate,storage_cache_hits,storage_cache_misses,storage_cache_hit_rate,code_cache_hits,code_cache_misses,code_cache_hit_rate,code_cache_hit_bytes,code_cache_miss_bytes
pbt,bintrie,5,4,scattered_sload,10,,481,0,0,0.0549,2.9338,0.0782,0.3119,3.6037,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,scattered_sload,10,,482,84702,2,0.1262,14.0182,13.7543,16.1093,44.1469,1.9186,11,0,0,0,3,0,0,0,1,104,5,6,45.45,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,scattered_sload,10,,483,15900160,1,44.0633,28.0049,24.3247,15.8993,112.4945,141.3417,2007,2000,2001,56104,2,0,0,0,0,0,388,1619,19.33,421,1579,21.05,2001,0,100,56104,0
pbt,bintrie,5,4,scattered_sload,10,,484,21000,1,0.0613,4.5227,4.6444,7.3815,16.7541,1.2534,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,scattered_sload,11,,485,0,0,0.049,2.8158,0.1637,0.3684,3.5695,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,scattered_sload,11,,486,84702,2,0.1145,19.7538,5.1281,6.5904,31.7358,2.669,11,0,0,0,3,0,0,0,1,104,5,6,45.45,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,scattered_sload,11,,487,15900160,1,50.3799,34.9672,5.4259,6.1387,97.1275,163.7039,2007,2000,2001,56104,2,0,0,0,0,0,435,1572,21.67,471,1529,23.55,2001,0,100,56104,0
pbt,bintrie,5,4,scattered_sload,11,,488,21000,1,0.0581,1.1668,16.2192,3.4862,21.879,0.9598,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,scattered_sload,12,,489,0,0,0.0414,2.7155,0.0888,0.2786,3.3556,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,scattered_sload,12,,490,84702,2,0.103,14.1102,27.7215,7.4453,49.5493,1.7094,11,0,0,0,3,0,0,0,1,104,6,5,54.55,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,scattered_sload,12,,491,15900160,1,47.0629,30.0696,16.1275,15.839,109.4385,145.2886,2007,2000,2001,56104,2,0,0,0,0,0,413,1594,20.58,465,1535,23.25,2001,0,100,56104,0
pbt,bintrie,5,4,scattered_sload,12,,492,21000,1,0.0981,16.7455,4.704,3.3183,25.4185,0.8262,6,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,scattered_sload,13,,493,0,0,0.0447,2.8007,0.1089,0.2917,3.4354,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,scattered_sload,13,,494,84702,2,0.1582,15.8499,26.2546,5.3221,47.792,1.7723,11,0,0,0,3,0,0,0,1,104,4,7,36.36,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,scattered_sload,13,,495,15900160,1,57.8827,31.0798,4.5661,3.1142,96.8247,164.216,2007,2000,2001,56104,2,0,0,0,0,0,450,1557,22.42,469,1531,23.45,2001,0,100,56104,0
pbt,bintrie,5,4,scattered_sload,13,,496,21000,1,0.0658,3.9013,15.6813,14.2154,34.0538,0.6167,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,scattered_sload,14,,497,0,0,0.0379,2.7298,0.1096,0.28,3.3901,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,scattered_sload,14,,498,84702,2,0.1069,16.1727,5.2783,7.3934,29.117,2.909,11,0,0,0,3,0,0,0,1,104,5,6,45.45,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,scattered_sload,14,,499,15900160,1,45.9556,29.1056,20.6146,14.2797,110.2486,144.221,2007,2000,2001,56104,2,0,0,0,0,0,609,1398,30.34,645,1355,32.25,2001,0,100,56104,0
pbt,bintrie,5,4,scattered_sload,14,,500,21000,1,0.2125,7.9241,4.6922,2.9098,15.9573,1.316,6,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,scattered_sload,15,,501,0,0,0.0394,2.6563,0.0908,0.3127,3.3127,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,scattered_sload,15,,502,84702,2,0.1211,14.1112,29.1582,7.0737,50.6408,1.6726,11,0,0,0,3,0,0,0,1,104,5,6,45.45,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,scattered_sload,15,,503,15900160,1,46.4102,28.6799,11.912,3.0509,90.3747,175.936,2007,2000,2001,56104,2,0,0,0,0,0,634,1373,31.59,692,1308,34.6,2001,0,100,56104,0
pbt,bintrie,5,4,scattered_sload,15,,504,21000,1,0.0836,4.8114,8.1778,6.9048,20.19,1.0401,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,scattered_sload,16,,505,0,0,0.0658,3.2778,0.0849,0.3214,3.9401,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,scattered_sload,16,,506,84702,2,0.0942,17.3125,5.2322,6.9279,29.7215,2.8499,11,0,0,0,3,0,0,0,1,104,5,6,45.45,0,0,0,0,0,0,0,0
