config,trie_type,group_depth,pebble_block_size_kb,benchmark,run,contract,block_number,gas_used,tx_count,execution_ms,state_read_ms,state_hash_ms,commit_ms,total_ms,mgas_per_sec,accounts_read,storage_slots_read,code_read,code_bytes_read,accounts_written,accounts_deleted,storage_slots_written,storage_slots_deleted,code_written,code_bytes_written,account_cache_hits,account_cache_misses,account_cache_hit_rate,storage_cache_hits,storage_cache_misses,storage_cache_hit_rate,code_cache_hits,code_cache_misses,code_cache_hit_rate,code_cache_hit_bytes,code_cache_miss_bytes
pbt,bintrie,5,4,mixed_sload_sstore,1,0,12911,0,0,0.0255,0.5304,0.1464,0.494,18.0814,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,mixed_sload_sstore,1,0,12912,0,0,0.0172,0.7552,0.1054,0.226,1.2462,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,mixed_sload_sstore,1,0,12913,194520,7,0.2557,4.348,24.1393,34.8069,63.7554,3.051,26,1,0,0,8,0,0,0,1,170,17,9,65.38,0,1,0,0,0,0,0,0
pbt,bintrie,5,4,mixed_sload_sstore,1,0,12914,33320996,2,74.8658,196.8192,150.5448,42.7696,465.1851,71.6295,9,2532,2,1514,5,0,1307,0,0,0,4,5,44.44,719,1813,28.4,2,0,100,1514,0
pbt,bintrie,5,4,mixed_sload_sstore,1,0,12915,65922599,4,162.0994,460.0748,282.0874,96.9019,1001.4703,65.8258,11,5013,2,1514,7,0,2586,0,0,0,7,4,63.64,783,4230,15.62,2,0,100,1514,0
pbt,bintrie,5,4,mixed_sload_sstore,1,0,12916,126000,6,0.1108,1.019,0.8423,0.937,3.0618,41.1522,11,0,0,0,7,0,0,0,0,0,7,4,63.64,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,mixed_sload_sstore,1,0,12917,194520,7,0.159,3.8919,6.2751,4.94,15.4022,12.6293,26,1,0,0,8,0,0,0,1,170,19,7,73.08,0,1,0,0,0,0,0,0
pbt,bintrie,5,4,mixed_sload_sstore,1,0,12918,66565500,4,259.5918,362.7159,206.4399,120.5129,949.5809,70.0999,11,9388,2,1514,7,0,2025,0,0,0,6,5,54.55,1406,7982,14.98,2,0,100,1514,0
pbt,bintrie,5,4,mixed_sload_sstore,1,0,12919,32618202,2,110.3717,193.0525,152.0983,42.8912,498.6199,65.417,9,4601,2,1514,5,0,993,0,0,0,5,4,55.56,1137,3464,24.71,2,0,100,1514,0
pbt,bintrie,5,4,mixed_sload_sstore,1,0,12920,126000,6,0.139,3.7248,4.7378,2.914,11.7071,10.7627,11,0,0,0,7,0,0,0,0,0,7,4,63.64,0,0,0,0,0,0,0,0
