config,trie_type,group_depth,pebble_block_size_kb,benchmark,run,contract,block_number,gas_used,tx_count,execution_ms,state_read_ms,state_hash_ms,commit_ms,total_ms,mgas_per_sec,accounts_read,storage_slots_read,code_read,code_bytes_read,accounts_written,accounts_deleted,storage_slots_written,storage_slots_deleted,code_written,code_bytes_written,account_cache_hits,account_cache_misses,account_cache_hit_rate,storage_cache_hits,storage_cache_misses,storage_cache_hit_rate,code_cache_hits,code_cache_misses,code_cache_hit_rate,code_cache_hit_bytes,code_cache_miss_bytes
pbt,bintrie,5,4,storage_mixed_k10,10,,10781,0,0,0.0286,0.7796,0.0019,1.0647,3.0961,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k10,10,,10782,0,0,0.0263,0.9817,0.0024,0.2576,2.1853,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k10,10,,10783,0,0,0.0392,14.8817,0.0018,0.7367,15.8637,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k10,10,,10784,0,0,0.0248,2.6303,0.0016,0.1141,2.9299,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k10,10,,10785,91722,2,0.4402,6.0317,34.929,10.509,52.3079,1.7535,11,0,0,0,3,0,0,0,1,305,4,7,36.36,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k10,10,,10786,15904070,1,196.075,17.2937,18.1137,2.9608,234.8512,67.7198,17,1965,11,585,3,0,234,0,0,0,1,16,5.88,1208,757,61.48,11,0,100,585,0
pbt,bintrie,5,4,storage_mixed_k10,10,,10787,21000,1,0.2405,16.0172,27.4421,0.7534,44.6916,0.4699,6,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k10,11,,10788,0,0,0.033,6.9653,0.0017,0.1918,7.3391,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k10,11,,10789,0,0,0.0292,1.6529,0.0014,0.8117,2.6633,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k10,11,,10790,0,0,0.0524,44.1848,0.003,0.1641,44.5828,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k10,11,,10791,0,0,1.2093,17.6731,0.0022,0.1387,19.2234,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k10,11,,10792,91722,2,0.2975,15.6745,46.4342,10.8177,73.4276,1.2491,11,0,0,0,3,0,0,0,1,305,5,6,45.45,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k10,11,,10793,15904070,1,154.4583,37.5484,3.7814,1.7913,198.0743,80.2935,17,1965,11,585,3,0,234,0,0,0,4,13,23.53,457,1508,23.26,11,0,100,585,0
pbt,bintrie,5,4,storage_mixed_k10,11,,10794,21000,1,5.3982,3.6716,16.8262,0.8382,27.0096,0.7775,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k10,11,,10795,0,0,0.0195,2.3452,0.0017,0.0954,2.5861,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k10,12,,10796,0,0,0.0373,1.0733,0.0015,0.6625,2.8052,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k10,12,,10797,0,0,0.0242,0.8821,0.0022,0.1452,1.9399,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k10,12,,10798,0,0,0.0357,23.5169,0.0027,0.1662,23.9111,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k10,12,,10799,0,0,0.0306,3.1924,0.0266,0.1577,3.5956,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k10,12,,10800,91722,2,0.2189,32.193,2.5114,10.7335,45.9434,1.9964,11,0,0,0,3,0,0,0,1,305,4,7,36.36,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k10,12,,10801,15904070,1,147.7139,18.4755,60.7223,1.5886,229.2392,69.3776,17,1965,11,585,3,0,234,0,0,0,3,14,17.65,258,1707,13.13,11,0,100,585,0
pbt,bintrie,5,4,storage_mixed_k10,12,,10802,21000,1,0.0816,3.6897,2.7641,0.7048,7.4464,2.8202,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k10,12,,10803,0,0,0.0209,2.3691,0.0013,0.1171,2.6382,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k10,13,,10804,0,0,0.0336,5.3004,0.0019,0.2867,5.898,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k10,13,,10805,0,0,0.034,0.96,0.0026,0.2222,6.3937,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k10,13,,10806,0,0,0.0446,15.735,0.0017,0.3719,16.2837,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k10,13,,10807,0,0,0.0401,65.3343,0.0024,0.1492,66.3679,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k10,13,,10808,91722,2,0.1601,16.9586,40.5182,10.6376,72.6129,1.2632,11,0,0,0,3,0,0,0,1,305,6,5,54.55,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k10,13,,10809,15904070,1,151.5423,29.3492,9.0977,1.5246,191.7421,82.9451,17,1965,11,585,3,0,234,0,0,0,1,16,5.88,700,1265,35.62,11,0,100,585,0
pbt,bintrie,5,4,storage_mixed_k10,13,,10810,21000,1,0.0834,27.8153,27.7013,0.6279,56.4563,0.372,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k10,13,,10811,0,0,0.0242,2.3581,0.0013,0.1115,2.6785,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k10,14,,10812,0,0,0.0333,1.8503,0.0014,0.2049,2.803,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k10,14,,10813,0,0,0.0444,16.2338,0.0023,0.1538,16.6798,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k10,14,,10814,0,0,0.0344,2.6288,0.0013,0.1312,2.9652,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k10,14,,10815,0,0,0.0443,56.2598,0.0032,0.2166,56.7682,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k10,14,,10816,91722,2,0.1667,10.367,1.2025,17.1018,29.0374,3.1588,11,0,0,0,3,0,0,0,1,305,5,6,45.45,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k10,14,,10817,15904070,1,157.2183,10.5977,64.623,1.9131,236.9022,67.1335,17,1965,11,585,3,0,234,0,0,0,5,12,29.41,1430,535,72.77,11,0,100,585,0
pbt,bintrie,5,4,storage_mixed_k10,14,,10818,21000,1,0.0618,2.5757,3.1374,0.4829,6.4266,3.2677,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k10,15,,10819,0,0,0.0831,1.7472,0.0027,0.2113,2.6071,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k10,15,,10820,0,0,0.0246,1.0733,0.0015,2.7898,4.6704,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k10,15,,10821,0,0,0.0218,2.4943,0.0012,0.13,2.7958,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k10,15,,10822,0,0,0.0488,65.5091,0.0039,0.1633,65.9328,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k10,15,,10823,91722,2,0.4624,3.3085,58.1669,15.1815,77.4578,1.1842,11,0,0,0,3,0,0,0,1,305,4,7,36.36,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k10,15,,10824,15904070,1,172.9492,59.9961,1.2767,1.4683,236.9787,67.1118,17,1965,11,585,3,0,234,0,0,0,1,16,5.88,168,1797,8.55,11,0,100,585,0
pbt,bintrie,5,4,storage_mixed_k10,15,,10825,21000,1,0.2234,14.0226,46.677,0.5914,61.7456,0.3401,6,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k10,16,,10826,0,0,0.0677,19.2553,0.0027,0.2927,19.8772,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k10,16,,10827,0,0,0.0274,0.9553,0.0019,0.6301,2.1896,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k10,16,,10828,0,0,0.0569,3.0467,0.0019,0.1696,3.5147,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k10,16,,10829,0,0,0.0466,31.9919,0.003,0.171,32.455,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k10,16,,10830,91722,2,0.1275,4.9835,15.2067,10.9001,31.4492,2.9165,11,0,0,0,3,0,0,0,1,305,6,5,54.55,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k10,16,,10831,15904070,1,153.0406,25.5241,5.3708,3.5043,188.156,84.526,17,1965,11,585,3,0,234,0,0,0,0,17,0,571,1394,29.06,11,0,100,585,0
pbt,bintrie,5,4,storage_mixed_k10,16,,10832,21000,1,0.2063,41.2099,5.4736,0.6715,47.8011,0.4393,6,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k10,16,,10833,0,0,0.0435,56.9209,0.0019,0.165,57.736,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k10,17,,10834,0,0,0.0696,19.0008,0.012,0.42,19.9304,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
