config,trie_type,group_depth,pebble_block_size_kb,benchmark,run,contract,block_number,gas_used,tx_count,execution_ms,state_read_ms,state_hash_ms,commit_ms,total_ms,mgas_per_sec,accounts_read,storage_slots_read,code_read,code_bytes_read,accounts_written,accounts_deleted,storage_slots_written,storage_slots_deleted,code_written,code_bytes_written,account_cache_hits,account_cache_misses,account_cache_hit_rate,storage_cache_hits,storage_cache_misses,storage_cache_hit_rate,code_cache_hits,code_cache_misses,code_cache_hit_rate,code_cache_hit_bytes,code_cache_miss_bytes
pbt,bintrie,5,4,storage_sload_k256,10,,591,0,0,0.0394,3.0957,0.1031,0.3629,3.7704,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k256,10,,592,0,0,0.0373,4.8793,0.0983,0.3442,5.5556,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k256,10,,593,0,0,0.0268,4.2806,0.1276,0.2388,4.8957,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k256,10,,594,86840,2,0.1569,14.6077,23.4746,6.634,45.0369,1.9282,11,0,0,0,3,0,0,0,1,157,5,6,45.45,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k256,10,,595,5900456,1,103.9029,8.0998,22.3187,3.3382,138.2316,42.6853,263,259,257,7325,2,0,0,0,0,0,38,225,14.45,45,214,17.37,257,0,100,7325,0
pbt,bintrie,5,4,storage_sload_k256,10,,596,21000,1,0.2005,3.5393,4.9624,3.9003,12.9579,1.6206,6,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k256,11,,597,0,0,0.0341,2.7694,0.0764,0.2651,3.3565,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k256,11,,598,0,0,0.0248,4.3494,0.0777,0.3226,4.9495,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k256,11,,599,0,0,0.042,14.9082,0.0878,0.2717,15.4978,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k256,11,,600,86840,2,0.122,15.0874,19.9967,7.8567,43.2652,2.0072,11,0,0,0,3,0,0,0,1,157,6,5,54.55,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k256,11,,601,5900456,1,87.5259,7.1322,22.9227,3.0006,120.9091,48.8008,263,259,257,7325,2,0,0,0,0,0,50,213,19.01,62,197,23.94,257,0,100,7325,0
pbt,bintrie,5,4,storage_sload_k256,11,,602,21000,1,0.0669,4.1996,5.3401,8.6002,18.3677,1.1433,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k256,11,,603,0,0,0.033,3.0637,0.5885,0.6335,4.5572,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k256,12,,604,0,0,0.0422,2.8973,0.0949,0.2899,3.5319,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k256,12,,605,0,0,0.028,4.1004,0.1388,0.2247,4.6461,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k256,12,,606,0,0,0.0268,13.7804,0.1107,0.2739,14.3629,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k256,12,,607,86840,2,0.1407,15.719,14.284,6.1481,36.5037,2.3789,11,0,0,0,3,0,0,0,1,157,5,6,45.45,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k256,12,,608,5900456,1,90.1539,8.0755,29.5567,40.6599,168.6484,34.9867,263,259,257,7325,2,0,0,0,0,0,72,191,27.38,79,180,30.5,257,0,100,7325,0
pbt,bintrie,5,4,storage_sload_k256,12,,609,21000,1,0.0552,2.706,6.0364,8.2005,17.1714,1.223,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k256,12,,610,0,0,0.0276,2.7027,0.358,0.6514,4.1648,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k256,13,,611,0,0,0.0407,3.0206,0.1443,0.3632,3.7034,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k256,13,,612,0,0,0.0288,2.7082,0.1526,0.2772,3.3375,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k256,13,,613,0,0,0.034,3.3145,0.1482,0.2506,3.9615,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k256,13,,614,86840,2,0.1903,19.0488,26.5072,4.2048,50.1731,1.7308,11,0,0,0,3,0,0,0,1,157,5,6,45.45,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k256,13,,615,5900456,1,96.4688,9.4724,5.7819,3.5942,115.6298,51.0288,263,259,257,7325,2,0,0,0,0,0,115,148,43.73,121,138,46.72,257,0,100,7325,0
pbt,bintrie,5,4,storage_sload_k256,13,,616,21000,1,0.0595,2.9508,4.5996,16.7592,24.5424,0.8557,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k256,14,,617,0,0,0.0611,2.9575,0.2906,0.4871,4.0572,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k256,14,,618,0,0,0.0293,4.3948,0.1123,0.2235,4.8894,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k256,14,,619,0,0,0.0379,13.6241,0.1026,0.1963,14.1102,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k256,14,,620,86840,2,0.1526,14.4744,19.9316,6.9429,41.6505,2.085,11,0,0,0,3,0,0,0,1,157,5,6,45.45,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k256,14,,621,5900456,1,94.9018,9.3564,22.2709,3.0029,129.7984,45.4586,263,259,257,7325,2,0,0,0,0,0,40,223,15.21,43,216,16.6,257,0,100,7325,0
pbt,bintrie,5,4,storage_sload_k256,14,,622,21000,1,0.0599,2.5879,4.5247,3.7167,23.5118,0.8932,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k256,15,,623,0,0,0.0407,3.7106,0.1013,0.3808,4.4784,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k256,15,,624,0,0,0.0516,4.2992,0.2128,0.2411,5.0121,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k256,15,,625,0,0,0.0841,13.9593,0.0867,0.2002,14.4827,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k256,15,,626,86840,2,0.1175,14.638,13.6866,8.8503,37.4709,2.3175,11,0,0,0,3,0,0,0,1,157,5,6,45.45,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k256,15,,627,5900456,1,107.1121,9.5269,9.3754,40.2628,166.5067,35.4367,263,259,257,7325,2,0,0,0,0,0,26,237,9.89,29,230,11.2,257,0,100,7325,0
pbt,bintrie,5,4,storage_sload_k256,15,,628,21000,1,0.0838,2.8567,15.6051,2.9101,21.6233,0.9712,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k256,15,,629,0,0,0.0291,2.7825,0.3835,0.6105,4.2338,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k256,16,,630,0,0,0.0309,2.8343,0.1531,0.2736,3.4587,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k256,16,,631,0,0,0.0369,4.2001,0.1576,0.2677,5.0212,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k256,16,,632,0,0,0.027,2.9277,0.1205,0.266,3.5012,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k256,16,,633,86840,2,0.301,19.9681,28.4204,4.3646,53.2799,1.6299,11,0,0,0,3,0,0,0,1,157,5,6,45.45,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k256,16,,634,5900456,1,91.855,11.1731,5.7154,5.414,114.3531,51.5985,263,259,257,7325,2,0,0,0,0,0,33,230,12.55,38,221,14.67,257,0,100,7325,0
pbt,bintrie,5,4,storage_sload_k256,16,,635,21000,1,0.0532,2.6636,4.4774,15.2345,22.6058,0.929,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k256,17,,636,0,0,0.0834,2.9191,0.1721,0.3001,3.6635,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k256,17,,637,0,0,0.0369,3.2238,0.1699,0.2383,3.896,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sload_k256,17,,638,0,0,0.0269,14.4794,0.1175,0.2508,15.0333,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
