config,trie_type,group_depth,pebble_block_size_kb,benchmark,run,contract,block_number,gas_used,tx_count,execution_ms,state_read_ms,state_hash_ms,commit_ms,total_ms,mgas_per_sec,accounts_read,storage_slots_read,code_read,code_bytes_read,accounts_written,accounts_deleted,storage_slots_written,storage_slots_deleted,code_written,code_bytes_written,account_cache_hits,account_cache_misses,account_cache_hit_rate,storage_cache_hits,storage_cache_misses,storage_cache_hit_rate,code_cache_hits,code_cache_misses,code_cache_hit_rate,code_cache_hit_bytes,code_cache_miss_bytes
pbt,bintrie,5,4,storage_sstore_k700,10,,10490,0,0,0.0658,40.1596,0.0024,0.21,40.6595,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k700,10,,10491,0,0,0.0373,21.9371,0.0032,0.2034,30.6451,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k700,10,,10492,0,0,0.0412,41.5095,0.0032,6.407,48.3817,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k700,10,,10493,0,0,0.0472,24.3111,0.0032,0.1522,24.7061,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k700,10,,10494,86950,2,0.2346,14.7901,20.0879,6.8197,56.8363,1.5298,11,0,0,0,3,0,0,0,1,165,4,7,36.36,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k700,10,,10495,15911546,1,10.6058,39.0164,157.6552,39.0331,246.8348,64.4623,581,574,575,16237,575,0,573,0,0,0,333,248,57.31,210,364,36.59,575,0,100,16237,0
pbt,bintrie,5,4,storage_sstore_k700,10,,10496,21000,1,0.0711,8.592,3.5653,0.7845,13.2011,1.5908,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k700,11,,10497,0,0,0.0884,42.847,0.0038,0.3165,43.5835,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k700,11,,10498,0,0,0.018,0.3541,0.0011,0.0821,0.5867,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k700,11,,10499,0,0,0.045,69.4785,0.0032,0.1367,69.8947,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k700,11,,10500,0,0,0.0435,3.3897,0.0016,0.1608,3.7516,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k700,11,,10501,86950,2,0.3459,1.1412,46.7628,6.4877,54.9992,1.5809,11,0,0,0,3,0,0,0,1,165,4,7,36.36,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k700,11,,10502,15911546,1,8.669,45.263,158.7283,38.5203,251.3567,63.3026,581,574,575,16237,575,0,573,0,0,0,116,465,19.97,80,494,13.94,575,0,100,16237,0
pbt,bintrie,5,4,storage_sstore_k700,11,,10503,21000,1,0.0695,2.8511,2.3103,0.505,5.9262,3.5436,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k700,12,,10504,0,0,0.1066,48.1562,0.0029,0.271,48.8778,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k700,12,,10505,0,0,0.0322,0.4824,0.0011,0.117,0.768,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k700,12,,10506,0,0,0.0447,0.8789,0.0025,0.1616,1.2899,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k700,12,,10507,0,0,0.0431,16.4114,0.0028,0.1379,16.8616,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k700,12,,10508,86950,2,0.3961,38.8334,6.3792,7.7626,53.6134,1.6218,11,0,0,0,3,0,0,0,1,165,4,7,36.36,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k700,12,,10509,15911546,1,9.1881,38.6685,148.9831,41.8087,239.1191,66.5424,581,574,575,16237,575,0,573,0,0,0,118,463,20.31,79,495,13.76,575,0,100,16237,0
pbt,bintrie,5,4,storage_sstore_k700,12,,10510,21000,1,0.0651,6.1005,7.1123,0.8358,14.2642,1.4722,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k700,13,,10511,0,0,0.0236,0.3749,0.0016,0.903,1.7113,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k700,13,,10512,0,0,0.0262,0.5853,0.0013,1.1565,1.901,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k700,13,,10513,0,0,0.0348,5.5024,0.0026,0.1933,5.9251,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k700,13,,10514,0,0,0.0337,17.6454,0.0039,0.1841,18.0539,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k700,13,,10515,86950,2,0.4062,32.6882,8.1932,7.8654,49.4431,1.7586,11,0,0,0,3,0,0,0,1,165,4,7,36.36,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k700,13,,10516,15911546,1,11.0947,43.589,172.6045,40.2652,268.2137,59.3241,581,574,575,16237,575,0,573,0,0,0,378,203,65.06,268,306,46.69,575,0,100,16237,0
pbt,bintrie,5,4,storage_sstore_k700,13,,10517,21000,1,0.0816,2.8629,2.4121,0.6106,6.141,3.4196,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k700,14,,10518,0,0,0.0581,13.2452,0.0103,0.2883,13.8513,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k700,14,,10519,0,0,0.0168,0.4647,0.0012,0.1264,0.8984,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k700,14,,10520,0,0,0.0309,7.2996,0.002,2.7217,11.0216,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k700,14,,10521,0,0,0.035,9.2723,0.002,0.1723,9.6797,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k700,14,,10522,86950,2,0.3539,5.2887,3.5725,7.7599,17.5243,4.9617,11,0,0,0,3,0,0,0,1,165,4,7,36.36,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k700,14,,10523,15911546,1,10.3222,42.749,147.7144,38.7053,239.9334,66.3165,581,574,575,16237,575,0,573,0,0,0,393,188,67.64,275,299,47.91,575,0,100,16237,0
pbt,bintrie,5,4,storage_sstore_k700,14,,10524,21000,1,0.1771,55.6168,2.2541,0.4889,58.7361,0.3575,6,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k700,15,,10526,0,0,0.0534,1.1835,0.0024,0.8949,2.5918,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k700,15,,10527,0,0,0.0378,0.5037,0.0017,0.1423,0.8197,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k700,15,,10528,0,0,0.0355,4.6761,0.0028,2.6446,7.6203,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k700,15,,10529,0,0,0.0216,13.6832,0.0012,0.0871,13.9482,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k700,15,,10530,86950,2,0.1481,4.6958,67.7878,12.2847,85.0889,1.0219,11,0,0,0,3,0,0,0,1,165,5,6,45.45,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k700,15,,10531,15911546,1,9.7671,39.027,144.3297,38.7756,232.0789,68.5609,581,574,575,16237,575,0,573,0,0,0,296,285,50.95,221,353,38.5,575,0,100,16237,0
pbt,bintrie,5,4,storage_sstore_k700,15,,10532,21000,1,0.0861,2.6122,2.3355,0.4921,5.6928,3.6888,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k700,16,,10533,0,0,0.0277,0.8068,0.0014,0.7589,1.942,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k700,16,,10534,0,0,0.0452,0.798,0.0018,0.1745,1.4237,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k700,16,,10535,0,0,0.0289,2.8637,0.0015,0.1233,3.196,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k700,16,,10536,0,0,0.0505,44.9916,0.0022,0.1552,45.4081,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k700,16,,10537,86950,2,0.2586,20.3963,0.8478,8.2315,46.8296,1.8567,11,0,0,0,3,0,0,0,1,165,5,6,45.45,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k700,16,,10538,15911546,1,9.7414,36.6,156.7091,38.0925,241.4444,65.9015,581,574,575,16237,575,0,573,0,0,0,427,154,73.49,301,273,52.44,575,0,100,16237,0
pbt,bintrie,5,4,storage_sstore_k700,16,,10539,21000,1,0.1045,7.1181,4.1522,0.4719,12.0387,1.7444,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k700,17,,10540,0,0,0.951,32.3026,0.003,0.3215,33.8025,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k700,17,,10541,0,0,0.0386,0.7796,0.0018,0.1889,1.2021,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k700,17,,10542,0,0,0.0257,2.7682,0.0016,0.1324,3.065,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k700,17,,10543,0,0,0.0246,2.4063,0.0015,0.0903,2.6868,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k700,17,,10544,86950,2,0.1439,4.2897,3.6176,5.8192,14.0593,6.1845,11,0,0,0,3,0,0,0,1,165,5,6,45.45,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k700,17,,10545,15911546,1,16.6346,71.4509,126.017,74.4941,288.7912,55.0971,581,574,575,16237,575,0,573,0,0,0,83,498,14.29,70,504,12.2,575,0,100,16237,0
pbt,bintrie,5,4,storage_sstore_k700,17,,10546,21000,1,0.2214,49.2644,5.4495,0.6522,79.8088,0.2631,6,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k700,18,,10547,0,0,0.0642,21.0319,0.0035,0.3279,22.6198,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k700,18,,10548,0,0,0.018,0.4125,0.0012,0.216,0.8688,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k700,18,,10549,0,0,0.0178,0.4711,0.0011,0.0871,0.73,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k700,18,,10550,0,0,0.0211,2.641,0.0012,0.1246,2.9383,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k700,18,,10551,86950,2,0.4001,1.3369,13.5549,5.8884,24.1692,3.5976,11,0,0,0,3,0,0,0,1,165,4,7,36.36,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_sstore_k700,18,,10552,15911546,1,9.0156,37.7099,149.8615,38.2542,235.0108,67.7056,581,574,575,16237,575,0,573,0,0,0,221,360,38.04,148,426,25.78,575,0,100,16237,0
