time="2026-05-27T17:35:39Z" level=info msg="starting spamoor" buildtime="2026-05-15T09:05:13Z" version=git-dc60b60
time="2026-05-27T17:35:39Z" level=info msg="initialized client pool with 1 clients (chain id: 1337)" module=clientpool
time="2026-05-27T17:35:39Z" level=info msg="client check completed (1 good clients, 0 bad clients)" module=clientpool
time="2026-05-27T17:35:39Z" level=info msg="initialized block stats from latest block: gasLimit=30029295 baseFee=875000000 amsterdam=false"
time="2026-05-27T17:35:39Z" level=info msg="initialized root wallet (addr: 0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266 balance: 999999999 ETH, nonce: 0)"
time="2026-05-27T17:35:39Z" level=info msg="initialized 200 wallets for parallel execution" scenario=erc20_bloater
time="2026-05-27T17:35:40Z" level=info msg="funding child wallets... (0/1)" module=walletpool
time="2026-05-27T17:35:42Z" level=info msg="processed block 2:  2 total tx, 2 tx confirmed from 1 wallets (1.125628ms, 431.264µs)"
time="2026-05-27T17:35:42Z" level=debug msg="initialized child wallet    0 (addr: 0x98Aac168f188f1ccb44e204D3660C73ED18D6971, balance: 5 ETH, nonce: 0)" module=walletpool
time="2026-05-27T17:35:42Z" level=debug msg="initialized child wallet    1 (addr: 0xFabCB038fA79b572c9ABA70688Fb8D626f849432, balance: 5 ETH, nonce: 0)" module=walletpool
time="2026-05-27T17:35:42Z" level=debug msg="initialized child wallet    2 (addr: 0x86fF7a30E3809427067950B7Ac09A0582DD4cf63, balance: 5 ETH, nonce: 0)" module=walletpool
time="2026-05-27T17:35:42Z" level=debug msg="initialized child wallet    3 (addr: 0xe7D99f215D49B361c45652c9f4018187A98Cd823, balance: 5 ETH, nonce: 0)" module=walletpool
time="2026-05-27T17:35:42Z" level=debug msg="initialized child wallet    4 (addr: 0x31D2BFceD75e7b55955452C834872217371C3AFa, balance: 5 ETH, nonce: 0)" module=walletpool
time="2026-05-27T17:35:42Z" level=debug msg="initialized child wallet    5 (addr: 0x473AbB0a1580bFA7fda522676308cb75ECD2dB25, balance: 5 ETH, nonce: 0)" module=walletpool
time="2026-05-27T17:35:42Z" level=debug msg="initialized child wallet    6 (addr: 0x18C5391BeA4a031e7127d68D928C46D7EBDacbb0, balance: 5 ETH, nonce: 0)" module=walletpool
time="2026-05-27T17:35:42Z" level=debug msg="initialized child wallet    7 (addr: 0xc7A709d08195EEd3239bF06Ad94654B0b3d5Be47, balance: 5 ETH, nonce: 0)" module=walletpool
time="2026-05-27T17:35:42Z" level=debug msg="initialized child wallet    8 (addr: 0xe51028334f459D2647aE9873E615092814cB6352, balance: 5 ETH, nonce: 0)" module=walletpool
time="2026-05-27T17:35:42Z" level=debug msg="initialized child wallet    9 (addr: 0xF910301F4a0a8d710A8e6CFcb921f56f1AC11299, balance: 5 ETH, nonce: 0)" module=walletpool
time="2026-05-27T17:35:42Z" level=debug msg="initialized child wallet   10 (addr: 0xF7A9bF60482Ef2106faDe328ed9B827a8FAed9Ca, balance: 5 ETH, nonce: 0)" module=walletpool
time="2026-05-27T17:35:42Z" level=debug msg="initialized child wallet   11 (addr: 0xc83D4B6c735FE2eF276f145F47Ad2b1f5B177B4B, balance: 5 ETH, nonce: 0)" module=walletpool
time="2026-05-27T17:35:42Z" level=debug msg="initialized child wallet   12 (addr: 0x47d8AF475606a46f5481d3f9fC403F30b78286AF, balance: 5 ETH, nonce: 0)" module=walletpool
time="2026-05-27T17:35:42Z" level=debug msg="initialized child wallet   13 (addr: 0xF9E2a991695F3aDE0c0353c34bF098b39db43FD2, balance: 5 ETH, nonce: 0)" module=walletpool
time="2026-05-27T17:35:42Z" level=debug msg="initialized child wallet   14 (addr: 0xeC1E35d53bbFDE2CAfeF3fEc6eA0d33226fDF08B, balance: 5 ETH, nonce: 0)" module=walletpool
time="2026-05-27T17:35:42Z" level=debug msg="initialized child wallet   15 (addr: 0xDCcf8750716c389403d0762Aa0D663BF9F6B3Ab2, balance: 5 ETH, nonce: 0)" module=walletpool
time="2026-05-27T17:35:42Z" level=debug msg="initialized child wallet   16 (addr: 0xC2414d0027CEDD55DC9E99cc363f0Eaaa9012cf7, balance: 5 ETH, nonce: 0)" module=walletpool
time="2026-05-27T17:35:42Z" level=debug msg="initialized child wallet   17 (addr: 0xF2A25906A71f6AFb1beFbE224728d3C9DE717643, balance: 5 ETH, nonce: 0)" module=walletpool
time="2026-05-27T17:35:42Z" level=debug msg="initialized child wallet   18 (addr: 0x878De2f67246944F73ba4bd07191c0fDE04F191c, balance: 5 ETH, nonce: 0)" module=walletpool
time="2026-05-27T17:35:42Z" level=debug msg="initialized child wallet   19 (addr: 0x5fD00cD4520fE36d873e525642E6bcc7dA3330c2, balance: 5 ETH, nonce: 0)" module=walletpool
time="2026-05-27T17:35:42Z" level=debug msg="initialized child wallet   20 (addr: 0x073D28850bF5BF12E3917949fB0B35092Ce5048C, balance: 5 ETH, nonce: 0)" module=walletpool
time="2026-05-27T17:35:42Z" level=debug msg="initialized child wallet   21 (addr: 0x9a6B3277a69fc5E4430CB8be3188952F7d001474, balance: 5 ETH, nonce: 0)" module=walletpool
time="2026-05-27T17:35:42Z" level=debug msg="initialized child wallet   22 (addr: 0x7Bd97365174C172852C538181bA95e774f918805, balance: 5 ETH, nonce: 0)" module=walletpool
time="2026-05-27T17:35:42Z" level=debug msg="initialized child wallet   23 (addr: 0x9304A0f5fF44Ea7cd8FD55c042BB0a72691212c4, balance: 5 ETH, nonce: 0)" module=walletpool
time="2026-05-27T17:35:42Z" level=debug msg="initialized child wallet   24 (addr: 0xFdd5b6ecAe97ed731Cd656a4bCD9f2d68f75C25B, balance: 5 ETH, nonce: 0)" module=walletpool
time="2026-05-27T17:35:42Z" level=debug msg="initialized child wallet   25 (addr: 0x76afe819C96eeA29bB95eA717ff503A63660EF13, balance: 5 ETH, nonce: 0)" module=walletpool
time="2026-05-27T17:35:42Z" level=debug msg="initialized child wallet   26 (addr: 0x82000087CEC0118a54A9e7E7504B658beE903d8b, balance: 5 ETH, nonce: 0)" module=walletpool
time="2026-05-27T17:35:42Z" level=debug msg="initialized child wallet   27 (addr: 0x4Ab7Ec5CE4ffD8e801ABfF0fC2c9bBa39fea1B6D, balance: 5 ETH, nonce: 0)" module=walletpool
time="2026-05-27T17:35:42Z" level=debug msg="initialized child wallet   28 (addr: 0x9947Ecc080dAFf61c37240203D5D697bF4f4A1c5, balance: 5 ETH, nonce: 0)" module=walletpool
time="2026-05-27T17:35:42Z" level=debug msg="initialized child wallet   29 (addr: 0x7cD90dbD52e747FE5b7E385bf9a46c9f82E3659E, balance: 5 ETH, nonce: 0)" module=walletpool
time="2026-05-27T17:35:42Z" level=debug msg="initialized child wallet   30 (addr: 0x7925eBc3c29cbA9037C5a4aD1E8d34D557569c33, balance: 5 ETH, nonce: 0)" module=walletpool
time="2026-05-27T17:35:42Z" level=debug msg="initialized child wallet   31 (addr: 0xAc2D968c85a12f2aFB8D71E1629062082664c6E7, balance: 5 ETH, nonce: 0)" module=walletpool
