config,trie_type,group_depth,pebble_block_size_kb,benchmark,run,contract,block_number,gas_used,tx_count,execution_ms,state_read_ms,state_hash_ms,commit_ms,total_ms,mgas_per_sec,accounts_read,storage_slots_read,code_read,code_bytes_read,accounts_written,accounts_deleted,storage_slots_written,storage_slots_deleted,code_written,code_bytes_written,account_cache_hits,account_cache_misses,account_cache_hit_rate,storage_cache_hits,storage_cache_misses,storage_cache_hit_rate,code_cache_hits,code_cache_misses,code_cache_hit_rate,code_cache_hit_bytes,code_cache_miss_bytes
ubt,bintrie,5,4,storage_mixed_k10,10,,4520,0,0,0.0363,2.8621,0.0015,0.2758,3.4289,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k10,10,,4521,0,0,0.0503,14.2134,0.0022,0.1504,14.6814,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k10,10,,4522,91710,2,0.124,19.8473,4.0315,5.797,30.0547,3.0514,11,0,0,0,3,0,0,0,1,305,7,4,63.64,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k10,10,,4523,5908267,1,74.1622,14.0995,3.029,1.0872,92.5511,63.8379,17,723,11,585,3,0,85,0,0,0,3,14,17.65,350,373,48.41,11,0,100,585,0
ubt,bintrie,5,4,storage_mixed_k10,10,,4524,21000,1,0.0654,9.3277,17.2512,0.6236,27.4488,0.7651,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k10,11,,4525,0,0,0.0589,3.5311,0.0021,0.2445,4.1062,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k10,11,,4526,0,0,0.0493,7.4779,0.0022,0.1335,7.866,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k10,11,,4527,91710,2,0.1326,4.1119,18.4448,5.084,27.9854,3.2771,11,0,0,0,3,0,0,0,1,305,6,5,54.55,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k10,11,,4528,5908267,1,71.7484,25.2279,2.9546,1.0404,101.1693,58.3998,17,723,11,585,3,0,85,0,0,0,5,12,29.41,348,375,48.13,11,0,100,585,0
ubt,bintrie,5,4,storage_mixed_k10,11,,4529,21000,1,0.0671,13.9255,17.4286,0.743,32.3432,0.6493,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k10,12,,4530,0,0,0.066,4.7703,0.0021,0.2692,10.3193,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k10,12,,4531,0,0,0.0252,2.7873,0.0014,0.0842,3.0727,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k10,12,,4532,91710,2,0.1206,3.7508,14.9853,5.8846,26.4793,3.4635,11,0,0,0,3,0,0,0,1,305,6,5,54.55,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k10,12,,4533,5908267,1,72.4471,10.2998,3.0581,1.103,87.0666,67.8591,17,723,11,585,3,0,85,0,0,0,6,11,35.29,78,645,10.79,11,0,100,585,0
ubt,bintrie,5,4,storage_mixed_k10,12,,4534,21000,1,0.0706,15.6091,13.4024,0.8623,30.1661,0.6961,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k10,13,,4535,0,0,0.0562,6.4377,0.0017,0.159,6.9107,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k10,13,,4536,0,0,0.0434,4.1216,0.0019,0.1342,4.5113,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k10,13,,4537,0,0,0.0296,17.1878,0.0025,0.1376,17.5082,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k10,13,,4538,91710,2,0.1184,3.1997,13.7157,4.629,21.8115,4.2047,11,0,0,0,3,0,0,0,1,305,5,6,45.45,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k10,13,,4539,5908267,1,60.2724,21.0907,3.782,1.2888,86.6696,68.17,17,723,11,585,3,0,85,0,0,0,5,12,29.41,166,557,22.96,11,0,100,585,0
ubt,bintrie,5,4,storage_mixed_k10,13,,4540,21000,1,0.089,17.2431,2.4989,0.5488,20.5745,1.0207,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k10,14,,4542,0,0,0.0624,6.6361,0.0025,0.1854,7.1302,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k10,14,,4543,0,0,0.0333,3.5031,0.0014,0.089,3.7935,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k10,14,,4544,0,0,0.024,2.8247,0.0015,0.0942,3.2316,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k10,14,,4545,91710,2,0.1417,14.5116,18.8121,5.4916,39.1391,2.3432,11,0,0,0,3,0,0,0,1,305,5,6,45.45,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k10,14,,4546,5908267,1,62.8443,4.2502,2.9484,1.0005,71.2582,82.9135,17,723,11,585,3,0,85,0,0,0,10,7,58.82,511,212,70.68,11,0,100,585,0
ubt,bintrie,5,4,storage_mixed_k10,14,,4547,21000,1,0.0645,3.2472,2.5067,0.5344,6.5349,3.2135,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
