config,trie_type,group_depth,pebble_block_size_kb,benchmark,run,contract,block_number,gas_used,tx_count,execution_ms,state_read_ms,state_hash_ms,commit_ms,total_ms,mgas_per_sec,accounts_read,storage_slots_read,code_read,code_bytes_read,accounts_written,accounts_deleted,storage_slots_written,storage_slots_deleted,code_written,code_bytes_written,account_cache_hits,account_cache_misses,account_cache_hit_rate,storage_cache_hits,storage_cache_misses,storage_cache_hit_rate,code_cache_hits,code_cache_misses,code_cache_hit_rate,code_cache_hit_bytes,code_cache_miss_bytes
ubt,bintrie,5,4,storage_sload_k10,10,,3500,0,0,0.0533,3.7075,0.0022,0.1934,4.2243,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,10,,3501,0,0,0.0769,8.6605,0.0028,0.1529,10.5741,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,10,,3502,0,0,0.0322,3.1031,0.0021,0.1557,3.4316,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,10,,3503,86852,2,0.1786,22.1645,5.8103,5.2338,33.605,2.5845,11,0,0,0,3,0,0,0,1,157,5,6,45.45,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,10,,3504,5900140,1,109.1367,15.1064,2.7366,0.8649,128.2788,45.9947,17,258,11,437,2,0,0,0,0,0,7,10,41.18,80,178,31.01,11,0,100,437,0
ubt,bintrie,5,4,storage_sload_k10,10,,3505,21000,1,0.0585,17.6453,2.5855,0.6569,21.1655,0.9922,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,10,,3506,0,0,0.0322,15.3992,0.0025,0.1508,15.7968,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,11,,3507,0,0,0.0581,3.3226,0.0013,0.2137,3.9149,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,11,,3508,0,0,0.0292,2.7179,0.0013,0.0798,2.9683,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,11,,3509,0,0,0.0251,2.7829,0.0018,0.0927,3.0563,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,11,,3510,86852,2,0.1781,19.1663,3.1759,7.416,31.2128,2.7826,11,0,0,0,3,0,0,0,1,157,5,6,45.45,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,11,,3511,5900140,1,114.3831,9.8637,2.7142,0.7371,127.8962,46.1322,17,258,11,437,2,0,0,0,0,0,8,9,47.06,160,98,62.02,11,0,100,437,0
ubt,bintrie,5,4,storage_sload_k10,11,,3512,21000,1,0.0999,18.3678,2.5708,0.6724,21.8899,0.9593,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,11,,3513,0,0,0.0347,2.8177,0.0017,0.1418,3.1515,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,12,,3514,0,0,0.323,3.9206,0.0025,0.3783,4.8718,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,12,,3515,0,0,0.0274,3.2944,0.002,0.2539,3.7981,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,12,,3516,0,0,0.0356,3.666,0.0021,0.1224,4.007,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,12,,3517,86852,2,0.1203,22.6181,2.7102,5.0667,30.6975,2.8293,11,0,0,0,3,0,0,0,1,157,5,6,45.45,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,12,,3518,5900140,1,136.1247,11.4584,2.55,0.6634,151.0691,39.0559,17,258,11,437,2,0,0,0,0,0,9,8,52.94,189,69,73.26,11,0,100,437,0
ubt,bintrie,5,4,storage_sload_k10,12,,3519,21000,1,0.0584,14.9571,17.1026,0.5982,32.8641,0.639,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,12,,3520,0,0,0.0212,2.8628,0.0015,0.2603,3.5779,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,13,,3521,0,0,0.042,4.8337,0.0011,0.1558,5.2539,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,13,,3522,0,0,0.0289,2.7713,0.0019,0.1728,3.1212,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,13,,3523,0,0,0.0408,3.9131,0.0024,0.1781,4.3572,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,13,,3524,86852,2,0.1267,18.6142,5.0752,4.8121,28.8494,3.0105,11,0,0,0,3,0,0,0,1,157,6,5,54.55,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,13,,3525,5900140,1,141.2621,8.6332,2.6551,0.7398,153.4997,38.4375,17,258,11,437,2,0,0,0,0,0,5,12,29.41,39,219,15.12,11,0,100,437,0
ubt,bintrie,5,4,storage_sload_k10,13,,3526,21000,1,0.0589,2.993,2.6935,0.5769,6.481,3.2403,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,13,,3527,0,0,0.0552,3.0328,0.0026,0.154,3.3941,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,14,,3528,0,0,0.0493,3.4309,0.0019,0.1402,3.8414,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,14,,3529,0,0,0.0257,2.7582,0.0016,0.0866,3.0324,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,14,,3530,0,0,0.0243,2.7206,0.0019,0.1751,3.0519,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,14,,3531,86852,2,0.1066,15.5726,2.927,4.7533,23.5048,3.6951,11,0,0,0,3,0,0,0,1,157,7,4,63.64,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,14,,3532,5900140,1,117.316,8.8473,2.4757,0.9266,129.728,45.4809,17,258,11,437,2,0,0,0,0,0,8,9,47.06,86,172,33.33,11,0,100,437,0
ubt,bintrie,5,4,storage_sload_k10,14,,3533,21000,1,0.061,3.0258,2.7064,0.6599,6.6233,3.1706,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,14,,3534,0,0,0.0217,3.1812,0.0012,0.0947,3.4507,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,15,,3535,0,0,0.0787,8.7757,0.002,0.2323,9.3543,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,15,,3536,0,0,0.0416,6.4551,0.0031,0.1711,6.8833,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,15,,3537,0,0,0.0426,3.6143,0.0021,0.1406,3.951,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,15,,3538,86852,2,0.1031,14.0633,14.3338,5.5009,34.2743,2.534,11,0,0,0,3,0,0,0,1,157,5,6,45.45,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,15,,3539,5900140,1,109.2819,6.2928,2.5104,0.9069,119.2872,49.4616,17,258,11,437,2,0,0,0,0,0,7,10,41.18,136,122,52.71,11,0,100,437,0
ubt,bintrie,5,4,storage_sload_k10,15,,3540,21000,1,0.0832,3.8689,3.7553,0.6784,8.5468,2.4571,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,15,,3541,0,0,0.137,3.8227,0.0023,0.1665,4.3871,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,16,,3542,0,0,0.0566,3.347,0.0021,0.1508,3.7487,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,16,,3543,0,0,0.0442,5.2046,0.002,0.197,5.6133,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,16,,3544,0,0,0.0361,22.5487,0.0024,0.2172,23.2245,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,16,,3545,86852,2,0.179,20.683,8.453,4.8884,34.4774,2.5191,11,0,0,0,3,0,0,0,1,157,5,6,45.45,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,16,,3546,5900140,1,113.3828,23.8383,2.707,1.2598,141.8383,41.5976,17,258,11,437,2,0,0,0,0,0,1,16,5.88,0,258,0,11,0,100,437,0
ubt,bintrie,5,4,storage_sload_k10,16,,3547,21000,1,0.0681,15.183,2.5232,0.7374,18.7452,1.1203,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,16,,3548,0,0,0.035,15.7234,0.0031,0.1482,16.1258,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,17,,3549,0,0,0.0575,3.635,0.0028,0.1955,4.1485,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
