config,trie_type,group_depth,pebble_block_size_kb,benchmark,run,contract,block_number,gas_used,tx_count,execution_ms,state_read_ms,state_hash_ms,commit_ms,total_ms,mgas_per_sec,accounts_read,storage_slots_read,code_read,code_bytes_read,accounts_written,accounts_deleted,storage_slots_written,storage_slots_deleted,code_written,code_bytes_written,account_cache_hits,account_cache_misses,account_cache_hit_rate,storage_cache_hits,storage_cache_misses,storage_cache_hit_rate,code_cache_hits,code_cache_misses,code_cache_hit_rate,code_cache_hit_bytes,code_cache_miss_bytes
ubt,bintrie,5,4,storage_sstore_k1,10,,3910,0,0,0.0599,5.7387,0.0018,0.1976,6.2512,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k1,10,,3911,0,0,0.0445,7.0588,0.0031,0.1483,7.4355,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k1,10,,3912,0,0,0.0285,2.7978,0.0047,0.0888,3.1145,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k1,10,,3913,86906,2,0.3263,16.8632,2.8317,5.3499,25.5732,3.3983,11,0,0,0,3,0,0,0,1,163,4,7,36.36,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k1,10,,3914,5911443,1,4.0606,13.758,3.5283,1.9914,23.5443,251.0778,8,259,2,191,3,0,259,0,0,0,1,7,12.5,38,221,14.67,2,0,100,191,0
ubt,bintrie,5,4,storage_sstore_k1,10,,3915,21000,1,0.0903,3.4287,2.4783,0.5525,6.7657,3.1039,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k1,10,,3916,0,0,0.0258,2.7943,0.0019,0.1474,3.1053,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k1,11,,3917,0,0,0.0326,2.8452,0.002,0.1477,3.2506,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k1,11,,3918,0,0,0.0429,10.083,0.0033,0.3487,10.6946,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k1,11,,3919,0,0,0.0301,6.7783,0.0015,0.1343,7.144,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k1,11,,3920,86906,2,0.1274,21.3005,3.0283,4.9717,29.588,2.9372,11,0,0,0,3,0,0,0,1,163,5,6,45.45,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k1,11,,3921,5911443,1,4.4859,17.4088,3.4537,1.8834,27.3887,215.8354,8,259,2,191,3,0,259,0,0,0,3,5,37.5,106,153,40.93,2,0,100,191,0
ubt,bintrie,5,4,storage_sstore_k1,11,,3922,21000,1,0.0984,18.255,2.555,0.6151,21.707,0.9674,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k1,11,,3923,0,0,0.0363,2.9147,0.002,0.2268,3.668,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k1,12,,3924,0,0,0.0813,3.21,0.0021,0.365,3.953,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k1,12,,3925,0,0,0.0238,2.7837,0.0016,0.0849,3.0607,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k1,12,,3926,0,0,0.0382,15.206,0.0028,0.2655,15.8779,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k1,12,,3927,86906,2,0.1544,13.736,18.2358,4.7759,37.1163,2.3415,11,0,0,0,3,0,0,0,1,163,5,6,45.45,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k1,12,,3928,5911443,1,4.8055,9.4115,3.5183,1.7623,19.67,300.5316,8,259,2,191,3,0,259,0,0,0,3,5,37.5,125,134,48.26,2,0,100,191,0
ubt,bintrie,5,4,storage_sstore_k1,12,,3929,0,0,0.029,3.2551,0.0022,0.1102,3.5614,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k1,12,,3930,21000,1,0.0606,4.3107,2.442,0.5909,7.6162,2.7573,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k1,12,,3931,0,0,0.0219,2.6483,0.0016,0.0931,2.8933,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k1,13,,3932,0,0,0.042,3.1766,0.0018,0.2203,3.6179,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k1,13,,3933,0,0,0.0258,2.6997,0.0012,0.0852,2.9869,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k1,13,,3934,0,0,0.0316,2.7016,0.0012,0.0955,2.9535,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k1,13,,3935,86906,2,0.1045,14.1809,25.2568,4.7148,44.4385,1.9556,11,0,0,0,3,0,0,0,1,163,6,5,54.55,0,0,0,0,0,0,0,0
