config,trie_type,group_depth,pebble_block_size_kb,benchmark,run,contract,block_number,gas_used,tx_count,execution_ms,state_read_ms,state_hash_ms,commit_ms,total_ms,mgas_per_sec,accounts_read,storage_slots_read,code_read,code_bytes_read,accounts_written,accounts_deleted,storage_slots_written,storage_slots_deleted,code_written,code_bytes_written,account_cache_hits,account_cache_misses,account_cache_hit_rate,storage_cache_hits,storage_cache_misses,storage_cache_hit_rate,code_cache_hits,code_cache_misses,code_cache_hit_rate,code_cache_hit_bytes,code_cache_miss_bytes
ubt,bintrie,5,4,storage_mixed_k10,10,,7459,0,0,0.0423,19.9499,0.0025,0.2047,20.3966,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k10,10,,7460,0,0,0.0466,5.1685,0.0022,0.1932,5.5805,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k10,10,,7461,91710,2,0.1729,16.3228,4.0407,7.0092,32.988,2.7801,11,0,0,0,3,0,0,0,1,305,5,6,45.45,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k10,10,,7462,5908267,1,58.8438,11.7638,6.499,1.455,78.7583,75.0178,17,723,11,585,3,0,85,0,0,0,3,14,17.65,24,699,3.32,11,0,100,585,0
ubt,bintrie,5,4,storage_mixed_k10,10,,7463,21000,1,0.0643,3.2224,13.6301,0.5156,24.2151,0.8672,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k10,11,,7464,0,0,0.0898,23.3777,0.0032,0.9411,24.9484,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k10,11,,7465,0,0,0.0485,21.5946,0.0038,0.1537,21.9929,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k10,11,,7466,91710,2,3.1254,10.9582,11.7083,6.1372,32.0723,2.8595,11,0,0,0,3,0,0,0,1,305,5,6,45.45,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k10,11,,7467,5908267,1,59.2359,21.4564,4.3638,0.9711,86.2166,68.5282,17,723,11,585,3,0,85,0,0,0,3,14,17.65,223,500,30.84,11,0,100,585,0
ubt,bintrie,5,4,storage_mixed_k10,11,,7468,21000,1,0.0944,14.491,6.3133,0.7528,21.8354,0.9617,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k10,12,,7469,0,0,0.037,27.2061,0.0029,0.2275,27.6753,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k10,12,,7470,0,0,0.0301,2.6245,0.0017,0.0952,2.9221,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k10,12,,7471,91710,2,0.111,20.4064,4.657,7.7329,33.0959,2.771,11,0,0,0,3,0,0,0,1,305,6,5,54.55,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k10,12,,7472,5908267,1,61.0917,19.4176,6.6718,0.9539,88.4104,66.8277,17,723,11,585,3,0,85,0,0,0,2,15,11.76,10,713,1.38,11,0,100,585,0
ubt,bintrie,5,4,storage_mixed_k10,12,,7473,21000,1,0.0796,3.5722,17.1781,0.5963,22.4549,0.9352,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k10,13,,7474,0,0,0.0463,16.9562,0.0021,0.1946,17.4394,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k10,13,,7475,0,0,0.0314,2.8624,0.0012,0.1561,3.204,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k10,13,,7476,91710,2,1.4776,12.1112,12.5484,7.6316,33.9889,2.6982,11,0,0,0,3,0,0,0,1,305,4,7,36.36,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k10,13,,7477,5908267,1,90.1863,14.7219,6.7397,1.4745,113.8789,51.882,17,723,11,585,3,0,85,0,0,0,5,12,29.41,100,623,13.83,11,0,100,585,0
ubt,bintrie,5,4,storage_mixed_k10,13,,7478,21000,1,0.0661,6.9563,11.97,0.5692,19.7475,1.0634,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k10,14,,7479,0,0,0.0428,19.3941,0.0027,0.2137,19.8354,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k10,14,,7480,0,0,0.0299,2.9554,0.0017,0.1195,3.2914,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k10,14,,7481,91710,2,0.1231,20.3938,4.3896,6.3136,35.8129,2.5608,11,0,0,0,3,0,0,0,1,305,6,5,54.55,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k10,14,,7482,5908267,1,62.9276,26.7494,4.1439,0.8911,100.1853,58.9734,17,723,11,585,3,0,85,0,0,0,8,9,47.06,350,373,48.41,11,0,100,585,0
ubt,bintrie,5,4,storage_mixed_k10,14,,7483,21000,1,0.0667,9.2967,12.2305,0.6007,22.5605,0.9308,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
