config,trie_type,group_depth,pebble_block_size_kb,benchmark,run,contract,block_number,gas_used,tx_count,execution_ms,state_read_ms,state_hash_ms,commit_ms,total_ms,mgas_per_sec,accounts_read,storage_slots_read,code_read,code_bytes_read,accounts_written,accounts_deleted,storage_slots_written,storage_slots_deleted,code_written,code_bytes_written,account_cache_hits,account_cache_misses,account_cache_hit_rate,storage_cache_hits,storage_cache_misses,storage_cache_hit_rate,code_cache_hits,code_cache_misses,code_cache_hit_rate,code_cache_hit_bytes,code_cache_miss_bytes
ubt,bintrie,5,4,storage_sload_k256,10,,6741,0,0,0.0438,5.2083,0.0023,0.3092,5.7846,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k256,10,,6742,0,0,0.0526,16.2042,0.0025,0.2164,17.1691,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k256,10,,6743,0,0,0.0387,14.8972,0.0031,0.1452,15.2716,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k256,10,,6744,86840,2,0.8274,16.7678,15.6829,4.4085,40.9207,2.1222,11,0,0,0,3,0,0,0,1,157,6,5,54.55,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k256,10,,6745,5900023,1,86.3538,13.2499,2.4773,2.7497,115.5632,51.0545,263,259,257,7325,2,0,0,0,0,0,91,172,34.6,107,152,41.31,257,0,100,7325,0
ubt,bintrie,5,4,storage_sload_k256,10,,6746,21000,1,0.0616,17.5779,3.9846,0.5639,22.3871,0.938,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k256,11,,6748,0,0,0.0395,3.5141,0.0019,2.8194,6.5726,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k256,11,,6749,0,0,0.0339,19.5012,0.0021,0.1026,19.8225,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k256,11,,6750,0,0,0.0273,3.3336,0.0026,5.3024,8.8224,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k256,11,,6751,86840,2,0.2368,19.7572,9.5443,4.7785,36.105,2.4052,11,0,0,0,3,0,0,0,1,157,4,7,36.36,0,0,0,0,0,0,0,0
