config,trie_type,group_depth,pebble_block_size_kb,benchmark,run,contract,block_number,gas_used,tx_count,execution_ms,state_read_ms,state_hash_ms,commit_ms,total_ms,mgas_per_sec,accounts_read,storage_slots_read,code_read,code_bytes_read,accounts_written,accounts_deleted,storage_slots_written,storage_slots_deleted,code_written,code_bytes_written,account_cache_hits,account_cache_misses,account_cache_hit_rate,storage_cache_hits,storage_cache_misses,storage_cache_hit_rate,code_cache_hits,code_cache_misses,code_cache_hit_rate,code_cache_hit_bytes,code_cache_miss_bytes
ubt,bintrie,5,4,storage_sstore_k10,10,,7000,0,0,0.063,3.3218,0.0016,0.1957,3.7858,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k10,10,,7001,0,0,0.0376,4.0058,0.0024,0.2917,4.5303,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k10,10,,7002,86938,2,0.133,4.5378,22.9928,4.632,32.5517,2.6708,11,0,0,0,3,0,0,0,1,165,5,6,45.45,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k10,10,,7003,5919370,1,3.4313,16.8284,12.4823,2.0721,38.4273,154.0406,17,283,11,445,12,0,254,0,0,0,6,11,35.29,74,209,26.15,11,0,100,445,0
ubt,bintrie,5,4,storage_sstore_k10,10,,7004,21000,1,0.0806,12.3566,6.3887,0.7876,20.2177,1.0387,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k10,10,,7005,0,0,0.0463,16.581,0.0029,0.1428,16.9726,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k10,11,,7006,0,0,0.038,3.6287,0.0101,0.2315,4.1492,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k10,11,,7007,0,0,0.0423,22.4706,0.0037,0.1245,22.9342,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k10,11,,7008,0,0,0.0426,25.3585,0.0034,0.157,25.7764,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k10,11,,7009,86938,2,0.1413,18.8633,3.2596,3.99,26.4717,3.2842,11,0,0,0,3,0,0,0,1,165,5,6,45.45,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k10,11,,7010,5919370,1,3.551,27.0847,10.7888,1.9306,48.4368,122.208,17,283,11,445,12,0,254,0,0,0,4,13,23.53,35,248,12.37,11,0,100,445,0
ubt,bintrie,5,4,storage_sstore_k10,11,,7011,21000,1,0.1332,3.0974,14.1935,0.8137,19.7385,1.0639,6,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k10,11,,7012,0,0,0.1968,9.6758,0.0034,0.2154,14.6831,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k10,12,,7013,0,0,0.0422,3.5723,0.0054,0.1735,3.9916,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k10,12,,7014,0,0,0.0425,16.6836,0.0033,0.2889,17.2744,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k10,12,,7015,0,0,0.0345,3.324,0.0095,0.1785,3.7206,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k10,12,,7016,86938,2,0.1169,14.5236,3.6718,4.4844,22.9846,3.7824,11,0,0,0,3,0,0,0,1,165,5,6,45.45,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k10,12,,7017,5919370,1,3.327,23.2826,15.3658,1.9739,44.1669,134.0227,17,283,11,445,12,0,254,0,0,0,6,11,35.29,64,219,22.61,11,0,100,445,0
ubt,bintrie,5,4,storage_sstore_k10,12,,7018,21000,1,0.101,13.7368,2.4922,0.6497,18.4247,1.1398,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k10,12,,7019,0,0,0.0342,13.267,0.0027,0.1303,13.6535,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k10,13,,7020,0,0,0.059,22.1787,0.0024,0.1762,22.6675,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k10,13,,7021,0,0,0.0396,17.2121,0.0022,0.128,17.5605,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k10,13,,7022,0,0,0.043,6.6728,0.0031,0.1742,7.0651,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k10,13,,7023,86938,2,0.1192,17.2755,2.7013,4.6761,24.9523,3.4842,11,0,0,0,3,0,0,0,1,165,6,5,54.55,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k10,13,,7024,5919370,1,3.3958,26.1201,11.649,2.0912,43.48,136.1401,17,283,11,445,12,0,254,0,0,0,4,13,23.53,53,230,18.73,11,0,100,445,0
ubt,bintrie,5,4,storage_sstore_k10,13,,7025,21000,1,0.0851,7.1753,10.3951,0.5215,18.3806,1.1425,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k10,13,,7026,0,0,0.0293,12.6915,0.0022,0.1614,13.1683,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k10,14,,7027,0,0,0.0452,3.3977,0.0021,0.224,3.9001,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k10,14,,7028,0,0,0.0364,18.4777,0.002,0.1098,18.8385,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k10,14,,7029,86938,2,0.1295,20.3574,2.8037,6.6496,30.1099,2.8874,11,0,0,0,3,0,0,0,1,165,6,5,54.55,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k10,14,,7030,5919370,1,3.6425,17.4289,12.9543,2.3548,47.1733,125.4815,17,283,11,445,12,0,254,0,0,0,7,10,41.18,91,192,32.16,11,0,100,445,0
