config,trie_type,group_depth,pebble_block_size_kb,benchmark,run,contract,block_number,gas_used,tx_count,execution_ms,state_read_ms,state_hash_ms,commit_ms,total_ms,mgas_per_sec,accounts_read,storage_slots_read,code_read,code_bytes_read,accounts_written,accounts_deleted,storage_slots_written,storage_slots_deleted,code_written,code_bytes_written,account_cache_hits,account_cache_misses,account_cache_hit_rate,storage_cache_hits,storage_cache_misses,storage_cache_hit_rate,code_cache_hits,code_cache_misses,code_cache_hit_rate,code_cache_hit_bytes,code_cache_miss_bytes
ubt,bintrie,5,4,storage_mixed_k10,10,,6039,0,0,0.0547,21.1645,0.0027,0.2793,21.787,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k10,10,,6040,0,0,0.0305,2.7231,0.0031,0.1481,3.1187,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k10,10,,6041,0,0,0.0604,20.6574,0.003,0.1825,21.0942,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k10,10,,6042,91710,2,0.1089,29.3035,4.438,5.6815,39.7894,2.3049,11,0,0,0,3,0,0,0,1,305,6,5,54.55,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k10,10,,6043,5908267,1,56.6747,23.3124,21.4449,0.9615,102.5613,57.6072,17,723,11,585,3,0,85,0,0,0,7,10,41.18,221,502,30.57,11,0,100,585,0
ubt,bintrie,5,4,storage_mixed_k10,10,,6044,21000,1,0.0696,8.9592,3.814,0.8153,13.8703,1.514,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k10,11,,6046,0,0,0.0478,16.0448,0.0027,0.1878,16.6056,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k10,11,,6047,0,0,0.0358,7.778,0.003,0.229,11.082,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k10,11,,6048,91710,2,1.2113,17.2985,11.932,8.2182,38.8837,2.3586,11,0,0,0,3,0,0,0,1,305,5,6,45.45,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k10,11,,6049,5908267,1,66.7613,12.5982,5.6207,0.9568,94.0929,62.7918,17,723,11,585,3,0,85,0,0,0,5,12,29.41,450,273,62.24,11,0,100,585,0
ubt,bintrie,5,4,storage_mixed_k10,11,,6050,21000,1,0.3552,4.3723,2.6231,1.2936,8.9203,2.3542,6,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k10,12,,6051,0,0,0.0748,5.5384,0.0022,0.2748,6.0944,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k10,12,,6052,0,0,0.0419,22.5808,0.003,0.1451,22.9542,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k10,12,,6053,91710,2,0.1505,22.0669,2.8433,5.6788,30.9227,2.9658,11,0,0,0,3,0,0,0,1,305,5,6,45.45,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k10,12,,6054,5908267,1,58.2452,23.8218,7.0561,1.567,93.3321,63.3037,17,723,11,585,3,0,85,0,0,0,3,14,17.65,414,309,57.26,11,0,100,585,0
ubt,bintrie,5,4,storage_mixed_k10,12,,6055,21000,1,0.1116,16.4951,3.491,0.5143,20.7788,1.0106,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k10,13,,6056,0,0,0.0461,24.6483,0.0096,0.1836,25.0822,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k10,13,,6057,0,0,0.0435,6.4578,0.002,0.2024,6.8889,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k10,13,,6058,91710,2,1.9504,24.5561,7.3498,4.9481,38.9747,2.3531,11,0,0,0,3,0,0,0,1,305,5,6,45.45,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k10,13,,6059,5908267,1,69.6608,24.255,15.6043,0.9712,110.6925,53.3755,17,723,11,585,3,0,85,0,0,0,7,10,41.18,70,653,9.68,11,0,100,585,0
ubt,bintrie,5,4,storage_mixed_k10,13,,6060,21000,1,0.2517,16.0125,3.745,0.5368,20.7362,1.0127,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k10,14,,6061,0,0,0.0517,21.4615,0.0042,0.2435,22.0505,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k10,14,,6062,0,0,0.0283,9.75,0.0021,0.1495,10.1115,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k10,14,,6063,91710,2,0.1392,20.1731,2.7746,5.5715,29.5502,3.1035,11,0,0,0,3,0,0,0,1,305,5,6,45.45,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k10,14,,6064,5908267,1,78.1515,16.5977,12.6383,1.0975,109.0887,54.1602,17,723,11,585,3,0,85,0,0,0,3,14,17.65,147,576,20.33,11,0,100,585,0
ubt,bintrie,5,4,storage_mixed_k10,14,,6065,21000,1,0.0865,22.7767,2.4093,0.6049,26.0454,0.8063,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k10,15,,6066,0,0,0.0694,21.8316,0.0159,0.2038,22.3412,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k10,15,,6067,0,0,0.031,23.7464,0.0028,0.148,24.1454,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k10,15,,6068,0,0,0.0402,3.4825,0.0026,0.2211,3.9985,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k10,15,,6069,91710,2,0.1309,23.5445,14.2003,9.6766,49.0907,1.8682,11,0,0,0,3,0,0,0,1,305,6,5,54.55,0,0,0,0,0,0,0,0
