config,trie_type,group_depth,pebble_block_size_kb,benchmark,run,contract,block_number,gas_used,tx_count,execution_ms,state_read_ms,state_hash_ms,commit_ms,total_ms,mgas_per_sec,accounts_read,storage_slots_read,code_read,code_bytes_read,accounts_written,accounts_deleted,storage_slots_written,storage_slots_deleted,code_written,code_bytes_written,account_cache_hits,account_cache_misses,account_cache_hit_rate,storage_cache_hits,storage_cache_misses,storage_cache_hit_rate,code_cache_hits,code_cache_misses,code_cache_hit_rate,code_cache_hit_bytes,code_cache_miss_bytes
ubt,bintrie,5,4,storage_sload_k256,10,,5299,0,0,0.0509,6.3231,0.0056,0.2918,6.9285,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k256,10,,5300,0,0,0.035,17.3773,0.0037,0.174,17.8229,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k256,10,,5301,0,0,0.0403,4.0955,0.0024,0.175,4.7842,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k256,10,,5302,86840,2,0.1276,25.086,3.7623,7.604,36.8959,2.3537,11,0,0,0,3,0,0,0,1,157,7,4,63.64,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k256,10,,5303,5900023,1,99.9258,14.8846,3.2111,1.176,119.6278,49.3199,263,259,257,7325,2,0,0,0,0,0,22,241,8.37,31,228,11.97,257,0,100,7325,0
ubt,bintrie,5,4,storage_sload_k256,10,,5304,21000,1,0.0709,11.7715,5.1058,0.7232,17.8545,1.1762,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k256,10,,5305,0,0,0.0328,4.7448,0.002,0.1359,5.0661,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k256,11,,5306,0,0,0.0428,4.854,0.0078,0.2844,5.3956,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k256,11,,5307,0,0,0.029,3.2467,0.0021,0.2169,3.691,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k256,11,,5308,0,0,0.037,5.638,0.0018,0.0861,6.1759,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k256,11,,5309,86840,2,0.115,22.0477,6.4619,6.0418,34.9081,2.4877,11,0,0,0,3,0,0,0,1,157,6,5,54.55,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k256,11,,5310,5900023,1,94.9601,20.7167,6.2728,0.6525,122.9198,47.999,263,259,257,7325,2,0,0,0,0,0,74,189,28.14,70,189,27.03,257,0,100,7325,0
ubt,bintrie,5,4,storage_sload_k256,11,,5311,21000,1,2.3921,6.4505,15.8386,2.59,27.4497,0.765,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k256,11,,5312,0,0,0.0458,19.7732,0.0028,0.2135,20.7056,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k256,12,,5313,0,0,0.2903,3.628,0.0024,0.2913,5.9613,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k256,12,,5314,0,0,0.0329,24.5997,0.002,0.1306,24.9233,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k256,12,,5315,0,0,0.0307,3.3812,0.0019,0.1333,3.8073,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k256,12,,5316,86840,2,0.1102,20.3442,3.2106,4.4489,28.3829,3.0596,11,0,0,0,3,0,0,0,1,157,6,5,54.55,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k256,12,,5317,5900023,1,106.1019,17.4145,5.3248,0.782,129.8265,45.4454,263,259,257,7325,2,0,0,0,0,0,121,142,46.01,120,139,46.33,257,0,100,7325,0
ubt,bintrie,5,4,storage_sload_k256,12,,5318,21000,1,0.0727,5.7621,12.7783,0.5595,26.6351,0.7884,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k256,12,,5319,0,0,0.0578,14.976,0.0103,0.154,15.423,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k256,13,,5320,0,0,0.5517,4.0315,0.0023,0.6217,5.6912,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k256,13,,5321,0,0,0.0437,20.8971,0.0027,0.1795,21.356,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k256,13,,5322,0,0,0.0426,8.2273,0.0088,0.1435,9.4795,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
