config,trie_type,group_depth,pebble_block_size_kb,benchmark,run,contract,block_number,gas_used,tx_count,execution_ms,state_read_ms,state_hash_ms,commit_ms,total_ms,mgas_per_sec,accounts_read,storage_slots_read,code_read,code_bytes_read,accounts_written,accounts_deleted,storage_slots_written,storage_slots_deleted,code_written,code_bytes_written,account_cache_hits,account_cache_misses,account_cache_hit_rate,storage_cache_hits,storage_cache_misses,storage_cache_hit_rate,code_cache_hits,code_cache_misses,code_cache_hit_rate,code_cache_hit_bytes,code_cache_miss_bytes
ubt,bintrie,5,4,storage_mixed_k256,10,,3221,0,0,0.0744,2.7814,0.0015,0.1794,3.3237,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k256,10,,3222,0,0,0.0276,2.8726,0.0012,0.0907,3.1368,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k256,10,,3223,0,0,0.0404,18.8077,0.0034,0.1517,19.234,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k256,10,,3224,91698,2,0.1163,25.5203,3.0646,4.7727,33.6469,2.7253,11,0,0,0,3,0,0,0,1,305,5,6,45.45,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k256,10,,3225,5900070,1,54.7709,7.5712,2.5487,0.7154,65.9173,89.5071,263,1379,257,7473,2,0,0,0,0,0,97,166,36.88,1003,376,72.73,257,0,100,7473,0
ubt,bintrie,5,4,storage_mixed_k256,10,,3226,21000,1,0.0875,5.3643,16.6514,0.672,22.9314,0.9158,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k256,10,,3227,0,0,0.0255,13.1915,0.0024,0.1159,13.5014,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k256,11,,3228,0,0,0.0525,3.6919,0.0053,0.2738,4.2568,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k256,11,,3229,0,0,0.0256,2.9832,0.0016,0.1186,3.3161,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k256,11,,3230,0,0,0.0379,3.4115,0.0018,0.1246,3.7391,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k256,11,,3231,91698,2,0.1257,3.2718,14.496,4.5853,22.6558,4.0474,11,0,0,0,3,0,0,0,1,305,5,6,45.45,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k256,11,,3232,5900070,1,47.1386,12.9497,2.7726,0.8719,64.5478,91.4063,263,1379,257,7473,2,0,0,0,0,0,87,176,33.08,535,844,38.8,257,0,100,7473,0
ubt,bintrie,5,4,storage_mixed_k256,11,,3233,21000,1,0.0597,3.1103,3.1882,0.616,7.1362,2.9428,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k256,11,,3234,0,0,0.0278,4.178,0.0017,0.1464,4.559,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k256,12,,3235,0,0,0.0409,6.3847,0.0057,0.2551,6.8873,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k256,12,,3236,0,0,0.0208,2.743,0.0014,0.1268,3.0509,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k256,12,,3237,0,0,0.0603,20.057,0.0019,0.1317,20.6555,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k256,12,,3238,91698,2,0.1638,15.9101,13.6305,4.84,34.7339,2.64,11,0,0,0,3,0,0,0,1,305,5,6,45.45,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k256,12,,3239,5900070,1,57.9275,32.0671,2.6495,1.2626,94.6132,62.3599,263,1379,257,7473,2,0,0,0,0,0,114,149,43.35,216,1163,15.66,257,0,100,7473,0
ubt,bintrie,5,4,storage_mixed_k256,12,,3240,21000,1,0.0663,2.9112,2.4823,0.6127,6.2133,3.3798,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k256,12,,3241,0,0,0.0194,2.8392,0.0013,0.0923,3.1026,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k256,13,,3242,0,0,0.054,5.8049,0.0019,0.1865,6.4307,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k256,13,,3243,0,0,0.0321,3.7416,0.0057,0.1638,4.1352,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k256,13,,3244,0,0,0.0297,14.2109,0.0022,0.1186,14.515,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
