config,trie_type,group_depth,pebble_block_size_kb,benchmark,run,contract,block_number,gas_used,tx_count,execution_ms,state_read_ms,state_hash_ms,commit_ms,total_ms,mgas_per_sec,accounts_read,storage_slots_read,code_read,code_bytes_read,accounts_written,accounts_deleted,storage_slots_written,storage_slots_deleted,code_written,code_bytes_written,account_cache_hits,account_cache_misses,account_cache_hit_rate,storage_cache_hits,storage_cache_misses,storage_cache_hit_rate,code_cache_hits,code_cache_misses,code_cache_hit_rate,code_cache_hit_bytes,code_cache_miss_bytes
ubt,bintrie,5,4,storage_sload_k256,10,,2119,0,0,0.0434,2.943,0.0014,0.1569,3.3164,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k256,10,,2120,0,0,0.0282,6.3257,0.0019,0.1065,6.7995,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k256,10,,2121,0,0,0.0236,3.0878,0.0018,0.123,3.3782,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k256,10,,2122,86840,2,0.1012,14.2711,14.6995,6.8044,36.0373,2.4097,11,0,0,0,3,0,0,0,1,157,6,5,54.55,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k256,10,,2123,5900456,1,86.8186,6.9303,2.6982,1.1935,97.9973,60.2104,263,259,257,7325,2,0,0,0,0,0,101,162,38.4,112,147,43.24,257,0,100,7325,0
ubt,bintrie,5,4,storage_sload_k256,10,,2124,0,0,0.0476,3.2564,0.0019,0.1797,3.6486,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k256,10,,2125,21000,1,0.069,11.6799,2.7971,0.6642,15.4275,1.3612,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k256,10,,2126,0,0,0.0389,17.2592,0.0026,0.1329,17.6749,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k256,11,,2127,0,0,0.0356,2.9644,0.0013,0.1586,3.3299,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k256,11,,2128,0,0,0.0357,2.9995,0.0021,0.0901,3.2619,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k256,11,,2129,0,0,0.0336,3.1564,0.0025,0.1847,3.5524,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k256,11,,2130,86840,2,0.3935,16.8623,2.9894,4.9971,25.5736,3.3957,11,0,0,0,3,0,0,0,1,157,4,7,36.36,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k256,11,,2131,5900456,1,100.3718,8.7313,9.9195,0.772,119.963,49.1856,263,259,257,7325,2,0,0,0,0,0,33,230,12.55,32,227,12.36,257,0,100,7325,0
ubt,bintrie,5,4,storage_sload_k256,11,,2132,21000,1,0.0614,14.2042,20.0717,0.5821,35.0862,0.5985,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k256,11,,2133,0,0,0.022,2.6963,0.0017,0.1208,2.9908,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k256,12,,2134,0,0,0.083,4.3605,0.0025,0.2245,4.8942,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k256,12,,2135,0,0,0.0249,2.8675,0.0019,0.1102,3.168,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k256,12,,2136,0,0,0.0386,20.1383,0.0024,0.1266,20.4803,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k256,12,,2137,86840,2,0.1102,14.5282,16.6299,5.2124,36.6314,2.3706,11,0,0,0,3,0,0,0,1,157,6,5,54.55,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k256,12,,2138,5900456,1,86.2957,6.9738,2.9606,0.7364,97.174,60.7206,263,259,257,7325,2,0,0,0,0,0,126,137,47.91,125,134,48.26,257,0,100,7325,0
ubt,bintrie,5,4,storage_sload_k256,12,,2139,21000,1,0.0848,15.4275,2.6113,0.7581,19.3729,1.084,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k256,12,,2140,0,0,0.0239,3.1008,0.002,0.1391,3.4024,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k256,13,,2141,0,0,0.07,3.6247,0.0015,0.1576,4.1006,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k256,13,,2142,0,0,0.0296,2.9885,0.0013,0.0946,3.2393,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k256,13,,2143,0,0,0.0397,18.4331,0.0027,0.4355,19.9175,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
