config,trie_type,group_depth,pebble_block_size_kb,benchmark,run,contract,block_number,gas_used,tx_count,execution_ms,state_read_ms,state_hash_ms,commit_ms,total_ms,mgas_per_sec,accounts_read,storage_slots_read,code_read,code_bytes_read,accounts_written,accounts_deleted,storage_slots_written,storage_slots_deleted,code_written,code_bytes_written,account_cache_hits,account_cache_misses,account_cache_hit_rate,storage_cache_hits,storage_cache_misses,storage_cache_hit_rate,code_cache_hits,code_cache_misses,code_cache_hit_rate,code_cache_hit_bytes,code_cache_miss_bytes
ubt,bintrie,5,4,storage_sstore_k100,10,,2524,0,0,0.0394,2.7642,0.0014,0.1556,3.1442,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k100,10,,2525,0,0,0.0289,5.1959,0.0025,0.1496,5.5328,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k100,10,,2526,0,0,0.1565,21.4636,0.0026,0.1212,21.9548,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k100,10,,2527,86938,2,0.115,3.4671,3.4864,7.0163,15.651,5.5548,11,0,0,0,3,0,0,0,1,165,5,6,45.45,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k100,10,,2528,5916898,1,11.4688,12.2177,3.3602,1.2839,28.4942,207.6524,107,1058,101,2965,3,0,134,0,0,0,12,95,11.21,149,909,14.08,101,0,100,2965,0
ubt,bintrie,5,4,storage_sstore_k100,10,,2529,21000,1,0.085,9.3217,6.1099,0.9369,16.6527,1.2611,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k100,10,,2530,0,0,0.0208,2.7883,0.0019,0.1083,3.0408,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k100,11,,2531,0,0,0.0588,7.9992,0.0022,0.21,8.5849,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k100,11,,2532,0,0,0.0269,3.0246,0.0014,0.1446,3.3667,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k100,11,,2533,0,0,0.0355,4.1951,0.0021,0.2299,4.8725,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
