config,trie_type,group_depth,pebble_block_size_kb,benchmark,run,contract,block_number,gas_used,tx_count,execution_ms,state_read_ms,state_hash_ms,commit_ms,total_ms,mgas_per_sec,accounts_read,storage_slots_read,code_read,code_bytes_read,accounts_written,accounts_deleted,storage_slots_written,storage_slots_deleted,code_written,code_bytes_written,account_cache_hits,account_cache_misses,account_cache_hit_rate,storage_cache_hits,storage_cache_misses,storage_cache_hit_rate,code_cache_hits,code_cache_misses,code_cache_hit_rate,code_cache_hit_bytes,code_cache_miss_bytes
ubt,bintrie,5,4,storage_mixed_k10,10,,1322,0,0,0.3846,6.1266,0.0021,0.1845,7.6357,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k10,10,,1323,0,0,0.034,2.708,0.0019,0.1108,3.0074,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k10,10,,1324,91710,2,0.2023,15.8506,2.7729,5.4828,31.9257,2.8726,11,0,0,0,3,0,0,0,1,305,5,6,45.45,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k10,10,,1325,5908255,1,74.2414,9.4465,2.9806,1.2528,88.1046,67.0595,17,723,11,585,3,0,85,0,0,0,7,10,41.18,221,502,30.57,11,0,100,585,0
ubt,bintrie,5,4,storage_mixed_k10,10,,1326,21000,1,0.0648,6.4698,7.5128,0.6632,14.934,1.4062,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k10,11,,1327,0,0,0.0614,5.6869,0.0051,0.1897,6.2675,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k10,11,,1328,0,0,0.048,3.4815,0.0017,0.2214,3.9561,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k10,11,,1329,0,0,0.0359,17.5431,0.0023,0.1038,17.9079,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k10,11,,1330,91710,2,0.0954,3.175,14.071,5.2677,22.7938,4.0235,11,0,0,0,3,0,0,0,1,305,6,5,54.55,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k10,11,,1331,5908255,1,59.8046,20.891,3.0418,0.9818,84.8873,69.6012,17,723,11,585,3,0,85,0,0,0,5,12,29.41,231,492,31.95,11,0,100,585,0
ubt,bintrie,5,4,storage_mixed_k10,11,,1332,21000,1,0.0552,13.6529,5.8883,2.074,21.8289,0.962,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k10,11,,1333,0,0,0.0249,2.6272,0.0013,0.2504,3.1195,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k10,12,,1334,0,0,0.0336,2.7285,0.0011,0.1442,3.1408,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k10,12,,1335,0,0,0.0292,3.005,0.0014,0.0946,3.2906,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k10,12,,1336,0,0,0.0366,21.8407,0.0022,0.128,22.1743,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k10,12,,1337,91710,2,0.1397,17.7917,6.7725,5.8811,30.7648,2.981,11,0,0,0,3,0,0,0,1,305,5,6,45.45,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k10,12,,1338,5908255,1,64.7571,16.835,7.9589,1.0222,90.7602,65.0974,17,723,11,585,3,0,85,0,0,0,4,13,23.53,523,200,72.34,11,0,100,585,0
ubt,bintrie,5,4,storage_mixed_k10,12,,1339,21000,1,0.0751,2.3145,18.035,0.6574,22.0499,0.9524,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k10,12,,1340,0,0,0.0278,9.355,0.0026,0.338,10.2399,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k10,13,,1341,0,0,0.0737,7.0674,0.0023,0.2236,7.5795,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k10,13,,1342,0,0,0.0284,3.4874,0.0017,0.1252,3.8666,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k10,13,,1343,0,0,0.0397,2.9076,0.0019,0.1486,3.2893,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k10,13,,1344,91710,2,0.1522,4.1433,22.4482,4.707,31.6156,2.9008,11,0,0,0,3,0,0,0,1,305,5,6,45.45,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k10,13,,1345,5908255,1,60.7651,7.7074,3.0149,1.0425,72.6833,81.2877,17,723,11,585,3,0,85,0,0,0,4,13,23.53,241,482,33.33,11,0,100,585,0
ubt,bintrie,5,4,storage_mixed_k10,13,,1346,21000,1,0.1399,2.9014,2.476,0.5933,6.2959,3.3355,6,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k10,13,,1347,0,0,0.0377,3.4737,0.0019,0.1641,3.8472,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k10,14,,1348,0,0,0.0457,5.492,0.0024,0.1731,5.9653,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k10,14,,1349,0,0,0.0364,3.7432,0.002,0.1631,4.1271,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k10,14,,1350,0,0,0.1737,24.3419,0.0027,0.1017,24.8196,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k10,14,,1351,91710,2,0.1401,3.7407,14.3694,5.5702,24.0535,3.8127,11,0,0,0,3,0,0,0,1,305,6,5,54.55,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k10,14,,1352,5908255,1,59.8335,16.2892,4.2543,1.3885,82.1776,71.8962,17,723,11,585,3,0,85,0,0,0,3,14,17.65,41,682,5.67,11,0,100,585,0
ubt,bintrie,5,4,storage_mixed_k10,14,,1353,21000,1,0.0802,10.8538,12.3668,0.7138,24.1626,0.8691,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k10,14,,1354,0,0,0.0328,3.0318,0.0015,0.1171,3.3596,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
