config,trie_type,group_depth,pebble_block_size_kb,benchmark,run,contract,block_number,gas_used,tx_count,execution_ms,state_read_ms,state_hash_ms,commit_ms,total_ms,mgas_per_sec,accounts_read,storage_slots_read,code_read,code_bytes_read,accounts_written,accounts_deleted,storage_slots_written,storage_slots_deleted,code_written,code_bytes_written,account_cache_hits,account_cache_misses,account_cache_hit_rate,storage_cache_hits,storage_cache_misses,storage_cache_hit_rate,code_cache_hits,code_cache_misses,code_cache_hit_rate,code_cache_hit_bytes,code_cache_miss_bytes
ubt,bintrie,5,4,storage_sload_k100,10,,439,0,0,0.0344,3.1266,0.0015,0.1407,3.5159,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k100,10,,440,0,0,0.2849,6.0276,0.0019,0.1002,6.5749,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k100,10,,441,86852,2,0.119,21.5366,2.813,4.1106,28.7825,3.0175,11,0,0,0,3,0,0,0,1,157,6,5,54.55,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k100,10,,442,5900228,1,103.8711,10.3602,9.2373,0.6205,124.2634,47.4816,107,258,101,2957,2,0,0,0,0,0,16,91,14.95,32,226,12.4,101,0,100,2957,0
ubt,bintrie,5,4,storage_sload_k100,10,,443,21000,1,0.074,4.4602,3.7407,0.6683,9.1271,2.3009,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k100,11,,444,0,0,0.0358,2.8253,0.0013,0.1422,3.218,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k100,11,,445,0,0,0.0277,2.9986,0.0017,0.1257,3.2934,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k100,11,,446,0,0,0.0237,14.4288,0.0015,0.0949,14.7255,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k100,11,,447,86852,2,0.0976,23.927,2.7304,4.1767,31.1271,2.7902,11,0,0,0,3,0,0,0,1,157,5,6,45.45,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k100,11,,448,5900228,1,104.4818,7.0309,2.5904,0.7133,115.0138,51.3002,107,258,101,2957,2,0,0,0,0,0,14,93,13.08,27,231,10.47,101,0,100,2957,0
ubt,bintrie,5,4,storage_sload_k100,11,,449,21000,1,0.0647,14.448,16.5879,0.6723,31.9499,0.6573,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k100,12,,450,0,0,0.0317,2.7218,0.0016,0.1317,3.0791,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k100,12,,451,0,0,0.0317,3.9006,0.0027,0.1314,4.2196,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k100,12,,452,0,0,0.0614,18.8525,0.0023,0.1024,19.7757,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k100,12,,453,86852,2,0.0875,13.7462,14.2463,3.8434,32.0877,2.7067,11,0,0,0,3,0,0,0,1,157,6,5,54.55,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k100,12,,454,5900228,1,108.959,7.1996,2.4698,0.8712,119.9283,49.198,107,258,101,2957,2,0,0,0,0,0,21,86,19.63,56,202,21.71,101,0,100,2957,0
ubt,bintrie,5,4,storage_sload_k100,12,,455,21000,1,0.1293,3.8659,4.231,0.6198,9.0126,2.3301,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k100,13,,457,0,0,0.0394,3.4164,0.0016,0.2031,3.8756,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k100,13,,458,0,0,0.0346,3.3198,0.0015,0.0856,3.6047,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k100,13,,459,0,0,0.0319,14.8317,0.0021,0.1332,15.1784,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k100,13,,460,86852,2,0.119,3.1139,4.7441,3.8076,12.3963,7.0063,11,0,0,0,3,0,0,0,1,157,6,5,54.55,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k100,13,,461,5900228,1,108.8308,6.2164,2.5346,0.7286,130.0451,45.3706,107,258,101,2957,2,0,0,0,0,0,3,104,2.8,9,249,3.49,101,0,100,2957,0
ubt,bintrie,5,4,storage_sload_k100,13,,462,21000,1,0.054,3.0569,3.0371,3.7414,10.0374,2.0922,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
