config,trie_type,group_depth,pebble_block_size_kb,benchmark,run,contract,block_number,gas_used,tx_count,execution_ms,state_read_ms,state_hash_ms,commit_ms,total_ms,mgas_per_sec,accounts_read,storage_slots_read,code_read,code_bytes_read,accounts_written,accounts_deleted,storage_slots_written,storage_slots_deleted,code_written,code_bytes_written,account_cache_hits,account_cache_misses,account_cache_hit_rate,storage_cache_hits,storage_cache_misses,storage_cache_hit_rate,code_cache_hits,code_cache_misses,code_cache_hit_rate,code_cache_hit_bytes,code_cache_miss_bytes
ubt,bintrie,5,4,storage_sstore_k256,10,,1100,0,0,0.0688,7.022,0.0022,0.2024,8.0349,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k256,10,,1101,0,0,0.043,10.6282,0.0017,0.093,11.0512,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k256,10,,1102,86926,2,0.1176,14.1238,13.997,4.5223,32.982,2.6356,11,0,0,0,3,0,0,0,1,165,6,5,54.55,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k256,10,,1103,5903530,1,4.6773,27.8726,44.5748,13.6292,91.1238,64.7859,219,212,213,6101,213,0,211,0,0,0,136,83,62.1,103,109,48.58,213,0,100,6101,0
ubt,bintrie,5,4,storage_sstore_k256,10,,1104,21000,1,0.0564,14.4935,16.6821,0.7027,32.0756,0.6547,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k256,11,,1105,0,0,0.0507,5.0941,0.002,0.1562,5.5508,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k256,11,,1106,0,0,0.0266,20.6462,0.0024,0.1612,21.0066,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k256,11,,1107,0,0,0.0346,18.2129,0.0026,0.118,18.5217,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k256,11,,1108,86926,2,0.1793,5.3026,14.1769,5.1424,25.0212,3.4741,11,0,0,0,3,0,0,0,1,165,5,6,45.45,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k256,11,,1109,5903530,1,5.4058,43.9978,44.6965,14.055,108.4881,54.4164,219,212,213,6101,213,0,211,0,0,0,84,135,38.36,52,160,24.53,213,0,100,6101,0
ubt,bintrie,5,4,storage_sstore_k256,11,,1110,21000,1,0.0613,13.7357,19.5892,1.0825,34.6422,0.6062,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k256,12,,1111,0,0,2.7324,5.7375,0.0019,0.1608,8.8741,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k256,12,,1112,0,0,0.0417,10.181,0.0018,0.2567,10.7159,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k256,12,,1113,0,0,0.0367,21.8551,0.0023,0.1264,22.1999,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k256,12,,1114,86926,2,0.1685,3.4664,14.1146,4.8279,22.7572,3.8197,11,0,0,0,3,0,0,0,1,165,5,6,45.45,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k256,12,,1115,5903530,1,4.7917,30.6043,52.8871,15.2099,103.9351,56.8001,219,212,213,6101,213,0,211,0,0,0,72,147,32.88,43,169,20.28,213,0,100,6101,0
ubt,bintrie,5,4,storage_sstore_k256,12,,1116,21000,1,0.0676,4.2743,9.697,1.0195,15.2725,1.375,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k256,13,,1117,0,0,0.0488,6.5135,0.0024,0.214,9.9023,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k256,13,,1118,0,0,0.0343,5.2769,0.0018,0.0835,5.5827,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k256,13,,1119,0,0,0.047,15.0992,0.0021,0.1211,15.6883,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k256,13,,1120,86926,2,0.1099,19.9577,3.0414,7.9483,31.2155,2.7847,11,0,0,0,3,0,0,0,1,165,6,5,54.55,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k256,13,,1121,5903530,1,5.4457,31.6337,66.7487,13.1512,117.8052,50.1126,219,212,213,6101,213,0,211,0,0,0,96,123,43.84,67,145,31.6,213,0,100,6101,0
ubt,bintrie,5,4,storage_sstore_k256,13,,1122,21000,1,0.0569,1.7462,14.3615,0.6903,17.0344,1.2328,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k256,14,,1123,0,0,0.0406,7.1212,0.0015,0.1401,7.4931,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k256,14,,1124,0,0,0.0336,6.9418,0.0019,0.1175,7.3006,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k256,14,,1125,86926,2,0.1078,3.1141,14.0917,4.8038,22.2556,3.9058,11,0,0,0,3,0,0,0,1,165,5,6,45.45,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k256,14,,1126,5903530,1,3.8794,21.522,47.6371,17.8183,91.2738,64.6794,219,212,213,6101,213,0,211,0,0,0,57,162,26.03,52,160,24.53,213,0,100,6101,0
ubt,bintrie,5,4,storage_sstore_k256,14,,1127,21000,1,0.0623,4.5593,9.9975,1.1227,15.9148,1.3195,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k256,15,,1128,0,0,0.0525,4.1772,0.0027,0.2547,9.3801,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k256,15,,1129,0,0,0.0195,2.7362,0.0014,0.1379,3.0172,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k256,15,,1130,86926,2,0.1058,18.198,2.9301,4.2605,25.6494,3.389,11,0,0,0,3,0,0,0,1,165,6,5,54.55,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k256,15,,1131,5903530,1,4.1344,25.5294,65.2937,12.4549,107.8959,54.7151,219,212,213,6101,213,0,211,0,0,0,133,86,60.73,101,111,47.64,213,0,100,6101,0
ubt,bintrie,5,4,storage_sstore_k256,15,,1132,21000,1,0.0833,20.6343,2.6766,0.6459,24.3838,0.8612,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k256,16,,1133,0,0,0.0423,9.3881,0.0019,0.2855,9.9139,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k256,16,,1134,0,0,0.0331,2.6878,0.0015,0.1073,2.9626,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
