config,trie_type,group_depth,pebble_block_size_kb,benchmark,run,contract,block_number,gas_used,tx_count,execution_ms,state_read_ms,state_hash_ms,commit_ms,total_ms,mgas_per_sec,accounts_read,storage_slots_read,code_read,code_bytes_read,accounts_written,accounts_deleted,storage_slots_written,storage_slots_deleted,code_written,code_bytes_written,account_cache_hits,account_cache_misses,account_cache_hit_rate,storage_cache_hits,storage_cache_misses,storage_cache_hit_rate,code_cache_hits,code_cache_misses,code_cache_hit_rate,code_cache_hit_bytes,code_cache_miss_bytes
ubt,bintrie,5,4,erc20_approve,1,0,12301,0,0,0.0369,0.9207,0.0014,0.2301,1.43,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,erc20_approve,1,0,12302,0,0,0.0262,0.5812,0.0048,0.1179,0.8954,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,erc20_approve,1,0,12303,83880,2,0.2073,0.6709,19.366,5.6076,59.932,1.3996,11,0,0,0,3,0,0,0,1,87,4,7,36.36,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,erc20_approve,1,0,12304,16717040,1,25.6987,238.9757,191.0117,71.6308,527.4794,31.6923,8,729,2,1431,4,0,729,0,0,0,4,4,50,60,669,8.23,2,0,100,1431,0
ubt,bintrie,5,4,erc20_approve,1,0,12305,33395380,2,52.9247,513.4082,343.7977,126.7571,1037.2757,32.1953,8,1457,2,1431,4,0,1457,0,0,0,4,4,50,201,1256,13.8,2,0,100,1431,0
ubt,bintrie,5,4,erc20_approve,1,0,12306,33395380,2,49.0541,424.535,270.0807,127.9041,871.8323,38.3048,8,1457,2,1431,4,0,1457,0,0,0,4,4,50,207,1250,14.21,2,0,100,1431,0
ubt,bintrie,5,4,erc20_approve,1,0,12307,16036043,1,28.0727,237.678,142.7933,62.6666,471.4904,34.0114,8,700,2,1431,4,0,700,0,0,0,4,4,50,50,650,7.14,2,0,100,1431,0
ubt,bintrie,5,4,erc20_approve,1,0,12308,21000,1,0.0657,74.7693,2.6453,0.6836,78.3474,0.268,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,erc20_approve,1,0,12401,0,0,0.0316,0.741,0.0012,0.1426,1.1428,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,erc20_approve,1,0,12402,0,0,0.0279,0.8046,0.0014,0.1583,1.1662,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,erc20_approve,1,0,12403,83880,2,0.1535,20.1927,13.5414,6.4432,40.5918,2.0664,11,0,0,0,3,0,0,0,1,87,5,6,45.45,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,erc20_approve,1,0,12404,16717040,1,27.0445,234.7222,158.1758,69.6317,489.738,34.1347,8,729,2,1431,4,0,729,0,0,0,3,5,37.5,52,677,7.13,2,0,100,1431,0
ubt,bintrie,5,4,erc20_approve,1,0,12405,33395380,2,50.081,480.475,318.2232,127.3419,976.3049,34.2059,8,1457,2,1431,4,0,1457,0,0,0,4,4,50,215,1242,14.76,2,0,100,1431,0
ubt,bintrie,5,4,erc20_approve,1,0,12406,33395380,2,55.2642,490.6272,336.334,143.505,1025.9518,32.5506,8,1457,2,1431,4,0,1457,0,0,0,4,4,50,170,1287,11.67,2,0,100,1431,0
ubt,bintrie,5,4,erc20_approve,1,0,12407,16036043,1,24.9028,287.4951,148.0802,69.1714,529.8223,30.2668,8,700,2,1431,4,0,700,0,0,0,4,4,50,83,617,11.86,2,0,100,1431,0
ubt,bintrie,5,4,erc20_approve,1,0,12408,21000,1,0.058,5.87,20.2107,2.8445,29.1607,0.7201,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,erc20_approve,1,0,12215,0,0,0.043,3.0398,0.0017,0.1566,3.4436,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,erc20_approve,1,0,12216,0,0,0.0224,2.6931,0.0019,1.645,4.8713,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,erc20_approve,1,0,12217,83880,2,0.0995,15.1556,3.1595,6.8793,25.8607,3.2435,11,0,0,0,3,0,0,0,1,87,5,6,45.45,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,erc20_approve,1,0,12218,16717040,1,28.1714,253.7419,167.8209,69.6365,519.7444,32.164,8,729,2,1431,4,0,729,0,0,0,4,4,50,52,677,7.13,2,0,100,1431,0
ubt,bintrie,5,4,erc20_approve,1,0,12219,33395380,2,57.2992,533.2342,306.4453,143.5243,1040.8452,32.0849,8,1457,2,1431,4,0,1457,0,0,0,3,5,37.5,156,1301,10.71,2,0,100,1431,0
ubt,bintrie,5,4,erc20_approve,1,0,12220,33395380,2,53.1511,506.0008,300.9826,147.2478,1007.575,33.1443,8,1457,2,1431,4,0,1457,0,0,0,4,4,50,158,1299,10.84,2,0,100,1431,0
ubt,bintrie,5,4,erc20_approve,1,0,12221,16036043,1,27.1974,267.9852,149.5338,64.0159,508.9343,31.5091,8,700,2,1431,4,0,700,0,0,0,4,4,50,39,661,5.57,2,0,100,1431,0
ubt,bintrie,5,4,erc20_approve,1,0,12222,21000,1,0.0504,19.8396,14.9369,3.6107,38.5983,0.5441,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,erc20_approve,1,0,12223,0,0,0.0273,3.2143,0.0016,0.1017,3.5182,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,erc20_approve,1,1,12318,0,0,0.0373,0.6334,0.0011,0.1733,1.0256,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,erc20_approve,1,1,12319,0,0,0.0236,0.5587,0.001,0.105,0.8918,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,erc20_approve,1,1,12320,83880,2,0.1296,1.7993,0.8669,4.9498,8.3393,10.0585,11,0,0,0,3,0,0,0,1,87,6,5,54.55,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,erc20_approve,1,1,12321,16717040,1,27.2955,251.2618,170.9362,66.6363,516.3206,32.3772,8,729,2,1431,4,0,729,0,0,0,2,6,25,91,638,12.48,2,0,100,1431,0
ubt,bintrie,5,4,erc20_approve,1,1,12322,33395380,2,54.4661,495.7131,363.6386,126.3083,1040.2965,32.1018,8,1457,2,1431,4,0,1457,0,0,0,4,4,50,194,1263,13.32,2,0,100,1431,0
ubt,bintrie,5,4,erc20_approve,1,1,12323,33395380,2,55.761,515.7795,315.3102,134.2842,1021.4836,32.693,8,1457,2,1431,4,0,1457,0,0,0,3,5,37.5,195,1262,13.38,2,0,100,1431,0
ubt,bintrie,5,4,erc20_approve,1,1,12324,16036043,1,29.2689,255.0723,140.509,61.1493,486.2134,32.9815,8,700,2,1431,4,0,700,0,0,0,4,4,50,36,664,5.14,2,0,100,1431,0
ubt,bintrie,5,4,erc20_approve,1,1,12325,21000,1,0.0552,13.3901,12.402,0.5673,26.5684,0.7904,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,erc20_approve,1,2,12327,0,0,0.0446,0.6118,0.0014,0.1378,1.079,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,erc20_approve,1,2,12328,0,0,0.0142,0.5019,0.001,0.1043,0.7657,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,erc20_approve,1,2,12329,83880,2,17.8258,1.2945,13.6637,5.0309,37.9578,2.2098,11,0,0,0,3,0,0,0,1,87,5,6,45.45,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,erc20_approve,1,2,12330,16717040,1,22.8268,242.0492,184.377,63.27,512.6937,32.6063,8,729,2,1431,4,0,729,0,0,0,3,5,37.5,92,637,12.62,2,0,100,1431,0
ubt,bintrie,5,4,erc20_approve,1,2,12331,33395380,2,54.6916,494.7169,364.7977,121.5276,1035.9835,32.2354,8,1457,2,1431,4,0,1457,0,0,0,3,5,37.5,197,1260,13.52,2,0,100,1431,0
ubt,bintrie,5,4,erc20_approve,1,2,12332,33395380,2,53.2774,481.76,337.8636,133.2038,1006.4293,33.182,8,1457,2,1431,4,0,1457,0,0,0,0,8,0,150,1307,10.3,2,0,100,1431,0
ubt,bintrie,5,4,erc20_approve,1,2,12333,16036043,1,27.6016,258.8232,144.7698,60.5558,491.8982,32.6003,8,700,2,1431,4,0,700,0,0,0,3,5,37.5,50,650,7.14,2,0,100,1431,0
ubt,bintrie,5,4,erc20_approve,1,2,12334,21000,1,0.0631,1.8437,15.5344,1.1689,25.4835,0.8241,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,erc20_approve,1,3,12377,0,0,0.035,0.7556,0.0022,0.1592,1.1564,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,erc20_approve,1,3,12378,0,0,0.0254,0.8318,0.0014,0.1255,1.1002,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,erc20_approve,1,3,12379,83880,2,0.1524,23.2334,13.7791,5.9573,43.3055,1.9369,11,0,0,0,3,0,0,0,1,87,5,6,45.45,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,erc20_approve,1,3,12380,16717040,1,28.7709,245.7931,165.8126,73.7811,514.3395,32.502,8,729,2,1431,4,0,729,0,0,0,3,5,37.5,48,681,6.58,2,0,100,1431,0
ubt,bintrie,5,4,erc20_approve,1,3,12381,33395380,2,52.1215,487.2798,353.7331,149.0107,1042.4763,32.0347,8,1457,2,1431,4,0,1457,0,0,0,4,4,50,164,1293,11.26,2,0,100,1431,0
ubt,bintrie,5,4,erc20_approve,1,3,12382,33395380,2,51.3565,494.0919,323.8534,148.7932,1018.301,32.7952,8,1457,2,1431,4,0,1457,0,0,0,4,4,50,163,1294,11.19,2,0,100,1431,0
ubt,bintrie,5,4,erc20_approve,1,3,12383,16036043,1,28.3726,270.8038,142.2507,71.7092,513.3856,31.2359,8,700,2,1431,4,0,700,0,0,0,4,4,50,35,665,5,2,0,100,1431,0
ubt,bintrie,5,4,erc20_approve,1,3,12384,21000,1,0.0793,22.9941,9.3303,2.8134,35.4276,0.5928,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,erc20_approve,1,3,12240,0,0,0.0477,3.6235,0.0016,0.207,4.0435,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,erc20_approve,1,3,12241,0,0,0.023,0.5654,0.0027,0.1029,0.8478,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,erc20_approve,1,3,12242,83880,2,0.1112,9.0512,3.0761,4.9755,22.6554,3.7024,11,0,0,0,3,0,0,0,1,87,5,6,45.45,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,erc20_approve,1,3,12243,16717040,1,29.0967,259.3625,159.0098,66.7096,514.4264,32.4965,8,729,2,1431,4,0,729,0,0,0,1,7,12.5,58,671,7.96,2,0,100,1431,0
ubt,bintrie,5,4,erc20_approve,1,3,12244,33395380,2,50.1875,456.4164,321.2378,132.4152,960.7336,34.7603,8,1457,2,1431,4,0,1457,0,0,0,4,4,50,163,1294,11.19,2,0,100,1431,0
ubt,bintrie,5,4,erc20_approve,1,3,12245,33395380,2,55.0733,531.8522,305.0943,127.8299,1020.0566,32.7388,8,1457,2,1431,4,0,1457,0,0,0,4,4,50,157,1300,10.78,2,0,100,1431,0
ubt,bintrie,5,4,erc20_approve,1,3,12246,16036043,1,30.9446,260.6112,148.9921,63.3704,504.1479,31.8082,8,700,2,1431,4,0,700,0,0,0,4,4,50,26,674,3.71,2,0,100,1431,0
ubt,bintrie,5,4,erc20_approve,1,3,12247,21000,1,0.0767,2.7724,3.0211,0.6049,6.6323,3.1663,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,erc20_approve,1,3,12248,0,0,0.0225,2.465,0.0016,0.092,2.7307,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,erc20_approve,1,4,12385,0,0,0.0273,0.6604,0.0012,0.1659,1.0334,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,erc20_approve,1,4,12386,0,0,0.0201,0.5875,0.0011,0.0851,0.8148,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,erc20_approve,1,4,12387,83880,2,0.1316,17.3493,13.9725,5.1058,36.7095,2.285,11,0,0,0,3,0,0,0,1,87,5,6,45.45,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,erc20_approve,1,4,12388,16717040,1,27.0948,240.4986,160.785,70.7883,499.3474,33.4778,8,729,2,1431,4,0,729,0,0,0,4,4,50,51,678,7.0,2,0,100,1431,0
ubt,bintrie,5,4,erc20_approve,1,4,12389,33395380,2,56.1903,508.9495,352.5628,157.0303,1074.9745,31.0662,8,1457,2,1431,4,0,1457,0,0,0,4,4,50,170,1287,11.67,2,0,100,1431,0
ubt,bintrie,5,4,erc20_approve,1,4,12390,33395380,2,53.5775,485.8553,323.5252,156.286,1019.4295,32.7589,8,1457,2,1431,4,0,1457,0,0,0,4,4,50,161,1296,11.05,2,0,100,1431,0
ubt,bintrie,5,4,erc20_approve,1,4,12391,16036043,1,23.1857,250.593,175.7726,72.615,522.3967,30.6971,8,700,2,1431,4,0,700,0,0,0,3,5,37.5,38,662,5.43,2,0,100,1431,0
ubt,bintrie,5,4,erc20_approve,1,4,12392,21000,1,0.0693,4.2697,2.327,2.942,9.8053,2.1417,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,erc20_approve,1,4,12249,0,0,0.044,0.8862,0.0012,0.2046,1.324,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,erc20_approve,1,4,12250,0,0,0.0378,2.8241,0.0017,0.0955,3.1541,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,erc20_approve,1,4,12251,83880,2,0.1312,1.0526,12.6564,6.9427,20.9468,4.0044,11,0,0,0,3,0,0,0,1,87,5,6,45.45,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,erc20_approve,1,4,12252,16717040,1,31.0027,277.4093,164.7209,67.4903,540.7967,30.9119,8,729,2,1431,4,0,729,0,0,0,3,5,37.5,53,676,7.27,2,0,100,1431,0
ubt,bintrie,5,4,erc20_approve,1,4,12253,33395380,2,55.7592,501.5758,318.0051,135.7492,1011.4045,33.0188,8,1457,2,1431,4,0,1457,0,0,0,3,5,37.5,211,1246,14.48,2,0,100,1431,0
ubt,bintrie,5,4,erc20_approve,1,4,12254,33395380,2,55.7459,499.0077,307.2428,132.458,994.6318,33.5756,8,1457,2,1431,4,0,1457,0,0,0,4,4,50,190,1267,13.04,2,0,100,1431,0
ubt,bintrie,5,4,erc20_approve,1,4,12255,16036043,1,28.805,260.7364,140.6938,67.3011,497.7323,32.2182,8,700,2,1431,4,0,700,0,0,0,3,5,37.5,58,642,8.29,2,0,100,1431,0
ubt,bintrie,5,4,erc20_approve,1,4,12256,21000,1,0.079,13.3651,19.4276,0.5472,33.5903,0.6252,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,erc20_approve,1,5,12393,0,0,0.0354,0.6302,0.0009,0.2194,1.1827,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,erc20_approve,1,5,12394,0,0,0.0175,0.4958,0.0013,0.1222,0.7842,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,erc20_approve,1,5,12395,83880,2,0.1054,3.5337,23.23,6.9276,33.9627,2.4698,11,0,0,0,3,0,0,0,1,87,5,6,45.45,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,erc20_approve,1,5,12396,16717040,1,22.7935,244.7294,173.5025,71.6666,512.8517,32.5962,8,729,2,1431,4,0,729,0,0,0,1,7,12.5,76,653,10.43,2,0,100,1431,0
ubt,bintrie,5,4,erc20_approve,1,5,12397,33395380,2,55.2573,511.1255,316.2802,146.6455,1029.4902,32.4388,8,1457,2,1431,4,0,1457,0,0,0,4,4,50,178,1279,12.22,2,0,100,1431,0
ubt,bintrie,5,4,erc20_approve,1,5,12398,33395380,2,54.8371,500.2286,326.7288,157.5149,1039.5272,32.1255,8,1457,2,1431,4,0,1457,0,0,0,4,4,50,163,1294,11.19,2,0,100,1431,0
ubt,bintrie,5,4,erc20_approve,1,5,12399,16036043,1,27.8275,284.4476,174.5957,71.9617,559.018,28.6861,8,700,2,1431,4,0,700,0,0,0,4,4,50,44,656,6.29,2,0,100,1431,0
ubt,bintrie,5,4,erc20_approve,1,5,12400,21000,1,0.0582,2.9133,17.7744,2.8285,23.7309,0.8849,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,erc20_approve,1,5,12257,0,0,0.0402,2.8309,0.0018,0.1797,3.2577,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,erc20_approve,1,5,12258,0,0,0.0148,0.4298,0.0049,0.1321,0.7119,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,erc20_approve,1,5,12259,83880,2,0.1253,4.0715,14.9354,5.127,24.4748,3.4272,11,0,0,0,3,0,0,0,1,87,5,6,45.45,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,erc20_approve,1,5,12260,16717040,1,29.7904,244.6356,188.1885,73.8404,536.7217,31.1466,8,729,2,1431,4,0,729,0,0,0,3,5,37.5,50,679,6.86,2,0,100,1431,0
ubt,bintrie,5,4,erc20_approve,1,5,12261,33395380,2,50.8823,464.5279,301.8621,134.4141,951.8661,35.0841,8,1457,2,1431,4,0,1457,0,0,0,1,7,12.5,204,1253,14.0,2,0,100,1431,0
ubt,bintrie,5,4,erc20_approve,1,5,12262,33395380,2,52.3467,482.5473,297.4847,135.9549,968.6627,34.4758,8,1457,2,1431,4,0,1457,0,0,0,3,5,37.5,167,1290,11.46,2,0,100,1431,0
ubt,bintrie,5,4,erc20_approve,1,5,12263,16036043,1,24.5884,236.0031,153.6492,68.5332,482.9773,33.2025,8,700,2,1431,4,0,700,0,0,0,4,4,50,32,668,4.57,2,0,100,1431,0
ubt,bintrie,5,4,erc20_approve,1,5,12264,21000,1,0.0578,2.6373,2.2886,0.624,5.7541,3.6496,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,erc20_approve,1,6,12274,0,0,0.0443,1.926,0.0012,0.3175,2.5906,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,erc20_approve,1,6,12275,0,0,0.0192,0.4223,0.0015,0.1492,0.7441,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,erc20_approve,1,6,12276,83880,2,0.0931,1.0957,8.5295,11.511,23.775,3.5281,11,0,0,0,3,0,0,0,1,87,5,6,45.45,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,erc20_approve,1,6,12277,16717040,1,28.0516,252.4045,156.5973,66.6513,503.9046,33.175,8,729,2,1431,4,0,729,0,0,0,4,4,50,55,674,7.54,2,0,100,1431,0
ubt,bintrie,5,4,erc20_approve,1,6,12278,33395380,2,53.538,483.0781,345.941,131.1394,1014.1947,32.928,8,1457,2,1431,4,0,1457,0,0,0,3,5,37.5,165,1292,11.32,2,0,100,1431,0
ubt,bintrie,5,4,erc20_approve,1,6,12279,33395380,2,54.2647,523.1441,298.7739,136.7963,1013.299,32.9571,8,1457,2,1431,4,0,1457,0,0,0,3,5,37.5,172,1285,11.81,2,0,100,1431,0
ubt,bintrie,5,4,erc20_approve,1,6,12280,16036043,1,27.2907,246.032,139.3943,64.0008,476.9398,33.6228,8,700,2,1431,4,0,700,0,0,0,3,5,37.5,36,664,5.14,2,0,100,1431,0
ubt,bintrie,5,4,erc20_approve,1,6,12281,21000,1,0.2259,8.7559,2.2511,0.7405,12.219,1.7186,6,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,erc20_approve,1,6,12282,0,0,0.0271,2.5278,0.0016,0.106,2.8251,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,erc20_approve,1,6,12283,0,0,0.0561,4.2499,0.0021,0.2932,4.9899,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,erc20_approve,1,6,12284,0,0,0.0208,0.454,0.0013,0.1163,0.7399,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
