config,trie_type,group_depth,pebble_block_size_kb,benchmark,run,contract,block_number,gas_used,tx_count,execution_ms,state_read_ms,state_hash_ms,commit_ms,total_ms,mgas_per_sec,accounts_read,storage_slots_read,code_read,code_bytes_read,accounts_written,accounts_deleted,storage_slots_written,storage_slots_deleted,code_written,code_bytes_written,account_cache_hits,account_cache_misses,account_cache_hit_rate,storage_cache_hits,storage_cache_misses,storage_cache_hit_rate,code_cache_hits,code_cache_misses,code_cache_hit_rate,code_cache_hit_bytes,code_cache_miss_bytes
ubt,bintrie,5,4,mixed_sload_sstore,1,0,13776,0,0,0.0238,0.566,0.001,0.1529,0.9165,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,mixed_sload_sstore,1,0,13777,0,0,0.0199,0.52,0.0014,0.1093,0.7634,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,mixed_sload_sstore,1,0,13778,194520,7,0.2692,35.08,15.824,5.6714,56.9985,3.4127,26,1,0,0,8,0,0,0,1,170,19,7,73.08,0,1,0,0,0,0,0,0
ubt,bintrie,5,4,mixed_sload_sstore,1,0,13779,16669934,1,40.7678,268.0158,163.4149,62.6189,547.7074,30.4358,8,1266,2,1514,4,0,654,0,0,0,3,5,37.5,142,1124,11.22,2,0,100,1514,0
ubt,bintrie,5,4,mixed_sload_sstore,1,0,13780,33303896,2,87.2078,619.5566,305.4672,152.5315,1164.9662,28.5879,9,2532,2,1514,5,0,1307,0,0,0,5,4,55.56,326,2206,12.88,2,0,100,1514,0
ubt,bintrie,5,4,mixed_sload_sstore,1,0,13781,33303896,2,96.7827,626.8311,315.5242,158.0315,1197.3686,27.8142,9,2532,2,1514,5,0,1307,0,0,0,4,5,44.44,309,2223,12.2,2,0,100,1514,0
ubt,bintrie,5,4,mixed_sload_sstore,1,0,13782,15969413,1,40.8354,271.6822,139.2859,66.3349,518.3116,30.8104,8,1215,2,1514,4,0,627,0,0,0,4,4,50,92,1123,7.57,2,0,100,1514,0
ubt,bintrie,5,4,mixed_sload_sstore,1,0,13783,126000,6,0.109,3.1772,2.8669,2.8665,9.1888,13.7123,11,0,0,0,7,0,0,0,0,0,7,4,63.64,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,mixed_sload_sstore,1,0,13784,194520,7,0.1203,3.7086,27.2999,2.8286,34.116,5.7017,26,1,0,0,8,0,0,0,1,170,22,4,84.62,1,0,100,0,0,0,0,0
ubt,bintrie,5,4,mixed_sload_sstore,1,0,13785,33292186,2,131.4532,590.0808,252.3165,148.4402,1122.4761,29.6596,9,4694,2,1514,5,0,1013,0,0,0,5,4,55.56,590,4104,12.57,2,0,100,1514,0
ubt,bintrie,5,4,mixed_sload_sstore,1,0,13786,33275086,2,121.1336,607.483,248.0157,122.9414,1099.8745,30.2535,9,4694,2,1514,5,0,1013,0,0,0,4,5,44.44,511,4183,10.89,2,0,100,1514,0
ubt,bintrie,5,4,mixed_sload_sstore,1,0,13787,32618202,2,122.1238,716.1378,211.5679,107.9418,1157.9841,28.1681,9,4601,2,1514,5,0,993,0,0,0,5,4,55.56,395,4206,8.59,2,0,100,1514,0
