config,trie_type,group_depth,pebble_block_size_kb,benchmark,run,contract,block_number,gas_used,tx_count,execution_ms,state_read_ms,state_hash_ms,commit_ms,total_ms,mgas_per_sec,accounts_read,storage_slots_read,code_read,code_bytes_read,accounts_written,accounts_deleted,storage_slots_written,storage_slots_deleted,code_written,code_bytes_written,account_cache_hits,account_cache_misses,account_cache_hit_rate,storage_cache_hits,storage_cache_misses,storage_cache_hit_rate,code_cache_hits,code_cache_misses,code_cache_hit_rate,code_cache_hit_bytes,code_cache_miss_bytes
ubt,bintrie,5,4,storage_mixed_k100,10,,10635,0,0,0.0654,15.8172,0.0032,0.4814,16.6445,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k100,10,,10636,0,0,0.0222,0.7612,0.0018,0.8372,2.0125,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k100,10,,10637,0,0,0.0389,17.9104,0.003,0.1732,18.3173,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k100,10,,10638,0,0,0.0533,36.0104,0.0023,0.1734,36.6743,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k100,10,,10639,91722,2,0.1836,0.964,14.0541,5.0299,20.4448,4.4863,11,0,0,0,3,0,0,0,1,305,4,7,36.36,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k100,10,,10640,15913624,1,147.5979,23.4409,5.6276,3.2786,180.6259,88.1027,107,2161,101,3105,5,0,209,0,0,0,58,49,54.21,1333,828,61.68,101,0,100,3105,0
ubt,bintrie,5,4,storage_mixed_k100,10,,10641,21000,1,3.6715,24.7341,7.045,0.5752,36.2384,0.5795,6,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k100,11,,10643,0,0,0.0324,5.6962,0.0021,0.1851,6.1812,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k100,11,,10644,0,0,0.0446,17.4016,0.0026,0.1333,17.8445,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k100,11,,10645,0,0,0.0339,4.8919,0.0031,0.1671,5.3321,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k100,11,,10646,0,0,0.0322,37.7366,0.0023,0.192,38.2452,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k100,11,,10647,91722,2,0.1377,3.1664,4.8015,5.2856,13.5729,6.7578,11,0,0,0,3,0,0,0,1,305,5,6,45.45,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k100,11,,10648,15913624,1,138.6483,22.1226,46.941,1.8204,211.3333,75.3011,107,2161,101,3105,5,0,209,0,0,0,16,91,14.95,555,1606,25.68,101,0,100,3105,0
ubt,bintrie,5,4,storage_mixed_k100,11,,10649,21000,1,0.0555,2.5994,2.341,0.6273,5.801,3.6201,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k100,12,,10650,0,0,0.076,0.9028,0.0018,0.2614,1.7347,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k100,12,,10651,0,0,0.0191,0.8145,0.0013,0.5931,1.7734,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k100,12,,10652,0,0,0.0271,2.7016,0.0016,0.1346,3.0418,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k100,12,,10653,0,0,0.0446,44.1481,0.0027,0.165,44.5619,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k100,12,,10654,91722,2,0.1349,3.4968,3.6984,5.4959,15.014,6.1091,11,0,0,0,3,0,0,0,1,305,4,7,36.36,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k100,12,,10655,15913624,1,143.9166,24.6582,4.5202,1.827,194.7508,81.7127,107,2161,101,3105,5,0,209,0,0,0,14,93,13.08,666,1495,30.82,101,0,100,3105,0
ubt,bintrie,5,4,storage_mixed_k100,12,,10656,21000,1,0.0577,2.4866,2.3144,0.5522,5.5569,3.7791,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k100,13,,10657,0,0,0.0287,0.878,0.0021,3.174,4.8467,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k100,13,,10658,0,0,0.0234,0.9318,0.0024,1.6985,3.397,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k100,13,,10659,0,0,0.0392,7.304,0.0019,0.1354,7.6854,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k100,13,,10660,0,0,0.0447,37.3544,0.0021,0.1728,39.2801,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k100,13,,10661,91722,2,0.1055,2.9406,2.6257,5.3429,11.221,8.1741,11,0,0,0,3,0,0,0,1,305,5,6,45.45,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k100,13,,10662,15913624,1,149.4253,20.3035,3.8378,1.783,175.7185,90.5632,107,2161,101,3105,5,0,209,0,0,0,11,96,10.28,46,2115,2.13,101,0,100,3105,0
ubt,bintrie,5,4,storage_mixed_k100,13,,10663,21000,1,0.0572,2.5097,12.7307,0.5435,18.6524,1.1259,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k100,14,,10664,0,0,0.0259,0.6398,0.0024,0.2976,4.0008,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k100,14,,10665,0,0,0.0325,0.8025,0.0016,0.8278,2.2796,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
