config,trie_type,group_depth,pebble_block_size_kb,benchmark,run,contract,block_number,gas_used,tx_count,execution_ms,state_read_ms,state_hash_ms,commit_ms,total_ms,mgas_per_sec,accounts_read,storage_slots_read,code_read,code_bytes_read,accounts_written,accounts_deleted,storage_slots_written,storage_slots_deleted,code_written,code_bytes_written,account_cache_hits,account_cache_misses,account_cache_hit_rate,storage_cache_hits,storage_cache_misses,storage_cache_hit_rate,code_cache_hits,code_cache_misses,code_cache_hit_rate,code_cache_hit_bytes,code_cache_miss_bytes
ubt,bintrie,5,4,storage_sload_k10,10,,5034,0,0,0.0755,5.1453,0.0033,0.2898,5.9008,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,10,,5035,0,0,0.0765,19.1171,0.0024,0.2198,19.6488,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,10,,5036,0,0,0.084,11.1476,0.0028,0.1374,12.3992,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,10,,5037,86852,2,0.1149,20.8602,15.0656,5.3791,41.57,2.0893,11,0,0,0,3,0,0,0,1,157,6,5,54.55,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,10,,5038,5900140,1,139.0581,22.9697,5.9393,1.3348,181.3863,32.528,17,258,11,437,2,0,0,0,0,0,4,13,23.53,29,229,11.24,11,0,100,437,0
ubt,bintrie,5,4,storage_sload_k10,10,,5039,21000,1,0.0805,11.0555,9.5571,6.845,27.7457,0.7569,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,11,,5041,0,0,0.0715,3.7386,0.0024,0.3817,4.5673,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,11,,5042,0,0,0.0586,24.6253,0.003,0.1821,25.0664,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,11,,5043,0,0,0.0378,5.1303,0.009,0.3021,8.317,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,11,,5044,86852,2,0.521,19.656,14.3837,4.9153,39.7704,2.1838,11,0,0,0,3,0,0,0,1,157,4,7,36.36,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,11,,5045,5900140,1,113.9554,26.3265,11.9023,2.4314,155.0669,38.049,17,258,11,437,2,0,0,0,0,0,7,10,41.18,82,176,31.78,11,0,100,437,0
ubt,bintrie,5,4,storage_sload_k10,11,,5046,21000,1,1.9153,8.2901,21.0529,0.5999,32.0533,0.6552,6,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,12,,5048,0,0,0.0477,5.1739,0.0025,0.2413,5.6828,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,12,,5049,0,0,0.0504,17.5449,0.0027,0.4822,18.2843,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,12,,5050,0,0,0.0526,8.8126,0.0032,0.1678,9.238,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,12,,5051,86852,2,0.1274,16.6948,11.2313,5.0545,33.3052,2.6078,11,0,0,0,3,0,0,0,1,157,5,6,45.45,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,12,,5052,5900140,1,117.5858,27.4534,6.8483,1.1055,153.2573,38.4983,17,258,11,437,2,0,0,0,0,0,5,12,29.41,85,173,32.95,11,0,100,437,0
ubt,bintrie,5,4,storage_sload_k10,12,,5053,21000,1,0.1119,5.544,14.168,0.5728,20.6569,1.0166,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,13,,5054,0,0,0.555,6.5546,0.0019,0.2513,7.6437,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,13,,5055,0,0,0.029,20.7523,0.0024,0.1099,21.0676,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,13,,5056,0,0,0.0575,19.9689,0.0024,0.3751,21.4542,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,13,,5057,86852,2,0.1372,17.6817,4.5841,5.0462,27.698,3.1357,11,0,0,0,3,0,0,0,1,157,6,5,54.55,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,13,,5058,5900140,1,159.7724,23.6695,9.1786,0.9837,193.9912,30.4145,17,258,11,437,2,0,0,0,0,0,8,9,47.06,125,133,48.45,11,0,100,437,0
ubt,bintrie,5,4,storage_sload_k10,13,,5059,21000,1,0.0918,3.9729,10.7458,0.7642,15.7608,1.3324,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,14,,5061,0,0,0.0467,8.0097,0.0027,0.2602,8.5375,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,14,,5062,0,0,0.035,22.1451,0.0023,0.1399,22.498,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,14,,5063,0,0,0.0565,22.641,0.0031,0.1464,23.0492,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,14,,5064,86852,2,0.258,18.6812,7.9795,4.9683,32.0672,2.7084,11,0,0,0,3,0,0,0,1,157,5,6,45.45,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,14,,5065,5900140,1,115.9693,25.4241,8.0809,1.3018,150.9535,39.0858,17,258,11,437,2,0,0,0,0,0,7,10,41.18,61,197,23.64,11,0,100,437,0
ubt,bintrie,5,4,storage_sload_k10,14,,5066,21000,1,0.0854,6.997,15.5033,0.7072,23.5227,0.8928,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,15,,5067,0,0,0.9918,9.866,0.003,0.4785,11.7088,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,15,,5068,0,0,0.0257,15.2799,0.0024,0.1097,15.5464,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,15,,5069,0,0,0.0405,10.3117,0.0025,0.2241,10.7764,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,15,,5070,86852,2,0.1122,17.6179,3.761,6.1633,27.8747,3.1158,11,0,0,0,3,0,0,0,1,157,7,4,63.64,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,15,,5071,5900140,1,107.3402,29.3689,4.7019,0.8513,142.59,41.3784,17,258,11,437,2,0,0,0,0,0,5,12,29.41,78,180,30.23,11,0,100,437,0
ubt,bintrie,5,4,storage_sload_k10,15,,5072,21000,1,0.0752,11.3161,12.707,0.8812,26.5515,0.7909,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,16,,5074,0,0,0.0648,6.5557,0.0082,0.3704,7.2324,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,16,,5075,0,0,0.0418,16.7884,0.0028,0.1462,17.1679,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,16,,5076,0,0,0.2044,4.0929,0.0022,0.4304,5.3404,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,16,,5077,86852,2,0.2042,22.5635,3.5349,10.8187,37.3219,2.3271,11,0,0,0,3,0,0,0,1,157,6,5,54.55,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,16,,5078,5900140,1,109.6239,24.0584,5.3342,1.4333,146.1802,40.3621,17,258,11,437,2,0,0,0,0,0,6,11,35.29,66,192,25.58,11,0,100,437,0
ubt,bintrie,5,4,storage_sload_k10,16,,5079,21000,1,0.0919,20.1328,3.4058,0.7676,24.7605,0.8481,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,16,,5080,0,0,0.0495,17.0346,0.0066,0.1309,17.4606,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,17,,5081,0,0,0.0493,8.0339,0.0022,0.3081,8.6055,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,17,,5082,0,0,0.0408,3.6589,0.0023,0.1475,4.0208,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,17,,5083,0,0,0.0406,16.1986,0.0033,0.2107,18.3975,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,17,,5084,86852,2,0.0994,23.8767,8.5634,5.0773,37.7841,2.2986,11,0,0,0,3,0,0,0,1,157,7,4,63.64,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,17,,5085,5900140,1,118.0144,25.9935,6.3836,0.9668,151.7611,38.8778,17,258,11,437,2,0,0,0,0,0,4,13,23.53,20,238,7.75,11,0,100,437,0
ubt,bintrie,5,4,storage_sload_k10,17,,5086,21000,1,0.1567,5.1462,18.7108,0.6255,24.8006,0.8468,6,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,18,,5088,0,0,0.3356,3.2762,0.0021,0.2137,4.545,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,18,,5089,0,0,0.0426,18.4947,0.0026,0.0978,18.7762,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,18,,5090,0,0,0.0394,6.2455,0.0031,0.2444,6.7251,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,18,,5091,86852,2,0.0982,5.2075,11.4154,6.4686,29.821,2.9124,11,0,0,0,3,0,0,0,1,157,7,4,63.64,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,18,,5092,5900140,1,113.6895,26.7581,9.8566,1.1341,151.8817,38.847,17,258,11,437,2,0,0,0,0,0,5,12,29.41,49,209,18.99,11,0,100,437,0
ubt,bintrie,5,4,storage_sload_k10,18,,5093,21000,1,1.4188,2.89,21.5681,0.5329,26.617,0.789,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,19,,5094,0,0,0.0349,9.4386,0.0019,0.1977,9.8903,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,19,,5095,0,0,0.0264,15.6133,0.0016,0.0987,15.887,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,19,,5096,0,0,0.0306,13.7771,0.0018,0.096,14.0591,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,19,,5097,86852,2,0.3415,15.782,14.698,4.1377,35.1957,2.4677,11,0,0,0,3,0,0,0,1,157,4,7,36.36,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,19,,5098,5900140,1,124.7551,24.9008,11.6156,0.8603,162.5227,36.3035,17,258,11,437,2,0,0,0,0,0,4,13,23.53,18,240,6.98,11,0,100,437,0
ubt,bintrie,5,4,storage_sload_k10,19,,5099,21000,1,1.1203,13.5447,13.0852,0.8701,28.8727,0.7273,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,1,,4972,0,0,0.0539,4.1031,0.0019,0.4033,4.8289,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,1,,4973,0,0,0.0345,26.8996,0.0029,0.171,27.3124,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,1,,4974,0,0,0.3492,16.9032,0.0025,0.21,18.2525,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,1,,4975,86852,2,0.187,22.3545,5.3218,5.5423,38.0855,2.2804,11,0,0,0,3,0,0,0,1,157,5,6,45.45,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,1,,4976,5900140,1,125.2589,21.697,2.8634,0.9321,151.0929,39.0498,17,258,11,437,2,0,0,0,0,0,5,12,29.41,10,248,3.88,11,0,100,437,0
ubt,bintrie,5,4,storage_sload_k10,1,,4977,21000,1,0.0705,9.3891,8.7151,0.521,18.9298,1.1094,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,20,,5100,0,0,0.0424,6.5438,0.0022,0.2844,7.0552,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sload_k10,20,,5101,0,0,0.0392,6.3258,0.0026,0.2436,6.8198,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
