config,trie_type,group_depth,pebble_block_size_kb,benchmark,run,contract,block_number,gas_used,tx_count,execution_ms,state_read_ms,state_hash_ms,commit_ms,total_ms,mgas_per_sec,accounts_read,storage_slots_read,code_read,code_bytes_read,accounts_written,accounts_deleted,storage_slots_written,storage_slots_deleted,code_written,code_bytes_written,account_cache_hits,account_cache_misses,account_cache_hit_rate,storage_cache_hits,storage_cache_misses,storage_cache_hit_rate,code_cache_hits,code_cache_misses,code_cache_hit_rate,code_cache_hit_bytes,code_cache_miss_bytes
ubt,bintrie,5,4,storage_sstore_k400,10,,10046,0,0,0.0451,0.6348,0.0013,0.1966,1.1653,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k400,10,,10047,0,0,0.0248,5.0961,0.0015,0.17,5.4122,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k400,10,,10048,0,0,0.0361,24.3216,0.0024,0.1357,24.757,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k400,10,,10049,0,0,0.0302,4.051,0.0027,0.1668,4.4747,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k400,10,,10050,86938,2,0.1757,4.7433,7.2643,5.1157,21.365,4.0692,11,0,0,0,3,0,0,0,1,165,4,7,36.36,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k400,10,,10051,15913190,1,10.7579,48.4838,58.1033,33.5583,151.1046,105.3124,337,630,331,9405,331,0,628,0,0,0,303,34,89.91,550,80,87.3,331,0,100,9405,0
ubt,bintrie,5,4,storage_sstore_k400,10,,10052,21000,1,0.0863,26.0843,9.9259,0.6153,36.9612,0.5682,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k400,10,,10053,0,0,0.0312,2.4695,0.0022,0.1019,2.7476,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k400,11,,10054,0,0,0.0483,30.2045,0.0032,0.2658,30.7483,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k400,11,,10055,0,0,0.0228,5.3113,0.0016,0.1832,5.6604,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k400,11,,10056,0,0,0.0213,2.7124,0.0013,0.1092,2.9687,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k400,11,,10057,86938,2,0.0884,3.0032,0.7313,6.7118,10.7034,8.1225,11,0,0,0,3,0,0,0,1,165,6,5,54.55,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k400,11,,10058,15913190,1,10.7724,36.7722,88.881,19.2504,157.7747,100.8602,337,630,331,9405,331,0,628,0,0,0,105,232,31.16,116,514,18.41,331,0,100,9405,0
ubt,bintrie,5,4,storage_sstore_k400,11,,10059,21000,1,0.0578,68.1324,2.2056,0.5697,71.1769,0.295,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k400,12,,10060,0,0,0.0537,20.6398,0.0036,0.3759,21.4859,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k400,12,,10061,0,0,0.0254,0.9221,0.0015,0.4632,1.7745,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k400,12,,10062,0,0,0.0462,59.4292,0.0029,0.1617,59.8447,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k400,12,,10063,0,0,0.0266,3.7129,0.0015,0.2359,4.096,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k400,12,,10064,86938,2,0.2935,18.6363,10.8405,5.458,35.3934,2.4563,11,0,0,0,3,0,0,0,1,165,4,7,36.36,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k400,12,,10065,15913190,1,11.0436,37.2363,79.8462,18.9908,147.3839,107.971,337,630,331,9405,331,0,628,0,0,0,152,185,45.1,218,412,34.6,331,0,100,9405,0
ubt,bintrie,5,4,storage_sstore_k400,12,,10066,21000,1,0.06,3.7537,58.649,0.8161,67.3333,0.3119,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k400,13,,10067,0,0,0.1419,1.0367,0.0014,0.213,1.7721,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k400,13,,10068,0,0,0.0282,1.7783,0.002,0.1377,3.2074,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k400,13,,10069,0,0,0.0313,2.6288,0.0016,0.1326,2.9529,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k400,13,,10070,0,0,0.0523,27.298,0.003,0.2166,27.8454,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k400,13,,10071,86938,2,0.3459,20.1947,2.2958,4.7855,27.8187,3.1252,11,0,0,0,3,0,0,0,1,165,4,7,36.36,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k400,13,,10072,15913190,1,9.0734,30.5213,87.7994,19.0767,146.7958,108.4036,337,630,331,9405,331,0,628,0,0,0,89,248,26.41,126,504,20,331,0,100,9405,0
ubt,bintrie,5,4,storage_sstore_k400,13,,10073,21000,1,0.0563,3.6339,3.7896,0.8618,11.5675,1.8154,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k400,13,,10074,0,0,0.04,2.4795,0.0019,0.1015,2.8438,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k400,14,,10075,0,0,0.0708,19.9705,0.0028,0.3745,20.7072,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k400,14,,10076,0,0,0.0356,2.5786,0.002,0.1576,3.3387,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k400,14,,10077,0,0,0.035,7.5715,0.0019,0.2075,7.9672,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k400,14,,10078,0,0,0.0289,2.2788,0.003,3.5261,8.78,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k400,14,,10079,86938,2,0.3816,17.6395,2.9957,5.9622,27.2139,3.1946,11,0,0,0,3,0,0,0,1,165,4,7,36.36,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k400,14,,10080,15913190,1,11.2758,46.9959,56.4421,31.6333,146.6529,108.5092,337,630,331,9405,331,0,628,0,0,0,246,91,73.0,434,196,68.89,331,0,100,9405,0
ubt,bintrie,5,4,storage_sstore_k400,14,,10081,21000,1,0.2112,36.9268,2.2801,0.6447,40.281,0.5213,6,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k400,14,,10082,0,0,0.0353,0.7666,0.0013,1.2864,2.3986,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k400,15,,10083,0,0,0.0354,36.1123,0.0029,0.2026,36.5073,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k400,15,,10084,0,0,0.0346,0.7474,0.0018,0.1275,1.1806,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k400,15,,10085,0,0,0.0474,37.4878,0.0166,0.2018,38.1807,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k400,15,,10086,86938,2,0.3851,13.9178,16.5801,4.97,36.0601,2.4109,11,0,0,0,3,0,0,0,1,165,4,7,36.36,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k400,15,,10087,15913190,1,8.489,31.8674,94.8541,18.7657,155.188,102.5413,337,630,331,9405,331,0,628,0,0,0,245,92,72.7,423,207,67.14,331,0,100,9405,0
ubt,bintrie,5,4,storage_sstore_k400,15,,10088,21000,1,0.0665,3.4183,34.6814,0.6598,41.9483,0.5006,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k400,16,,10089,0,0,0.0457,19.0119,0.0018,0.1901,19.4604,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k400,16,,10090,0,0,0.0308,2.418,0.0015,0.1739,2.8362,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k400,16,,10091,0,0,0.0419,53.6652,0.0026,0.1419,54.0411,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k400,16,,10092,0,0,0.0347,0.8153,0.0017,0.3716,1.7736,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k400,16,,10093,86938,2,0.2871,16.3833,16.243,5.3247,39.0424,2.2268,11,0,0,0,3,0,0,0,1,165,4,7,36.36,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k400,16,,10094,15913190,1,8.8969,32.8692,82.9476,19.4587,144.6002,110.0496,337,630,331,9405,331,0,628,0,0,0,158,179,46.88,255,375,40.48,331,0,100,9405,0
ubt,bintrie,5,4,storage_sstore_k400,16,,10095,21000,1,0.081,5.4292,3.4454,0.6737,11.1851,1.8775,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k400,16,,10096,0,0,0.0207,2.3961,0.0015,0.1047,2.6771,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k400,17,,10097,0,0,0.0861,31.4736,0.0031,0.3338,32.2088,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k400,17,,10098,0,0,0.0308,0.8099,0.0013,0.6026,1.7463,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k400,17,,10099,0,0,0.0376,72.2289,0.0035,0.1404,72.5764,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k400,17,,10100,0,0,0.0271,13.0376,0.0036,0.4553,14.3332,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k400,17,,10101,86938,2,0.1468,20.1733,0.7947,6.234,27.56,3.1545,11,0,0,0,3,0,0,0,1,165,5,6,45.45,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k400,17,,10102,15913190,1,11.087,35.8272,74.6658,18.9541,140.6859,113.1115,337,630,331,9405,331,0,628,0,0,0,136,201,40.36,218,412,34.6,331,0,100,9405,0
ubt,bintrie,5,4,storage_sstore_k400,17,,10103,21000,1,0.0687,2.7496,6.3347,0.7472,10.1285,2.0734,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k400,17,,10104,0,0,0.0231,2.3064,0.0017,0.1232,2.6264,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k400,18,,10105,0,0,0.0464,32.1088,0.0021,0.2093,32.5692,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k400,18,,10106,0,0,0.0433,0.7783,0.0021,0.1903,1.2346,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k400,18,,10107,0,0,0.0443,76.6089,0.0051,0.1052,77.2415,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k400,18,,10108,0,0,0.0466,19.3273,0.0028,0.2036,19.8427,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k400,18,,10109,86938,2,0.4322,17.0437,0.7025,5.1923,37.3653,2.3267,11,0,0,0,3,0,0,0,1,165,4,7,36.36,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_sstore_k400,18,,10110,15913190,1,9.0107,31.8237,80.9111,22.3061,144.3757,110.2207,337,630,331,9405,331,0,628,0,0,0,136,201,40.36,191,439,30.32,331,0,100,9405,0
