time="2026-05-27T09:30:19Z" level=info msg="starting spamoor" buildtime="2026-05-15T09:05:13Z" version=git-dc60b60
time="2026-05-27T09:30:19Z" level=info msg="initialized client pool with 1 clients (chain id: 1337)" module=clientpool
time="2026-05-27T09:30:19Z" level=info msg="client check completed (1 good clients, 0 bad clients)" module=clientpool
time="2026-05-27T09:30:19Z" level=info msg="initialized block stats from latest block: gasLimit=100000000 baseFee=7 amsterdam=false"
time="2026-05-27T09:30:19Z" level=info msg="initialized root wallet (addr: 0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266 balance: 999998994 ETH, nonce: 10)"
time="2026-05-27T09:30:19Z" level=info msg="initialized 200 wallets for parallel execution" scenario=erc20_bloater
time="2026-05-27T09:30:19Z" level=info msg="processed block 1427:  0 total tx, 0 tx confirmed from 0 wallets (4.133137ms, 4.422133ms)"
time="2026-05-27T09:30:21Z" level=info msg="funding child wallets... (0/1)" module=walletpool
time="2026-05-27T09:30:22Z" level=info msg="processed block 1428:  0 total tx, 0 tx confirmed from 0 wallets (578.282µs, 1.774µs)"
time="2026-05-27T09:30:22Z" level=info msg="processed block 1429:  2 total tx, 2 tx confirmed from 1 wallets (1.669906ms, 344.003µs)"
time="2026-05-27T09:30:22Z" level=debug msg="initialized child wallet    0 (addr: 0xA9d323ec5778Ac471Dc3556b0BC6BdcD4620FE9F, balance: 5 ETH, nonce: 0)" module=walletpool
time="2026-05-27T09:30:22Z" level=debug msg="initialized child wallet    1 (addr: 0x026eceD097084eFb01Eb1DA1596138430345b6fC, balance: 5 ETH, nonce: 0)" module=walletpool
time="2026-05-27T09:30:22Z" level=debug msg="initialized child wallet    2 (addr: 0x8E829174F255cBa1B80B1d34770369bEb0DA2298, balance: 5 ETH, nonce: 0)" module=walletpool
time="2026-05-27T09:30:22Z" level=debug msg="initialized child wallet    3 (addr: 0xD478416ED3dd2A8B682C6fAd391f0e9a5EedCfB8, balance: 5 ETH, nonce: 0)" module=walletpool
time="2026-05-27T09:30:22Z" level=debug msg="initialized child wallet    4 (addr: 0x17AF4af03Fb924497a5de46a6aDFEd589ee69c5c, balance: 5 ETH, nonce: 0)" module=walletpool
time="2026-05-27T09:30:22Z" level=debug msg="initialized child wallet    5 (addr: 0xee7D255fF8a9d5aA36b0e5b92EE93289914dfa02, balance: 5 ETH, nonce: 0)" module=walletpool
time="2026-05-27T09:30:22Z" level=debug msg="initialized child wallet    6 (addr: 0x4346904C9665cE84Ded76BAd6706379bb0e1cd4A, balance: 5 ETH, nonce: 0)" module=walletpool
time="2026-05-27T09:30:22Z" level=debug msg="initialized child wallet    7 (addr: 0x51ECa4B09Fd326d73b9fF6366Deb48A86B26ECB5, balance: 5 ETH, nonce: 0)" module=walletpool
time="2026-05-27T09:30:22Z" level=debug msg="initialized child wallet    8 (addr: 0x7b8bB007842A94D53E553188aB1237d6e0c0cB13, balance: 5 ETH, nonce: 0)" module=walletpool
time="2026-05-27T09:30:22Z" level=debug msg="initialized child wallet    9 (addr: 0xCee6536C249BC74137B2d1B7B6d14626829155ea, balance: 5 ETH, nonce: 0)" module=walletpool
time="2026-05-27T09:30:22Z" level=debug msg="initialized child wallet   10 (addr: 0x7e9c5B1340D14a83b6d2EF51C8Ebe6DE1d11e001, balance: 5 ETH, nonce: 0)" module=walletpool
