time="2026-05-27T13:36:29Z" level=info msg="starting spamoor" buildtime="2026-05-15T09:05:13Z" version=git-dc60b60
time="2026-05-27T13:36:29Z" level=info msg="initialized client pool with 1 clients (chain id: 1337)" module=clientpool
time="2026-05-27T13:36:29Z" level=info msg="client check completed (1 good clients, 0 bad clients)" module=clientpool
time="2026-05-27T13:36:29Z" level=info msg="initialized block stats from latest block: gasLimit=100000000 baseFee=11 amsterdam=false"
time="2026-05-27T13:36:29Z" level=info msg="initialized root wallet (addr: 0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266 balance: 999993995 ETH, nonce: 36)"
time="2026-05-27T13:36:29Z" level=info msg="initialized 200 wallets for parallel execution" scenario=erc20_bloater
time="2026-05-27T13:36:30Z" level=info msg="funding child wallets... (0/1)" module=walletpool
time="2026-05-27T13:36:32Z" level=info msg="processed block 6784:  0 total tx, 0 tx confirmed from 0 wallets (543.413µs, 2.79µs)"
time="2026-05-27T13:36:32Z" level=info msg="processed block 6785:  2 total tx, 2 tx confirmed from 1 wallets (926.21µs, 262.389µs)"
time="2026-05-27T13:36:32Z" level=debug msg="initialized child wallet    0 (addr: 0x2f6e7Da09E5Ec56cD2E69F1bef2f8C2677c5a850, balance: 5 ETH, nonce: 0)" module=walletpool
time="2026-05-27T13:36:32Z" level=debug msg="initialized child wallet    1 (addr: 0x007712bD0F71E2B00Bc1033862F3De70E2D5bd60, balance: 5 ETH, nonce: 0)" module=walletpool
time="2026-05-27T13:36:32Z" level=debug msg="initialized child wallet    2 (addr: 0x72622D05A9741DF2eb5f0e77eff8679FE3f09550, balance: 5 ETH, nonce: 0)" module=walletpool
time="2026-05-27T13:36:32Z" level=debug msg="initialized child wallet    3 (addr: 0x60C496bCaA54D9444EFE5592e0169cF05Ae3ecf3, balance: 5 ETH, nonce: 0)" module=walletpool
time="2026-05-27T13:36:32Z" level=debug msg="initialized child wallet    4 (addr: 0xcBBAcBC26016994099176F2b91E09959864cfF4e, balance: 5 ETH, nonce: 0)" module=walletpool
time="2026-05-27T13:36:32Z" level=debug msg="initialized child wallet    5 (addr: 0x29c4994CC2D15737D2b8E851BD1600dbDFed998f, balance: 5 ETH, nonce: 0)" module=walletpool
time="2026-05-27T13:36:32Z" level=debug msg="initialized child wallet    6 (addr: 0x82a25f068E53727B95f865838f53aa8E34B6A17c, balance: 5 ETH, nonce: 0)" module=walletpool
time="2026-05-27T13:36:32Z" level=debug msg="initialized child wallet    7 (addr: 0x4bE1D667da97e5828C85ED157cCD0D161eD7CC9f, balance: 5 ETH, nonce: 0)" module=walletpool
time="2026-05-27T13:36:32Z" level=debug msg="initialized child wallet    8 (addr: 0xF4014a690326fB3d8a5c808529133DB8b7934F97, balance: 5 ETH, nonce: 0)" module=walletpool
time="2026-05-27T13:36:32Z" level=debug msg="initialized child wallet    9 (addr: 0x907a7DF74610031706cb507cAC0cE563b074599c, balance: 5 ETH, nonce: 0)" module=walletpool
