config,trie_type,group_depth,pebble_block_size_kb,benchmark,run,contract,block_number,gas_used,tx_count,execution_ms,state_read_ms,state_hash_ms,commit_ms,total_ms,mgas_per_sec,accounts_read,storage_slots_read,code_read,code_bytes_read,accounts_written,accounts_deleted,storage_slots_written,storage_slots_deleted,code_written,code_bytes_written,account_cache_hits,account_cache_misses,account_cache_hit_rate,storage_cache_hits,storage_cache_misses,storage_cache_hit_rate,code_cache_hits,code_cache_misses,code_cache_hit_rate,code_cache_hit_bytes,code_cache_miss_bytes
ubt,bintrie,5,4,storage_mixed_k1,10,,2808,0,0,0.075,26.0679,0.0029,0.1977,28.1518,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k1,10,,2809,0,0,0.0254,0.5495,0.0012,0.1132,0.8723,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k1,10,,2810,0,0,0.0357,3.7123,0.0013,0.1396,4.097,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k1,10,,2811,0,0,0.029,2.9278,0.0052,0.1282,3.2847,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k1,10,,2812,0,0,0.0565,29.9734,0.0027,0.2844,30.7301,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k1,10,,2813,0,0,0.0214,2.4896,0.001,0.1085,2.8422,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k1,10,,2814,0,0,0.0492,25.014,0.0025,0.1606,25.456,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k1,10,,2815,0,0,0.0265,2.5945,0.0016,0.1371,2.9117,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k1,10,,2816,0,0,0.0391,0.7406,0.0013,0.1564,1.1563,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k1,10,,2817,0,0,0.0225,2.3998,0.0012,0.1079,2.6574,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k1,10,,2818,0,0,0.049,41.2655,0.0027,0.157,41.6821,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k1,10,,2819,0,0,0.0278,4.7684,0.0018,0.1463,5.124,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k1,10,,2820,91730,2,0.1363,45.6151,2.61,10.0785,58.6734,1.5634,11,0,0,0,3,0,0,0,1,304,6,5,54.55,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k1,10,,2821,99912333,1,734.1379,119.7799,11.828,13.1383,879.1967,113.6405,8,11129,2,332,3,0,1712,0,0,0,0,8,0,3012,8117,27.06,2,0,100,332,0
ubt,bintrie,5,4,storage_mixed_k1,10,,2822,21000,1,0.0781,35.3601,0.3379,0.8604,36.849,0.5699,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k1,10,,2823,0,0,0.0268,2.9014,0.0018,0.1594,3.2895,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k1,1,,2664,0,0,0.0283,0.8498,0.0017,0.207,1.7432,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k1,1,,2665,0,0,0.0241,0.5636,0.0013,0.1051,0.8434,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k1,1,,2666,0,0,0.0663,26.7775,0.0023,0.3499,27.7276,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k1,1,,2667,0,0,0.019,2.6163,0.0018,0.126,2.9066,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ubt,bintrie,5,4,storage_mixed_k1,1,,2668,0,0,0.0374,0.7483,0.0013,0.1619,1.2111,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
