metric,ubt,pbt,pbt_over_ubt,pbt_minus_ubt,log_ratio
system_cpu_syswait,108.0,19.0,0.17592592592592593,-89.0,-1.7376922479577792
system_cpu_procload,88.0,176.0,2.0,88.0,0.6931471805599453
system_cpu_sysload,91.0,168.0,1.8461538461538463,77.0,0.6131044728864089
system_memory_held,12283146152.0,21079765744.0,1.7161536208349757,8796619592.0,0.5400855196899637
system_memory_used,6928842256.0,10564941984.0,1.5247773861284453,3636099728.0,0.4218484230945803
system_memory_objects,6777294440.0,10236528048.0,1.5104151278397164,3459233608.0,0.41238453214265214
"system_memory_pauses{quantile=""0.95""}",196608.0,229376.0,1.1666666666666667,32768.0,0.15415067982725836
"system_cpu_schedlatency{quantile=""0.99""}",262144.0,229376.0,0.875,-32768.0,-0.13353139262452263
system_memory_pauses_count,5356.0,4784.0,0.8932038834951457,-572.0,-0.1129404111805954
system_cpu_goroutines,21.0,19.0,0.9047619047619048,-2.0,-0.10008345855698253
system_cpu_syswait_total,154629.33,170145.0,1.100341054313564,15515.670000000013,0.09562018112491723
system_memory_frees,4129900563128.0,3792249389264.0,0.9182422993719098,-337651173864.0,-0.08529398051745958
system_memory_allocs,4136677857568.0,3802485917312.0,0.9192124811835178,-334191940256.0,-0.08423797422872482
temp_cache_table_hit,101488.0,96103.0,0.9469395396500079,-5385.0,-0.054520031920760166
temp_compact_writedelay_duration,1715897229925.0,1808310701778.0,1.053857230049284,92413471853.0,0.05245698558305409
system_cpu_sysload_total,618667.28,649283.7,1.0494876987837467,30616.419999999925,0.048302139184367404
temp_compact_level0,5870.0,5599.0,0.9538330494037479,-271.0,-0.0472666234732488
temp_compact_nonlevel0,34722.0,33431.0,0.9628189620413571,-1291.0,-0.0378898785835714
system_cpu_threads,26.0,27.0,1.0384615384615385,1.0,0.03774032798284711
system_disk_writecount,443253261.0,430855830.0,0.9720308182910357,-12397431.0,-0.02836776896358822
temp_compact_output,890950984805.0,866047653189.0,0.9720485952193537,-24903331616.0,-0.028349480689770792
temp_disk_size,70767816527.0,68826749974.0,0.9725713375336453,-1941066553.0,-0.027811851389485963
system_disk_readbytes,1607999841124.0,1564475552085.0,0.9729326533959255,-43524289039.0,-0.027440414612055746
system_disk_readdata,1607999841124.0,1564475552085.0,0.9729326533959255,-43524289039.0,-0.027440414612055746
temp_tables_level6,3220.0,3134.0,0.9732919254658385,-86.0,-0.027071215622487824
temp_compact_input,903292839738.0,879468111030.0,0.9736245792506112,-23824728708.0,-0.026729491889390968
system_disk_readcount,392523527.0,382673546.0,0.9749060111752231,-9849981.0,-0.025414211425595246
system_disk_writebytes,2092770444230.0,2041290634657.0,0.9754011197382229,-51479809573.0,-0.02490648772834995
system_disk_writedata,2092770444230.0,2041290634657.0,0.9754011197382229,-51479809573.0,-0.02490648772834995
temp_disk_write,1085967910541.0,1060623541836.0,0.9766619543183609,-25344368705.0,-0.02361469058077968
temp_compact_writedelay_counter,1383.0,1413.0,1.0216919739696313,30.0,0.021460051019769288
temp_cache_block_miss,247327169.0,242084034.0,0.9788008126191748,-5243135.0,-0.021427117194129736
temp_stall_count_memtable,1383.0,1412.0,1.0209689081706435,29.0,0.0207520863884291
temp_stall_time_memtable_count,1383.0,1412.0,1.0209689081706435,29.0,0.0207520863884291
temp_cache_block_hit,34896.0,34427.0,0.9865600641907382,-469.0,-0.013531069219138984
temp_cache_table_miss,251396.0,250317.0,0.9957079667138697,-1079.0,-0.004301270501427147
system_cpu_schedlatency_count,129997869.0,130135088.0,1.0010555480720995,137219.0,0.0010549913729472919
temp_compact_time,4261965955075.0,4258933800325.0,0.9992885549105831,-3032154750.0,-0.0007116982865722276
temp_memory_manualalloc,134299887.0,134268296.0,0.9997647726985801,-31591.0,-0.00023525497170084894
system_cpu_procload_total,29480.218632,29486.62315,1.000217247981772,6.404517999999371,0.00021722438684636364
ancient_size,24.0,24.0,1.0,0.0,0.0
"system_cpu_schedlatency{quantile=""0.95""}",32768.0,32768.0,1.0,0.0,0.0
"system_memory_pauses{quantile=""0.5""}",98304.0,98304.0,1.0,0.0,0.0
"system_memory_pauses{quantile=""0.75""}",131072.0,131072.0,1.0,0.0,0.0
temp_compact_memory,1564.0,1564.0,1.0,0.0,0.0
temp_table_live,1.0,1.0,1.0,0.0,0.0
temp_table_zombie,1.0,1.0,1.0,0.0,0.0
